vid,start,end,text
0TLm3GBB6QU,110,180,아
0TLm3GBB6QU,180,6020,[음악]
0TLm3GBB6QU,6020,9020,come
0TLm3GBB6QU,10190,11750,on
0TLm3GBB6QU,11750,13639,come
0TLm3GBB6QU,13639,15800,on
0TLm3GBB6QU,15800,16939,[음악]
0TLm3GBB6QU,16939,19939,come
0TLm3GBB6QU,21919,24290,to
0TLm3GBB6QU,24290,26810,operate
0TLm3GBB6QU,26810,30680,[음악]
0TLm3GBB6QU,30680,35000,without power
0TLm3GBB6QU,38790,62119,[음악]
0TLm3GBB6QU,64780,67859,[음악]
0TLm3GBB6QU,69409,72780,power 뉴 스 포 알지요 5
0TLm3GBB6QU,72780,74670,[음악]
0TLm3GBB6QU,74670,75229,으
0TLm3GBB6QU,75229,77220,으
0TLm3GBB6QU,77220,78950,my
0TLm3GBB6QU,78950,81960,love 해외
0TLm3GBB6QU,81960,85110,[음악]
0TLm3GBB6QU,85990,89119,m&a 에서 4 뭐 3와 지지체 모습
0TLm3GBB6QU,89119,91729,마음 o 않은 매일 생성 승리호 알지
0TLm3GBB6QU,91729,93829,계신 오메르 연습 옳게 점퍼 번식한
0TLm3GBB6QU,93829,98950,부위 무인 btob outer
0TLm3GBB6QU,99610,101550,아 으
0TLm3GBB6QU,101550,102840,[음악]
0TLm3GBB6QU,102840,104570,아
0TLm3GBB6QU,104570,107740,woo lee
0TLm3GBB6QU,107740,109770,으
0TLm3GBB6QU,111030,113640,won over
0TLm3GBB6QU,113640,115980,n 당 자
0TLm3GBB6QU,115980,118980,manhole
0TLm3GBB6QU,121530,124530,cover
0TLm3GBB6QU,128160,131850,with a
0TLm3GBB6QU,138830,142280,whoa whoa
0TLm3GBB6QU,144380,147380,whoa
0TLm3GBB6QU,148480,149750,[음악]
0TLm3GBB6QU,149750,152750,whoa
0TLm3GBB6QU,155079,158379,perf ha 총점
0TLm3GBB6QU,158379,160150,refer to m
0TLm3GBB6QU,160150,161680,[음악]
0TLm3GBB6QU,161680,164230,there
0TLm3GBB6QU,164230,167260,we go
0TLm3GBB6QU,167260,170260,to
0TLm3GBB6QU,173709,176390,where a
0TLm3GBB6QU,176390,178130,으 으
0TLm3GBB6QU,178130,181569,ever since i
0TLm3GBB6QU,181569,185230,were a tender
0TLm3GBB6QU,185550,187900,[음악]
0TLm3GBB6QU,187900,190420,we
0TLm3GBB6QU,190420,192820,we
0TLm3GBB6QU,192820,194980,we
0TLm3GBB6QU,194980,197980,we
0TLm3GBB6QU,200620,205659,ever to 빈 아무
0TLm3GBB6QU,210440,213569,[음악]
0TLm3GBB6QU,219940,222560,we
0TLm3GBB6QU,222560,224830,the one
