vid,start,end,text
14AQKNmYmjo,1000,36969,[Música]
14AQKNmYmjo,37620,39650,más
14AQKNmYmjo,39650,42400,bueno
14AQKNmYmjo,44930,48040,y qué
14AQKNmYmjo,52140,59920,[Música]
14AQKNmYmjo,63420,66609,[Aplausos]
14AQKNmYmjo,67950,69250,tú
14AQKNmYmjo,69250,74170,[Música]
14AQKNmYmjo,80970,89739,[Música]
14AQKNmYmjo,96290,97520,y
14AQKNmYmjo,97520,101590,[Música]
14AQKNmYmjo,104230,106260,más
14AQKNmYmjo,106260,108740,a
14AQKNmYmjo,109810,114860,[Música]
14AQKNmYmjo,114860,117860,bien
14AQKNmYmjo,143580,146580,bueno
14AQKNmYmjo,149360,152360,bueno
14AQKNmYmjo,155510,158639,[Música]
14AQKNmYmjo,172280,175400,[Música]
14AQKNmYmjo,181100,183880,bueno
14AQKNmYmjo,199540,202319,pero
14AQKNmYmjo,202490,205679,[Aplausos]
14AQKNmYmjo,208670,211670,sí
14AQKNmYmjo,214880,217970,[Aplausos]
14AQKNmYmjo,218400,221588,[Música]
14AQKNmYmjo,229200,230570,el canto
14AQKNmYmjo,230570,233720,[Aplausos]
14AQKNmYmjo,241470,243950,a
14AQKNmYmjo,245480,246110,más
14AQKNmYmjo,246110,246730,[Aplausos]
14AQKNmYmjo,246730,276410,[Música]
14AQKNmYmjo,276410,277500,bueno
14AQKNmYmjo,277500,299869,[Música]
14AQKNmYmjo,302669,305560,pero
14AQKNmYmjo,305560,317230,[Aplausos]
14AQKNmYmjo,321420,324929,[Aplausos]
14AQKNmYmjo,329150,337090,[Aplausos]
14AQKNmYmjo,337090,340090,bueno
14AQKNmYmjo,340570,342100,sí
14AQKNmYmjo,342100,347429,[Música]
14AQKNmYmjo,363180,376779,[Música]
14AQKNmYmjo,377500,379539,pero
14AQKNmYmjo,379539,382539,pero
14AQKNmYmjo,383510,384170,más
14AQKNmYmjo,384170,386100,[Aplausos]
14AQKNmYmjo,386100,388640,bien
14AQKNmYmjo,388880,389210,[Aplausos]
14AQKNmYmjo,389210,394819,[Música]
14AQKNmYmjo,397490,400629,[Música]
14AQKNmYmjo,417250,423790,[Música]
14AQKNmYmjo,429650,432260,sí
14AQKNmYmjo,432260,433639,[Música]
14AQKNmYmjo,433639,436639,pero
14AQKNmYmjo,437610,439610,más
14AQKNmYmjo,439610,440550,más
14AQKNmYmjo,440550,440880,[Aplausos]
14AQKNmYmjo,440880,443720,[Música]
14AQKNmYmjo,443720,446200,e
14AQKNmYmjo,479460,482649,[Aplausos]
14AQKNmYmjo,519520,522520,2
14AQKNmYmjo,522529,525529,no
14AQKNmYmjo,528750,531500,pero
14AQKNmYmjo,539670,549070,[Música]
14AQKNmYmjo,563840,566830,elefante
14AQKNmYmjo,566930,569980,[Música]
14AQKNmYmjo,590120,594339,[Música]
14AQKNmYmjo,594339,597010,pero
14AQKNmYmjo,597010,597620,[Aplausos]
14AQKNmYmjo,597620,633470,[Música]
14AQKNmYmjo,634180,636810,pero
14AQKNmYmjo,636810,640279,[Aplausos]
14AQKNmYmjo,652570,660520,[Aplausos]
14AQKNmYmjo,663660,666800,y qué
14AQKNmYmjo,671330,683750,[Música]
14AQKNmYmjo,684410,686860,ah
14AQKNmYmjo,690889,693639,pero
14AQKNmYmjo,694199,697199,e
14AQKNmYmjo,697550,721679,[Música]
14AQKNmYmjo,722620,725010,i
14AQKNmYmjo,726140,729200,[Música]
14AQKNmYmjo,731290,735169,[Música]
14AQKNmYmjo,741209,743190,pero
14AQKNmYmjo,743190,743850,más
14AQKNmYmjo,743850,747240,[Aplausos]
14AQKNmYmjo,747240,750240,pero
14AQKNmYmjo,751110,757899,[Música]
14AQKNmYmjo,764830,770600,[Música]
14AQKNmYmjo,770600,772560,pero
14AQKNmYmjo,772560,773230,más
14AQKNmYmjo,773230,773840,[Aplausos]
14AQKNmYmjo,773840,777059,[Música]
14AQKNmYmjo,779120,780270,e
14AQKNmYmjo,780270,785530,[Música]
14AQKNmYmjo,785530,787940,[Aplausos]
14AQKNmYmjo,787940,791499,[Música]
14AQKNmYmjo,794090,802710,[Música]
