vid,start,end,text
2k3R-rjV3-k,5080,13309,[Musica]
2k3R-rjV3-k,13309,18650,che cosa tengo in tasca ogni giorno
2k3R-rjV3-k,18650,20440,ora vi spiego
2k3R-rjV3-k,20440,23529,[Musica]
2k3R-rjV3-k,36890,38890,[Musica]
2k3R-rjV3-k,38890,41929,signori non negate che l'oggetto più
2k3R-rjV3-k,41929,43370,importante che tenete in tasca quando
2k3R-rjV3-k,43370,45769,siete in giro è il power bank qui nello
2k3R-rjV3-k,45769,47120,specifico vi ho trovato una vera e
2k3R-rjV3-k,47120,48680,propria chicca in vendita solamente
2k3R-rjV3-k,48680,50570,negli apple store veramente strepitosa
2k3R-rjV3-k,50570,52909,superleggera super compatta super
2k3R-rjV3-k,52909,54619,capiente ma guardate che figata dietro
2k3R-rjV3-k,54619,56690,questo magico sportellino si cela il
2k3R-rjV3-k,56690,59000,cavo di ricarica integrato in questo
2k3R-rjV3-k,59000,61100,caso ovviamente lightning la parte bella
2k3R-rjV3-k,61100,62119,che vedete si può richiudere
2k3R-rjV3-k,62119,64039,completamente possiamo attaccare il
2k3R-rjV3-k,64039,65539,nostro iphone nella parte inferiore e
2k3R-rjV3-k,65539,67189,avere un unico oggetto compatto
2k3R-rjV3-k,67189,68869,comunissimo super capiente super
2k3R-rjV3-k,68869,70789,piacevole da possedere
2k3R-rjV3-k,70789,72890,oltre a questo molto affascinante il
2k3R-rjV3-k,72890,74929,fatto che nella parte inferiore abbiamo
2k3R-rjV3-k,74929,77479,due porte di ricarica e di entrata e
2k3R-rjV3-k,77479,79369,uscita abbiamo una usb di tipo a
2k3R-rjV3-k,79369,81200,classica normalissima cui attaccare
2k3R-rjV3-k,81200,83780,qualsiasi dispositivo ma soprattutto una
2k3R-rjV3-k,83780,86060,porta lightning capita voi stessi che se
2k3R-rjV3-k,86060,87770,siete abituati a viaggiare ad andare in
2k3R-rjV3-k,87770,89899,giro solamente con iphone probabilmente
2k3R-rjV3-k,89899,92479,avete per le mani cavi che sono appunto
2k3R-rjV3-k,92479,94369,lightning per mandargli dentro della
2k3R-rjV3-k,94369,96229,corrente in questo caso non dovrebbe
2k3R-rjV3-k,96229,98240,avere anche dei cavi di tipo c ma potete
2k3R-rjV3-k,98240,99679,ricaricare tutto direttamente dal
2k3R-rjV3-k,99679,102409,lightning super super comodo 6 mila
2k3R-rjV3-k,102409,103969,milan per ora la sua capienza quindi
2k3R-rjV3-k,103969,106759,ragazzi assolutamente consigliato altro
2k3R-rjV3-k,106759,109250,accessorio fondamentale che serve quando
2k3R-rjV3-k,109250,110719,sei in giro è sicuramente un paio di
2k3R-rjV3-k,110719,113060,cuffie in questa bellissima dotazione a
2k3R-rjV3-k,113060,115100,questo allestimento che ho creato in
2k3R-rjV3-k,115100,116899,maniera total black con dei toni di
2k3R-rjV3-k,116899,118909,arancio ho pensato di passare per le
2k3R-rjV3-k,118909,122030,napping in colorazione nera nothing la
2k3R-rjV3-k,122030,123409,conoscete ho fatto addirittura un video
2k3R-rjV3-k,123409,124759,dedicato sul canale sto apprezzando
2k3R-rjV3-k,124759,126920,moltissimo il loro progetto sia di
2k3R-rjV3-k,126920,128690,design sia ovviamente di tutto il team
2k3R-rjV3-k,128690,129979,che hanno messo in piedi per creare
2k3R-rjV3-k,129979,132739,questo tipo di cuffia molto affascinante
2k3R-rjV3-k,132739,134450,dal punto di vista estetico lo vedete ci
2k3R-rjV3-k,134450,136370,si vedono i chip nella parte inferiore
2k3R-rjV3-k,136370,138350,insomma sono degli oggetti veramente
2k3R-rjV3-k,138350,140450,piacevoli ma molto interessante il fatto
2k3R-rjV3-k,140450,142760,che i loro automatismi sono comunque
2k3R-rjV3-k,142760,145400,significativi cioè quando noi ci andiamo
2k3R-rjV3-k,145400,147319,a posizionare le cuffie direttamente
2k3R-rjV3-k,147319,149120,nelle orecchie si accendono da sole si
2k3R-rjV3-k,149120,150560,connettono automaticamente al nostro
2k3R-rjV3-k,150560,152510,iphone o qualsiasi telefono android
2k3R-rjV3-k,152510,154310,la musica si attiva e si disattiva
2k3R-rjV3-k,154310,155540,seconda che venga messa è tolta
2k3R-rjV3-k,155540,157130,dall'orecchio abbiamo un applicazione di
2k3R-rjV3-k,157130,159290,gestione in cui andare a regolare tutta
2k3R-rjV3-k,159290,161600,la parte di controlli touch sul i due
2k3R-rjV3-k,161600,163489,diciamo padiglioni quindi abbiamo la
2k3R-rjV3-k,163489,164870,possibilità di scappare la traccia
2k3R-rjV3-k,164870,166909,aumentare abbassare il volume insomma
2k3R-rjV3-k,166909,168890,tutto veramente smart addirittura hanno
2k3R-rjV3-k,168890,172470,una funzionalità di prova le mie nothing
2k3R-rjV3-k,172470,174000,assomigliano moltissimo alle aree polsi
2k3R-rjV3-k,174000,175560,in questo che si mettono a suonare sele
2k3R-rjV3-k,175560,176880,perdete sotto il divano
2k3R-rjV3-k,176880,178710,inoltre dal punto di vista del design le
2k3R-rjV3-k,178710,180900,vedete hanno questo in cavo nella parte
2k3R-rjV3-k,180900,182190,superiore della confezione che ha
2k3R-rjV3-k,182190,183930,pensato ovviamente per giocherellare con
2k3R-rjV3-k,183930,185340,questo oggetto quando lo si tiene in
2k3R-rjV3-k,185340,186960,mano insomma tante piccole chicche
2k3R-rjV3-k,186960,189300,pensate sia per iphone per android molto
2k3R-rjV3-k,189300,192270,molto consigliato passiamo ora al mio
2k3R-rjV3-k,192270,194160,primo dei due portachiavi che o
2k3R-rjV3-k,194160,195660,all'interno di questo setup che ho
2k3R-rjV3-k,195660,197700,creato per voi lo vedete abbastanza
2k3R-rjV3-k,197700,199650,complesso ma questo qui a tutti i gadget
2k3R-rjV3-k,199650,201750,che servono per sopravvivere in una
2k3R-rjV3-k,201750,204270,intensa interessante giornata quello che
2k3R-rjV3-k,204270,206310,tiene insieme le cose è questo piccolo
2k3R-rjV3-k,206310,208410,supporto per air tag portachiavi per
2k3R-rjV3-k,208410,210840,airbag pensato da orbit chi lo vedete è
2k3R-rjV3-k,210840,212550,una scocca molto facilmente rimovibile
2k3R-rjV3-k,212550,214050,dentro c'è un airbag come sapete
2k3R-rjV3-k,214050,216090,fondamentale per evitare di perdere i
2k3R-rjV3-k,216090,217380,propri device
2k3R-rjV3-k,217380,218880,nello specifico abbiamo una vera chicca
2k3R-rjV3-k,218880,220500,anche se gli ho fatto vedere una
2k3R-rjV3-k,220500,222510,batteria che non ha bisogno di cavi o
2k3R-rjV3-k,222510,224160,comunque giro sempre con questa specie
2k3R-rjV3-k,224160,226500,di multi cui tecnologia o abbiamo la
2k3R-rjV3-k,226500,227520,possibilità di avere un cavetto
2k3R-rjV3-k,227520,229710,veramente microscopico questo in charge
2k3R-rjV3-k,229710,232280,in emanazione 2.0 che vedete una volta
2k3R-rjV3-k,232280,234450,disaccoppiato dalla sua protezione si
2k3R-rjV3-k,234450,236730,apre e diventa un cavo multiuso si apre
2k3R-rjV3-k,236730,238200,nella parte di quattro nuovissimi di
2k3R-rjV3-k,238200,240750,tipo cv sb di tipo cv sb di tipo a
2k3R-rjV3-k,240750,242520,abbiamo una lightning da questa parte
2k3R-rjV3-k,242520,244890,addirittura micro usb quindi qui dentro
2k3R-rjV3-k,244890,247890,teniamo in mano un adattatore multipresa
2k3R-rjV3-k,247890,250500,multi device assolutamente fantastico
2k3R-rjV3-k,250500,252120,poi possiamo incassare alle cose un po
2k3R-rjV3-k,252120,253740,come preferiamo si annette al
2k3R-rjV3-k,253740,255450,portachiavi perché è magnetico insomma
2k3R-rjV3-k,255450,257310,una figata assoluta soprattutto per il
2k3R-rjV3-k,257310,260100,prezzo che ha andando avanti abbiamo una
2k3R-rjV3-k,260100,262650,meravigliosa torcia della roby non ne ho
2k3R-rjV3-k,262650,265080,già parlato nello scorso video ve la
2k3R-rjV3-k,265080,266610,ricorderete era la versione trasparente
2k3R-rjV3-k,266610,268170,eccetera qui ho scelto questa versione
2k3R-rjV3-k,268170,270300,matte black che fa veramente paura
2k3R-rjV3-k,270300,272460,strepitosa completamente realizzato in
2k3R-rjV3-k,272460,275070,metallo semplicemente una torcia che si
2k3R-rjV3-k,275070,276720,accende e fa un bellissimo fascio
2k3R-rjV3-k,276720,278580,luminoso mollo il tasto e si spegne e
2k3R-rjV3-k,278580,280380,poi ovviamente se doppio premiamo vedete
2k3R-rjV3-k,280380,281460,abbiamo la possibilità di lasciare
2k3R-rjV3-k,281460,283440,accesa la luce con un triplo click vai
2k3R-rjV3-k,283440,285330,modalità strobo che insomma potrebbe
2k3R-rjV3-k,285330,286830,anche disturbarvi ma assolutamente
2k3R-rjV3-k,286830,289650,fantastica supercompatta dura veramente
2k3R-rjV3-k,289650,292110,tanto scalda un pochettino perché ha una
2k3R-rjV3-k,292110,294000,luce potentissima non serve solo a
2k3R-rjV3-k,294000,295440,cercare le chiavi ma anche a muoversi in
2k3R-rjV3-k,295440,296460,ambienti scuri
2k3R-rjV3-k,296460,299280,dopodiché signori miei abbiamo il vero
2k3R-rjV3-k,299280,300810,dato che la vera chicca questo
2k3R-rjV3-k,300810,303720,strepitoso ledger nano es stiamo
2k3R-rjV3-k,303720,305370,parlando di un nardò wallet per le
2k3R-rjV3-k,305370,306900,cripto sapete quanto è importante in
2k3R-rjV3-k,306900,308580,questo mondo della block chain avere un
2k3R-rjV3-k,308580,311460,metodo sicuro supersicuro per tenere
2k3R-rjV3-k,311460,313410,insomma assicuro appunto tutte le nostre
2k3R-rjV3-k,313410,315930,fritto valute in questo caso la bolletta
2k3R-rjV3-k,315930,317729,è uno dei sistemi migliori più
2k3R-rjV3-k,317729,319380,tecnologici più intelligenti da avere
2k3R-rjV3-k,319380,321660,chiaramente comporta anch'esso dei
2k3R-rjV3-k,321660,323520,rischi abbiamo la necessità insomma di
2k3R-rjV3-k,323520,325440,tenerlo in un posto sicuro sia lui che
2k3R-rjV3-k,325440,327870,eventualmente le 24 parole che servono
2k3R-rjV3-k,327870,329729,in qualche modo a recuperarlo in caso di
