vid,start,end,text
2vfxuVZvLKA,968,2402,Hello mọi ngườiii
2vfxuVZvLKA,2469,4504,Mình đang ở khách sạn ở trong Sài Gòn
2vfxuVZvLKA,4638,7340,Bây giờ đã là 11h trưa rồi
2vfxuVZvLKA,7440,11476,12h thì bọn mình sẽ check out và bắt taxi ra sân bay
2vfxuVZvLKA,11476,12743,Trước khi đi là phải make up đã
2vfxuVZvLKA,12744,13978,Mình đang chưa make up
2vfxuVZvLKA,14078,17881,Sáng nay thì mình có lên tầng thượng của khách sạn để ăn sáng ý
2vfxuVZvLKA,18015,22118,"Thế là mình phải đánh vội son trông cho đỡ chết trôi, không người ta đánh giá"
2vfxuVZvLKA,22185,24753,Dạo này mình có đổi 1 vài mỹ phẩm
2vfxuVZvLKA,24854,29791,"Có 1 số cái nó không hợp ý, thì da mình nó bị hơi châm chích nhẹ 1 chút ý"
2vfxuVZvLKA,29791,32800,Gần  đây mình mới được tặng Ampoule Centella này này
2vfxuVZvLKA,32800,36829,Nó dùng cho da lúc mà đang kiểu bị viêm hoặc là bị mụn
2vfxuVZvLKA,36830,38064,Nó rất là dịu da luôn
2vfxuVZvLKA,38197,42467,Mình thì mình mới dùng được tầm 4 hay 5 ngày gì đấy thôi mà mình thấy nó khá là đỡ rồi ý
2vfxuVZvLKA,42467,44536,Mà cái kết cấu của nó rất là mỏng nhé mọi người
2vfxuVZvLKA,44736,45403,Thấm rất nhanh
2vfxuVZvLKA,45403,49073,"Đặc biệt cái này nó không có mùi nhé mọi người, không có cồn, không có gì hết"
2vfxuVZvLKA,49073,50907,Nó là chiết xuất rau má cho nên nó rất là lành tính
2vfxuVZvLKA,53510,56979,Kèm với cái Ampoule thì gần đây mình cũng dùng kem chống nắng Centella luôn
2vfxuVZvLKA,56979,60015,Cái này nó cũng là chiết xuất rau má giống như cái Ampoule vừa nãy
2vfxuVZvLKA,60015,62950,"Đặc biệt là nó vừa nâng tone, mà lại vừa có thể kiềm dầu"
2vfxuVZvLKA,65719,67020,Cái này mùi khá là thơm nhá mọi người 
2vfxuVZvLKA,67120,69556,Bôi kem chống nắng là không thể thiếu được
2vfxuVZvLKA,69556,71891,"Mà nâng tone nhẹ nhẹ thôi, không phải trắng bệch lên đâu"
2vfxuVZvLKA,73959,75360,"Đấy, trắng lên 1 chút rồi"
2vfxuVZvLKA,76594,79230,Hôm nay sẽ thử 1 kiểu tóc mới đê
2vfxuVZvLKA,86236,87036,- Xinh không?
2vfxuVZvLKA,89705,90305,- Xinh
2vfxuVZvLKA,91573,92940,- Trông có khác biệt không?
2vfxuVZvLKA,92941,93741,- Cá tính
2vfxuVZvLKA,95142,96610,Bọn mình đang ở sân bay
2vfxuVZvLKA,96777,100146,Hôm nay bọn mình sẽ bay từ Sài Gòn về Hà Nội
2vfxuVZvLKA,100247,101848,Hôm nay là 1 cái trải nghiệm rất là đặc biệt
2vfxuVZvLKA,101848,107152,"Sau 1 quãng thời gian cày cuốc, chúng mình có tí tiền nó dư, tự nhiên nó dư ra 1 chút"
2vfxuVZvLKA,107319,109621,Thế là bọn mình mới bắt đầu dám thử cái trải nghiệm này
2vfxuVZvLKA,109787,110287,- Đúng không ạ?
2vfxuVZvLKA,111122,112623,Chuyến bay của bọn mình là 3h chiều
2vfxuVZvLKA,112723,114158,Bây giờ mới là 1h kém thôi
2vfxuVZvLKA,114158,119046,Bọn mình đến khá là sớm tại vì nghe nói là trong phòng chờ là có đồ ăn
2vfxuVZvLKA,119046,120995,"Bây giờ bọn mình sẽ đi check in phát, check in nào"
2vfxuVZvLKA,121196,121729,Let's gâu
2vfxuVZvLKA,121730,125633,Đầu tiên thì vẫn phải đi vào cái line check in như người bình thường thôi
2vfxuVZvLKA,125633,130070,- Anh này áo hơi nhăn thế này không biết là vé này anh tự mua hay là anh lấy ở đâu đây?
2vfxuVZvLKA,131972,132672,- Ăn cướp ăn trộm
2vfxuVZvLKA,133306,135775,Nhưng mà anh này có tick xanh nên là chắc cũng được
2vfxuVZvLKA,135775,137943,Mà tick xanh này hình như  là tick xanh tự in nên là =))
2vfxuVZvLKA,138343,139411,- Bảo ăn cắp ăn trộm mà
2vfxuVZvLKA,139845,143414,Bình thường lúc mà mình đi vé thường thì mình hay thấy có quầy cho thương gia
2vfxuVZvLKA,143414,147918,Nhưng khi mà mình đi vé thương gia thì mình lại đ thấy cái quầy cho thương gia đâu cả
2vfxuVZvLKA,148184,148684,- Ờ nhở?
2vfxuVZvLKA,150219,150853,- Đúng không bạn?
2vfxuVZvLKA,150853,151353,- Ờ nhờ
2vfxuVZvLKA,151954,152454,- Như nào?
2vfxuVZvLKA,157725,158823,- 15 phẩy...
2vfxuVZvLKA,159960,160460,- Cái gì?
2vfxuVZvLKA,162629,163763,"- 85,6"
