vid,start,end,text
2y0tWCkebgE,0,1839,they're making pancake art of huggy
2y0tWCkebgE,1839,3439,woogie wow
2y0tWCkebgE,3439,6160,look at it
2y0tWCkebgE,13519,16030,what the hell
2y0tWCkebgE,16030,18160,[Music]
2y0tWCkebgE,18160,19680,what is up guys welcome to this episode
2y0tWCkebgE,19680,21039,i'm like
2y0tWCkebgE,21039,22640,today we're looking at the best memes
2y0tWCkebgE,22640,24800,ever dude they're making pancake art of
2y0tWCkebgE,24800,28400,huggy woogie wow look at it this is
2y0tWCkebgE,28400,31599,crazy no way when they flip this pancake
2y0tWCkebgE,31599,33760,over guys it's gonna be crazy they even
2y0tWCkebgE,33760,35760,put like the little stitching on them yo
2y0tWCkebgE,35760,38320,that looks amazing whoa and yeah you
2y0tWCkebgE,38320,39600,guys can see the other ones they're
2y0tWCkebgE,39600,41520,gonna make that's exciting they put all
2y0tWCkebgE,41520,44800,the shading on them hey yo no way are
2y0tWCkebgE,44800,47360,they gonna fill in with blue this is so
2y0tWCkebgE,47360,50800,cool that is so cool wow
2y0tWCkebgE,50800,52879,oh i'm getting hungry and i'm impressed
2y0tWCkebgE,52879,55920,by the art dude imagine what a huggy
2y0tWCkebgE,55920,59839,wuggy would taste like
2y0tWCkebgE,63440,66880,how did they do that that's crazy this
2y0tWCkebgE,66880,70640,is the crazy pancake art ever let's go
2y0tWCkebgE,70640,72799,oh man i would eat that in a heartbeat
2y0tWCkebgE,72799,74479,all right oh who are they gonna make
2y0tWCkebgE,74479,78000,next bro that is so good come on
2y0tWCkebgE,78000,78960,wow
2y0tWCkebgE,78960,81600,that looks like a photo yeah
2y0tWCkebgE,81600,84320,what they got they got baldy oh no way
2y0tWCkebgE,84320,86080,it's a bunch of friday night funking
2y0tWCkebgE,86080,89280,characters guys ah bro oh yeah
2y0tWCkebgE,89280,91119,from all the friday night funky mods
2y0tWCkebgE,91119,92400,yeah
2y0tWCkebgE,92400,96079,baldy that you need to go to class
2y0tWCkebgE,96079,97920,yo wait they put the numbers for the
2y0tWCkebgE,97920,100640,ruler do you see that whoa the detail is
2y0tWCkebgE,100640,102799,crazy this is so nuts and they're doing
2y0tWCkebgE,102799,104960,a shading on him and everything yeah and
2y0tWCkebgE,104960,106880,we're watching the top five memes today
2y0tWCkebgE,106880,108399,guys this is just number five we got
2y0tWCkebgE,108399,109920,crazy stuff to show you and a little
2y0tWCkebgE,109920,112640,secret bonus video at the end this is so
2y0tWCkebgE,112640,115360,crazy man all right here we go let's go
2y0tWCkebgE,115360,119200,dude no way let's go baldy
2y0tWCkebgE,119200,121920,that's perfect dude you can barely tell
2y0tWCkebgE,121920,124880,which one's the pancake what is this man
2y0tWCkebgE,124880,127280,how are they so good wow some people are
2y0tWCkebgE,127280,129119,just really talented we got real skill
2y0tWCkebgE,129119,131520,real talent okay let's go wow who are
2y0tWCkebgE,131520,133840,they gonna make next oh let's see oh
2y0tWCkebgE,133840,137040,it's freddy fazbear wow
2y0tWCkebgE,137040,138640,hey he's kinda dancing though he gotta
2y0tWCkebgE,138640,140400,get it
2y0tWCkebgE,140400,142239,dancing off to the side let's go freddy
2y0tWCkebgE,142239,144000,fazbear yeah
2y0tWCkebgE,144000,147120,this is so epic man wow
2y0tWCkebgE,147120,148879,that drawing looks identical to how we
2y0tWCkebgE,148879,153200,normally look wow wow wow wow wow
2y0tWCkebgE,153200,154560,and they have to do everything flipped
2y0tWCkebgE,154560,156239,because they flip the pancake over yeah
2y0tWCkebgE,156239,157680,when we finished uh watching these
2y0tWCkebgE,157680,159120,videos we got to make some pancakes
2y0tWCkebgE,159120,160560,ourselves oh yeah definitely it's
2y0tWCkebgE,160560,163040,pancake monday wait wait a minute how
2y0tWCkebgE,163040,164400,are they gonna grab it this is a huge
2y0tWCkebgE,164400,165599,pancake how are they even gonna lift
2y0tWCkebgE,165599,166879,that i think they're gonna be able to
2y0tWCkebgE,166879,169360,bigger than their hand what no way can
2y0tWCkebgE,169360,171200,they flip it without it goofy how are
2y0tWCkebgE,171200,173120,they gonna flip this how am i gonna flip
2y0tWCkebgE,173120,175760,that no way how are they gonna flip that
2y0tWCkebgE,175760,180239,hey yo they got two spatulas oh
2y0tWCkebgE,180640,185760,they were dual wielding spatulas wow
2y0tWCkebgE,185760,188480,how is it so good guys watch all these
2y0tWCkebgE,188480,189920,and let us know which pancake you would
2y0tWCkebgE,189920,192080,want to eat the most how is it so good
2y0tWCkebgE,192080,196440,no now they're making minecraft
2y0tWCkebgE,200640,201920,yeah they put it they need a mod where
2y0tWCkebgE,201920,203120,minecraft steve is in friday night
2y0tWCkebgE,203120,205360,pumpkin wow that's cool oh they're doing
2y0tWCkebgE,205360,206480,like a different pose and what they're
2y0tWCkebgE,206480,208400,showing but that looks sick
2y0tWCkebgE,208400,211120,with the diamond sword man yeah
2y0tWCkebgE,211120,214959,minecraft pancake oh man oh
2y0tWCkebgE,214959,218480,man this is so crazy to me yeah
2y0tWCkebgE,218480,221280,oh with like a like he likes slashing
2y0tWCkebgE,221280,223519,it's like uh yeah like blur or something
2y0tWCkebgE,223519,225200,like mid slash
2y0tWCkebgE,225200,227200,no way the bubbles are so satisfying
2y0tWCkebgE,227200,230720,this is gonna be nuts man flip it
2y0tWCkebgE,231360,233680,they even put in like a line are you
2y0tWCkebgE,233680,235760,serious wow
2y0tWCkebgE,235760,237599,how do they do that bro we gotta
2y0tWCkebgE,237599,239040,practice making more pancakes that's
2y0tWCkebgE,239040,240640,what i'm saying dude now we're making
2y0tWCkebgE,240640,245120,mickey oh it's old school classic mickey
2y0tWCkebgE,245120,247920,it's evil mickey
2y0tWCkebgE,248159,250799,oh man this is nuts what they're doing
2y0tWCkebgE,250799,252640,him with like his hands on his head yeah
2y0tWCkebgE,252640,255680,cause he's gone crazy oh he lost his
2y0tWCkebgE,255680,258239,mickey mind i bet what happened is cause
2y0tWCkebgE,258239,260479,mickey mouse has such big ears like he
2y0tWCkebgE,260479,262320,could probably hear so well that if he's
2y0tWCkebgE,262320,264400,in front of that funken for too long the
2y0tWCkebgE,264400,267040,music just corrupts his brain
2y0tWCkebgE,267040,269120,that's why justin can't think that much
2y0tWCkebgE,269120,271040,because his brain is so big why are you
2y0tWCkebgE,271040,272240,laughing
2y0tWCkebgE,272240,274639,what does it have to do with mickey
2y0tWCkebgE,274639,277199,you talking nonsense
2y0tWCkebgE,277199,280240,okay let's go flip it oh
2y0tWCkebgE,280240,283840,that looks epic
2y0tWCkebgE,283840,286080,yo these are all crazy dude which one's
2y0tWCkebgE,286080,288160,your favorite one so far so far i like
2y0tWCkebgE,288160,290000,the mickey it's gotta be huggy buggy for
2y0tWCkebgE,290000,292400,me though no it's squid game the third
2y0tWCkebgE,292400,294720,game you'll be playing is hide and seek
2y0tWCkebgE,294720,296400,you know the rules
2y0tWCkebgE,296400,297440,begin
2y0tWCkebgE,297440,301520,to make this quick gang doll whoa
2y0tWCkebgE,301520,303199,and it's all these characters you got
2y0tWCkebgE,303199,305360,ball you got baby you got boyfriend from
2y0tWCkebgE,305360,306880,friday night funk and you got among us
2y0tWCkebgE,306880,311320,crewmate this is lit yeah
2y0tWCkebgE,312720,314400,okay so they're playing hide and seek
2y0tWCkebgE,314400,316880,guys oh she found minecraft steve oh in
2y0tWCkebgE,316880,319280,a chat
2y0tWCkebgE,319280,321199,this is not how steve died
2y0tWCkebgE,321199,322880,oh
2y0tWCkebgE,322880,325440,if she finds you you're oof oh i get it
2y0tWCkebgE,325440,326890,that's a good game
2y0tWCkebgE,326890,331919,[Music]
2y0tWCkebgE,331919,335720,who's there who's there
2y0tWCkebgE,336220,339120,[Music]
2y0tWCkebgE,339120,342400,is it baldy it's baldi
2y0tWCkebgE,342770,345839,[Music]
2y0tWCkebgE,346000,347280,oh wow
2y0tWCkebgE,347280,350240,you are one smart little cookie
2y0tWCkebgE,350240,351199,say
2y0tWCkebgE,351199,353759,i could get you a harvard scholarship if
2y0tWCkebgE,353759,357039,you just let me lay
2y0tWCkebgE,358400,360240,that's what my mom says to you she
2y0tWCkebgE,360240,361840,always says that justin's a really smart
2y0tWCkebgE,361840,363759,cookie i'm a smart cookie yeah yeah
2y0tWCkebgE,363759,367400,cause you eat so many
2y0tWCkebgE,367440,370319,what are they doing
2y0tWCkebgE,370639,372960,we're so good at hiding
2y0tWCkebgE,372960,375440,i can't believe other people are so
2y0tWCkebgE,375440,378960,stupid stupid people always do stupid
2y0tWCkebgE,378960,382479,things at the stupidest times but nada
2y0tWCkebgE,382479,384800,boyfriend used his microphone to reveal
2y0tWCkebgE,384800,387680,where they were wow he's sabotaging the
2y0tWCkebgE,387680,389470,other people in the game
2y0tWCkebgE,389470,391680,[Music]
2y0tWCkebgE,391680,395840,wow that was unexpected
2y0tWCkebgE,396720,400240,oh such idiots
2y0tWCkebgE,404800,408080,oh that was a really cool
2y0tWCkebgE,408080,411680,meanwhile bendy what is he doing
2y0tWCkebgE,417919,421120,he can dodge the blasters wow cause he's
2y0tWCkebgE,421120,423039,bendy
2y0tWCkebgE,423039,424880,oh joy
