vid,start,end,text
30c8xrZc4Tw,4460,7569,[Music]
30c8xrZc4Tw,17570,21320,I'll say your little farce on England
30c8xrZc4Tw,21320,24800,like a sailor
30c8xrZc4Tw,25150,27100,[Music]
30c8xrZc4Tw,27100,31830,click okay
30c8xrZc4Tw,33340,36340,nobody
30c8xrZc4Tw,38210,42690,mr. Yano
30c8xrZc4Tw,42690,45750,[Music]
30c8xrZc4Tw,49090,54490,monomyth better times does he say
30c8xrZc4Tw,57080,60080,somebody
30c8xrZc4Tw,200480,213349,[Music]
30c8xrZc4Tw,219680,238319,[Music]
30c8xrZc4Tw,241910,245020,[Music]
30c8xrZc4Tw,250180,277539,[Music]
