vid,start,end,text
3_q3nHbyB1c,1540,5920,[Music]
3_q3nHbyB1c,13410,14880,[Music]
3_q3nHbyB1c,14880,17880,hey
3_q3nHbyB1c,19600,22600,right
3_q3nHbyB1c,23350,36559,[Music]
3_q3nHbyB1c,36559,39559,foreign
3_q3nHbyB1c,49530,52629,[Music]
3_q3nHbyB1c,58790,62880,[Music]
3_q3nHbyB1c,69080,70479,[Music]
3_q3nHbyB1c,70479,72590,foreign
3_q3nHbyB1c,72590,75688,[Music]
3_q3nHbyB1c,80720,83720,oh
3_q3nHbyB1c,86030,89188,[Music]
3_q3nHbyB1c,112320,115320,foreign
3_q3nHbyB1c,121000,125459,[Music]
3_q3nHbyB1c,132390,135480,[Music]
3_q3nHbyB1c,138470,141520,[Music]
3_q3nHbyB1c,141840,142490,a
3_q3nHbyB1c,142490,153720,[Music]
3_q3nHbyB1c,153720,156840,[Applause]
3_q3nHbyB1c,166720,169720,foreign
3_q3nHbyB1c,171880,179030,[Music]
3_q3nHbyB1c,192720,195720,foreign
3_q3nHbyB1c,214030,217150,[Music]
3_q3nHbyB1c,249380,252500,[Music]
3_q3nHbyB1c,264720,267720,foreign
3_q3nHbyB1c,278880,281880,foreign
3_q3nHbyB1c,294080,297080,foreign
3_q3nHbyB1c,307039,310039,foreign
3_q3nHbyB1c,320320,323320,foreign
3_q3nHbyB1c,324360,328258,[Music]
3_q3nHbyB1c,331010,338269,[Music]
3_q3nHbyB1c,351520,353840,here
3_q3nHbyB1c,374170,377239,[Music]
3_q3nHbyB1c,378560,381560,foreign
3_q3nHbyB1c,385310,388410,[Music]
3_q3nHbyB1c,390670,398130,[Music]
3_q3nHbyB1c,405039,408039,foreign
3_q3nHbyB1c,408470,411539,[Music]
3_q3nHbyB1c,419120,422120,foreign
3_q3nHbyB1c,430650,430970,[Applause]
3_q3nHbyB1c,430970,437260,[Music]
3_q3nHbyB1c,444720,447720,foreign
3_q3nHbyB1c,470090,475520,[Music]
3_q3nHbyB1c,475520,478520,foreign
3_q3nHbyB1c,501070,504130,[Music]
3_q3nHbyB1c,508120,511329,[Music]
3_q3nHbyB1c,531279,532320,foreign
3_q3nHbyB1c,532320,535729,[Music]
3_q3nHbyB1c,575839,577920,i
3_q3nHbyB1c,592080,595080,foreign
3_q3nHbyB1c,596450,616320,[Music]
3_q3nHbyB1c,635470,638509,[Music]
3_q3nHbyB1c,651110,656539,[Music]
3_q3nHbyB1c,664590,667200,[Music]
3_q3nHbyB1c,667200,670200,foreign
3_q3nHbyB1c,670700,673729,[Music]
3_q3nHbyB1c,679519,681230,um
3_q3nHbyB1c,681230,688099,[Music]
3_q3nHbyB1c,690480,692770,i'll get it
3_q3nHbyB1c,692770,701519,[Music]
3_q3nHbyB1c,718260,721299,[Music]
3_q3nHbyB1c,728639,731639,foreign
3_q3nHbyB1c,748560,754649,[Music]
3_q3nHbyB1c,761780,768450,[Music]
3_q3nHbyB1c,768720,771720,oh
3_q3nHbyB1c,774750,785070,[Music]
3_q3nHbyB1c,788020,791070,[Music]
3_q3nHbyB1c,797519,800170,foreign
3_q3nHbyB1c,800170,804850,[Music]
3_q3nHbyB1c,810639,812910,foreign
3_q3nHbyB1c,812910,820868,[Music]
3_q3nHbyB1c,824639,827639,foreign
3_q3nHbyB1c,831370,835169,[Music]
3_q3nHbyB1c,838000,841000,foreign
3_q3nHbyB1c,844020,851270,[Music]
3_q3nHbyB1c,855200,858249,[Music]
3_q3nHbyB1c,881040,884040,foreign
3_q3nHbyB1c,894270,896320,[Music]
3_q3nHbyB1c,896320,899320,foreign
3_q3nHbyB1c,907010,914429,[Music]
3_q3nHbyB1c,916590,923680,[Music]
3_q3nHbyB1c,923680,926680,foreign
3_q3nHbyB1c,926800,929880,[Music]
3_q3nHbyB1c,948670,952240,[Music]
3_q3nHbyB1c,952240,955240,foreign
3_q3nHbyB1c,960050,964120,[Music]
3_q3nHbyB1c,971720,979079,[Music]
3_q3nHbyB1c,992340,994399,[Music]
3_q3nHbyB1c,994399,995530,foreign
3_q3nHbyB1c,995530,996820,[Applause]
3_q3nHbyB1c,996820,999929,[Music]
3_q3nHbyB1c,1005920,1008920,foreign
3_q3nHbyB1c,1010260,1013480,[Music]
3_q3nHbyB1c,1018900,1021929,[Music]
3_q3nHbyB1c,1023440,1026519,[Applause]
3_q3nHbyB1c,1027599,1031609,[Laughter]
3_q3nHbyB1c,1031609,1037678,[Music]
3_q3nHbyB1c,1037678,1039839,we
3_q3nHbyB1c,1057290,1060839,[Music]
3_q3nHbyB1c,1061310,1064430,[Applause]
3_q3nHbyB1c,1072960,1074470,madame
3_q3nHbyB1c,1074470,1077508,[Music]
3_q3nHbyB1c,1090400,1091540,foreign
3_q3nHbyB1c,1091540,1094619,[Music]
3_q3nHbyB1c,1098260,1105200,[Music]
3_q3nHbyB1c,1105520,1108520,foreign
3_q3nHbyB1c,1109340,1112359,[Music]
3_q3nHbyB1c,1161280,1164280,foreign
3_q3nHbyB1c,1166250,1171069,[Music]
3_q3nHbyB1c,1175679,1177480,foreign
3_q3nHbyB1c,1177480,1186400,[Music]
3_q3nHbyB1c,1186400,1188480,you
