vid,start,end,text
3j7BnIRBiOM,6160,8760,so
3j7BnIRBiOM,8760,28070,[Music]
3j7BnIRBiOM,42040,45409,[Music]
3j7BnIRBiOM,45920,48920,is
3j7BnIRBiOM,55710,56250,[Music]
3j7BnIRBiOM,56250,57680,[Applause]
3j7BnIRBiOM,57680,73970,[Music]
3j7BnIRBiOM,80410,81920,[Music]
3j7BnIRBiOM,81920,84920,pleasure
3j7BnIRBiOM,85220,112680,[Music]
3j7BnIRBiOM,112880,114720,me
3j7BnIRBiOM,114720,117170,foreign
3j7BnIRBiOM,117170,130888,[Music]
3j7BnIRBiOM,133520,135830,[Music]
3j7BnIRBiOM,135830,138899,[Applause]
3j7BnIRBiOM,140640,178080,[Music]
3j7BnIRBiOM,178080,181080,foreign
3j7BnIRBiOM,182710,184650,[Applause]
3j7BnIRBiOM,184650,196239,[Music]
3j7BnIRBiOM,196239,198050,my
3j7BnIRBiOM,198050,202980,[Music]
3j7BnIRBiOM,202980,205260,[Applause]
3j7BnIRBiOM,205260,210799,[Music]
3j7BnIRBiOM,210799,213799,pleasure
