vid,start,end,text
4XZIv4__sQA,0,2639,did you learn about money in school
4XZIv4__sQA,2639,4960,i'm learning did your parents teach you
4XZIv4__sQA,4960,7279,about money you want that money come and
4XZIv4__sQA,7279,9040,find it because i don't know where it is
4XZIv4__sQA,9040,11040,yet baloney today's video will be a
4XZIv4__sQA,11040,12960,beginner's guide on financial literacy
4XZIv4__sQA,12960,14240,so if you want to know how to properly
4XZIv4__sQA,14240,15839,use money to make the best financial
4XZIv4__sQA,15839,17840,choices to live a more comfortable life
4XZIv4__sQA,17840,19760,and accomplish all your financial goals
4XZIv4__sQA,19760,21199,then make sure you watch this video till
4XZIv4__sQA,21199,22720,the end
4XZIv4__sQA,22720,26640,[Music]
4XZIv4__sQA,26640,28480,november is financial literacy month and
4XZIv4__sQA,28480,30560,this november is the 10-year anniversary
4XZIv4__sQA,30560,32558,here in canada this year it's never been
4XZIv4__sQA,32558,34320,more important to educate yourself on
4XZIv4__sQA,34320,36160,financial literacy a lot of canadians
4XZIv4__sQA,36160,37840,are struggling financially because of
4XZIv4__sQA,37840,39680,the effects of the pandemic financial
4XZIv4__sQA,39680,41280,literacy month helps canadians better
4XZIv4__sQA,41280,43200,understand their finances and help to
4XZIv4__sQA,43200,45280,make better financial choices with that
4XZIv4__sQA,45280,47120,being said let's get into the video what
4XZIv4__sQA,47120,49039,is financial literacy financial literacy
4XZIv4__sQA,49039,50879,is the ability to make smart financial
4XZIv4__sQA,50879,52559,decisions that help you achieve the
4XZIv4__sQA,52559,54559,lifestyle you want this mainly includes
4XZIv4__sQA,54559,57199,earning income budgeting paying off debt
4XZIv4__sQA,57199,59199,saving investing protecting yourself
4XZIv4__sQA,59199,61280,financially and overall managing your
4XZIv4__sQA,61280,63359,finances why is financial literacy so
4XZIv4__sQA,63359,65198,important the more financially literate
4XZIv4__sQA,65198,66960,you are the better decisions you will
4XZIv4__sQA,66960,68799,make with your finances so the more
4XZIv4__sQA,68799,70479,money you'll have and the more effective
4XZIv4__sQA,70479,71840,you'll be with your money you could have
4XZIv4__sQA,71840,73520,the best paying job in the world and
4XZIv4__sQA,73520,75200,still be broke just because you make
4XZIv4__sQA,75200,76799,more money doesn't make you better at
