vid,start,end,text
4tafRM27Acs,0,1890,Hai screwbacco jadi bila tinggi limas
4tafRM27Acs,1890,3959,yang bakal main Sakura simulator dan
4tafRM27Acs,3959,5640,kita bakal mainin aib sesuai dengan
4tafRM27Acs,5640,7049,request kali semua ini segini kemarin
4tafRM27Acs,7049,8910,ada yang ngirim mobil sport baru di game
4tafRM27Acs,8910,11280,ini gimana guys Bukannya udah ada kamu
4tafRM27Acs,11280,12900,gini tapi kata-katanya ada yang bilang
4tafRM27Acs,12900,15509,gedungnya gitu guys semua tapi sebelum
4tafRM27Acs,15509,16949,kita Rain kita bakal ganti bagi orang
4tafRM27Acs,16949,18390,ular dan sampai kita kaki pastikan
4tafRM27Acs,18390,19619,kalian semua tonton video ini sampai
4tafRM27Acs,19619,21869,habis dan like ini guys sampai 19 lebih
4tafRM27Acs,21869,23369,karena Setelah kalian bisa meledak prior
4tafRM27Acs,23369,25560,angka ya gereja yang kaleng bakal
4tafRM27Acs,25560,28199,regisya Iya iya jadi kita pilih baju
4tafRM27Acs,28199,29939,mana dulu nih guys baju Sultan pokoknya
4tafRM27Acs,29939,31410,gadget takutnya programmer gak jadi
4tafRM27Acs,31410,33059,Sultan itu jadi kita harus fix jadi
4tafRM27Acs,33059,34469,Sultan desa-desa bakal menggunakan
4tafRM27Acs,34469,36870,Maimunah Bojo seperti biasa Geisha
4tafRM27Acs,36870,40230,benar-benar mirip kimono ada Winter
4tafRM27Acs,40230,42690,clothes manage setan baju-baju orang
4tafRM27Acs,42690,44280,kerja guys Harusnya kita pakai baju
4tafRM27Acs,44280,46320,remaja bener dimana baju ini mewah gitu
4tafRM27Acs,46320,48059,ya Jadi kita gak malu gitu guys Oke kita
4tafRM27Acs,48059,50579,bakal ke rumah mewah murah eh maksudnya
4tafRM27Acs,50579,52949,classroom mobil mewah di mana mobilnya
4tafRM27Acs,52949,54510,keren-keren gitu lagi sama-sama Teh
4tafRM27Acs,54510,57180,bajumu mybro manawi Fairy Snowman masih
4tafRM27Acs,57180,59460,jadi cemani gasu banyak sekali baju baru
4tafRM27Acs,59460,61660,wgzq dikomentari guys yang mana paling
4tafRM27Acs,61660,63760,cocok gitu lagi sini ada baju ini bagi
4tafRM27Acs,63760,66189,custom Doh custom cat balet aja Mas
4tafRM27Acs,66189,68680,kasual Ah ini cocok sih guys cuman
4tafRM27Acs,68680,70840,ditaruh cari warna yang elegan kaliaji
4tafRM27Acs,70840,73060,sini ada warnanya biru Gimana cara ganti
4tafRM27Acs,73060,74890,warna biru isu bajunya ada warna merah
4tafRM27Acs,74890,77140,guys ada warna hitam kita pakai warna
4tafRM27Acs,77140,79690,coklat nah ini elegan sekali aja udah
4tafRM27Acs,79690,81580,kayak anak-anak kantoran gitu Sigmund
4tafRM27Acs,81580,83710,Ayesha harus kita bakal ganti kalahkan
