vid,start,end,text
5ceZUOeS35A,4120,7200,[Applause]
5ceZUOeS35A,14920,17920,oh headed to the top cause i'm a
5ceZUOeS35A,17920,20920,groundbreaker
5ceZUOeS35A,29230,32429,[Music]
5ceZUOeS35A,39600,42500,gladiators
5ceZUOeS35A,42500,46840,[Applause]
5ceZUOeS35A,56719,58800,that makes me invincible i know you
5ceZUOeS35A,58800,61039,ain't prepared for what you got to face
5ceZUOeS35A,61039,63199,so if you're looking for asylum it's the
5ceZUOeS35A,63199,64640,wrong place
5ceZUOeS35A,64640,67760,defeat never known it i don't condone it
5ceZUOeS35A,67760,70240,weakness never stone it i dismantle my
5ceZUOeS35A,70240,73840,opponent it's in my dna it's who i got
5ceZUOeS35A,73840,76560,to be ain't nothing stopping me fulfill
5ceZUOeS35A,76560,78720,the
5ceZUOeS35A,79320,81920,prophecy to the top cause i'm a
5ceZUOeS35A,81920,84920,groundbreaker
5ceZUOeS35A,88080,89570,a gladiator
5ceZUOeS35A,89570,96489,[Music]
5ceZUOeS35A,99770,102859,[Music]
5ceZUOeS35A,107280,110280,oh
5ceZUOeS35A,112570,115659,[Music]
5ceZUOeS35A,122320,123030,this
5ceZUOeS35A,123030,126139,[Music]
5ceZUOeS35A,126960,126960,a is
5ceZUOeS35A,144520,147669,[Music]
5ceZUOeS35A,148879,150970,oh
5ceZUOeS35A,150970,154060,[Music]
5ceZUOeS35A,157350,160080,[Music]
5ceZUOeS35A,160080,163080,uh
5ceZUOeS35A,174640,177640,hmm
