vid,start,end,text
5demuSoYzRs,0,11000,I love when phones like this arrive at our studio! I love value for money phones which are rare especially in 2022.
5demuSoYzRs,12000,16000,I’m going to unbox & give the first impressions of the Redmi Note 11T Pro+.
5demuSoYzRs,17000,36000,"And this is a 1700 Yuan(Rs 22-23k) phone, & if I compare it with realme GT Neo 3 & OnePlus 10R."
5demuSoYzRs,37000,44000,They come at around Rs 36-37k price range & this phone with similar specs is priced at Rs 22-23k.
5demuSoYzRs,45000,50000,The phone's name is big & is prohibited all over the box.
5demuSoYzRs,51000,53000,Plus it has a 120W Turbo charge.
5demuSoYzRs,54000,66000,It's launched in China & might come to India as POCO X4 GT. And I'm sure it'll come. So wait for it.
5demuSoYzRs,67000,73000,"Box Contents - First you see the case, documentation & a SIM card tool."
5demuSoYzRs,74000,82000,There's the phone & a 120W charging brick.
5demuSoYzRs,83000,89000,And you also get a USB type A to C cable.
5demuSoYzRs,90000,94000,Let's keep everything aside & look at the POCO X4 GT.
5demuSoYzRs,96000,102000,It has a boxy design & take a look at the colour.
5demuSoYzRs,104000,108000,It gives a total Chrome-Platinum feel & looks metallic.
5demuSoYzRs,109000,116000,This phone looks tall as compared to other Redmi phones.
5demuSoYzRs,117000,121000,There's a reason as it's a 20.5:9 aspect ratio phone while others have 20:9.
5demuSoYzRs,122000,129000,The back is plastic while the front is Gorilla Glass protected. I'm not sure of the version but it's there.
5demuSoYzRs,130000,136000,"The SIM card tray is a dual nano slot, so you don't get expandable storage."
5demuSoYzRs,137000,145000,It has a beautiful in-hand feel. It's well built & even average hands can hold it.
5demuSoYzRs,146000,152000,It feels around 195g in terms of weight. Let's see.
5demuSoYzRs,153000,158000,It's an even 200.2g. Should we drop it without the case?
5demuSoYzRs,159000,163000,It comes with Gorilla Glass but let's see what happens after we drop it.
5demuSoYzRs,167000,169000,Nothing as it comes with a scratch guard applied.
5demuSoYzRs,170000,172000,There shouldn't be any problems from the back as well.
5demuSoYzRs,173000,179000,Hit SUBSCRIBE if you're enjoying the video.
5demuSoYzRs,180000,182000,It's time to start the phone & see what's inside.
5demuSoYzRs,183000,192000,"That's a 6.6"" FHD+ 144Hz talk LCD display."
5demuSoYzRs,193000,199000,And it's an adaptive display & goes from 30Hz-144Hz accordingly.
5demuSoYzRs,200000,203000,You can also manually change it from 60Hz or 144Hz.
5demuSoYzRs,204000,213000,"Even though it's not AMOLED, it gets an A+ rating by Display Mate for its IPS screen. And the quality is top notch."
5demuSoYzRs,214000,218000,"If you look at the display, it really looks nice & very close to AMOLED."
5demuSoYzRs,219000,229000,The display & video viewing is fun. You're  getting a tall & wide display.
5demuSoYzRs,230000,236000,"If you're buying a phone for multimedia, then this'll be nice as it has stereo speakers (Dolby Atmos)."
5demuSoYzRs,237000,242000,And even the display supports Dolby Vision. Generally you get Widevine L3 on Chinese phones but here you have L1.
5demuSoYzRs,243000,254000,Specifications - The base variant (6GB+128GN) comes at 1699 Yuan(Rs 22-23k).
5demuSoYzRs,255000,262000,Its processor at under Rs 25k is the Dimensity 8100.
5demuSoYzRs,263000,268000,On paper it's Antutu score is 787341 which is almost like a flagship score.
5demuSoYzRs,269000,274000,Xiaomi claims that it goes around 8.3L. But when we tested it was around 7.8L
5demuSoYzRs,275000,279000,And the score is noticeable when playing games.
5demuSoYzRs,280000,289000,The performance is top notch as it has an LPDDR5 RAM & UFS3.1 storage type.
5demuSoYzRs,290000,292000,Now they're flagship level specs & improves the performance.
5demuSoYzRs,293000,300000,You can play BGMI on Ultra-HD as it's locked. But it might be available when it comes to India as POCO.
5demuSoYzRs,301000,306000,But you can play it on the 2nd highest graphics & it'll run smooth as well.
5demuSoYzRs,307000,312000,We played Apex Legends as well as CODM & it's fun playing on it.
5demuSoYzRs,313000,321000,If you're into binge watching or gaming then the 4400mAh battery seems less.
5demuSoYzRs,322000,328000,But you get a 120W fast charging so that's great.
5demuSoYzRs,329000,333000,Now this is the Pro+ variant with a small battery & super fast charging.
5demuSoYzRs,334000,341000,"Whereas if you buy the Pro variant, you'll get a 5080mAh battery with 67W fast charging."
5demuSoYzRs,342000,349000,It's a better combination. Which one would you prefer? COMMENT below!
5demuSoYzRs,350000,358000,"But the 4400mAh battery is enough. In fact, it has a P1 chip that increases its battery."
5demuSoYzRs,359000,360000,So you can use it throughout the day.
5demuSoYzRs,361000,372000,Connectivity - It gets top notch connectivity with 5G & it'll come with at least 8 bands in India.
5demuSoYzRs,373000,377000,It has WiFi 6 & BT 5.3
5demuSoYzRs,378000,388000,"Sensors - You get all sensors, a side mounted fingerprint sensor, an IR blaster & NFC as well."
5demuSoYzRs,389000,393000,"When it comes to India as POCO X4 GT, the NFC support may/may not be there."
5demuSoYzRs,394000,400000,Other Features - It's IP53 certified & is dust & water resistant.
5demuSoYzRs,401000,406000,Camera - I can't really say that the cameras are flagship level.
5demuSoYzRs,407000,414000,It has a 64MP(primary)+8MP(UW)+2MP(Macro) triple camera setup.
5demuSoYzRs,415000,422000,And the primary sensor is Samsung GW. And it clicks average photos.
5demuSoYzRs,423000,432000,And we've provided all photo links in the description for you to check out.
5demuSoYzRs,433000,437000,"Overall, the cameras are average or slightly above average."
5demuSoYzRs,438000,449000,There's a 16MP selfie sensor & the skin tones are ok as it's a Chinese variant.
5demuSoYzRs,450000,456000,The 64MP sensor supports 4K@30fps & the 16MP selfie supports 1080p@30fps for videography.
5demuSoYzRs,457000,469000,"Camera Features - There's a 1960fps slow motion, time lapse, clone, macro videography etc."
5demuSoYzRs,470000,483000,"If you look at the camera module, it looks exactly like the iPhone."
5demuSoYzRs,484000,490000,OS - It comes on Android 12 out of the box with MIUI 13.
5demuSoYzRs,491000,494000,It's a Chinese variant & you get many pre-installed apps.
5demuSoYzRs,495000,502000,"But it's butter smooth & in terms of performance, I loved it."
5demuSoYzRs,503000,514000,I just hope it comes at the same price range(Rs 22-23k) & it'll be highly recommended at these specs.
5demuSoYzRs,515000,518000,"That's all for this video, until the next one, Keep Trakin and Stay Safe!"
