vid,start,end,text
60XuQvakg_s,80,2080,so for today's video it's gonna be a
60XuQvakg_s,2080,3919,little bit different than my normal
60XuQvakg_s,3919,6399,content consider today's video a part
60XuQvakg_s,6399,9440,two or a continuation of last week's
60XuQvakg_s,9440,11599,video and if you didn't see last week's
60XuQvakg_s,11599,14240,video before we even begin to get into
60XuQvakg_s,14240,16240,it i highly encourage you to watch that
60XuQvakg_s,16240,18000,video that way you guys can get caught
60XuQvakg_s,18000,20560,up about the whole gist of this week's
60XuQvakg_s,20560,22320,video that way you can get all the scoop
60XuQvakg_s,22320,23439,and know all the little extra
60XuQvakg_s,23439,25599,information involved and just to sum up
60XuQvakg_s,25599,27279,very lightly last week's video if you
60XuQvakg_s,27279,29840,didn't watch it i had the opportunity to
60XuQvakg_s,29840,32719,test out these two thousand dollar louis
60XuQvakg_s,32719,35600,vuitton watercolor paints and it didn't
60XuQvakg_s,35600,37920,come as a surprise to me that these
60XuQvakg_s,37920,40719,paints in my opinion were definitely not
60XuQvakg_s,40719,42480,worth the two thousand dollars that i
60XuQvakg_s,42480,44960,spent on them because i have tested out
60XuQvakg_s,44960,46719,other high-end fashion brand art
60XuQvakg_s,46719,48719,supplies in the past like the gucci
60XuQvakg_s,48719,50719,pencils the other louis vuitton pencils
60XuQvakg_s,50719,52559,you know other things like that and all
60XuQvakg_s,52559,54640,of those r supplies were definitely
60XuQvakg_s,54640,56960,nowhere near in my opinion worth what
60XuQvakg_s,56960,58960,they were selling for so low quality on
60XuQvakg_s,58960,60879,these wasn't a surprise but what was a
60XuQvakg_s,60879,63520,surprise to me is that when the video
60XuQvakg_s,63520,66159,went live i started getting comment
60XuQvakg_s,66159,68240,after comment after comment after
60XuQvakg_s,68240,70240,comment of different people telling me
60XuQvakg_s,70240,72320,that these two thousand dollar louis
60XuQvakg_s,72320,74799,vuitton watercolors that they look oddly
60XuQvakg_s,74799,77119,similar to the brand the sennelier's la
60XuQvakg_s,77119,80159,petite aqua whale 12-pack watercolor and
60XuQvakg_s,80159,81759,in the past when i reviewed the louis
60XuQvakg_s,81759,84159,vuitton art supplies i was never able to
60XuQvakg_s,84159,86240,i guess technically prove that louis
60XuQvakg_s,86240,88159,vuitton themselves didn't make the art
60XuQvakg_s,88159,90240,supplies but i kind of theorized and
60XuQvakg_s,90240,92240,speculated that louis vuitton probably
60XuQvakg_s,92240,94400,bought an existing art supply company's
60XuQvakg_s,94400,96079,colored pencils and just slapped their
60XuQvakg_s,96079,98240,name on it but after seeing all those
60XuQvakg_s,98240,100479,comments of people saying that they look
60XuQvakg_s,100479,102880,very oddly similar of course what is the
60XuQvakg_s,102880,104960,girl to do other than
60XuQvakg_s,104960,107280,buy the exact product and so today for
60XuQvakg_s,107280,109200,the first time on my channel i am going
60XuQvakg_s,109200,111600,to be comparing what me and a lot of my
60XuQvakg_s,111600,113840,audience members think might be the
60XuQvakg_s,113840,116000,original art supply that this one came
60XuQvakg_s,116000,118399,from this entire video is gonna be all
60XuQvakg_s,118399,120479,about why these two thousand dollar
60XuQvakg_s,120479,122880,louis vuitton watercolor pencils are not
60XuQvakg_s,122880,124640,worth the price and you guys know i
60XuQvakg_s,124640,126399,always try my best on this channel to
60XuQvakg_s,126399,128640,let you guys know what i think is a good
60XuQvakg_s,128640,130800,deal which is specifically why i chose
60XuQvakg_s,130800,133200,search shark vpn to sponsor this video
60XuQvakg_s,133200,135599,if you don't know what a vpn is and just
