vid,start,end,text
6TjOcc88kog,280,56960,[Music]
6TjOcc88kog,56960,76169,one  [Music]
6TjOcc88kog,81340,90320,[Music]
6TjOcc88kog,90320,103609,guys  [Music]
6TjOcc88kog,104159,119600,so  [Music]
6TjOcc88kog,119600,145179,so  [Music]
6TjOcc88kog,159519,172599,so  [Music]
6TjOcc88kog,174640,177640,so
6TjOcc88kog,180040,218079,[Music]
6TjOcc88kog,218160,242969,[Laughter]  [Music]
6TjOcc88kog,258400,280149,so  [Music]
6TjOcc88kog,285919,288919,so
6TjOcc88kog,296510,374680,[Music]
6TjOcc88kog,381270,398669,[Music]
6TjOcc88kog,404710,409479,[Music]  do
6TjOcc88kog,410990,418099,[Music]
6TjOcc88kog,420340,428039,[Music]  so
6TjOcc88kog,429220,434029,[Music]
6TjOcc88kog,440080,443279,[Music]
6TjOcc88kog,446350,497630,[Music]
6TjOcc88kog,497630,537519,[Applause]  [Music]
6TjOcc88kog,539040,593329,so  [Music]
6TjOcc88kog,594399,597399,so
6TjOcc88kog,602360,606350,[Music]
6TjOcc88kog,608320,628989,so  [Music]
6TjOcc88kog,630000,633000,um
6TjOcc88kog,640000,650000,[Music]
6TjOcc88kog,650000,656230,so  [Music]
6TjOcc88kog,667430,682729,[Music]
6TjOcc88kog,688000,691000,um
6TjOcc88kog,704930,710089,[Music]
6TjOcc88kog,717850,730000,[Music]
6TjOcc88kog,730000,745870,uh  [Music]
6TjOcc88kog,754650,757820,[Music]
6TjOcc88kog,763460,767200,[Music]
6TjOcc88kog,791070,802130,[Music]
6TjOcc88kog,803519,806519,so
6TjOcc88kog,809760,816250,[Music]
6TjOcc88kog,816250,822549,[Applause]  [Music]  [Applause]
6TjOcc88kog,822800,826019,[Music]
6TjOcc88kog,832780,847409,[Music]
6TjOcc88kog,847920,864248,do  [Applause]  [Music]
6TjOcc88kog,868640,902090,[Music]
6TjOcc88kog,902090,918329,[Applause]  so  [Music]
6TjOcc88kog,920680,944100,[Music]
6TjOcc88kog,944100,973219,[Applause]  [Music]
6TjOcc88kog,973680,989650,so  [Music]
6TjOcc88kog,989650,1003830,[Applause]  [Music]
6TjOcc88kog,1005890,1017719,[Applause]  [Music]
6TjOcc88kog,1017759,1020759,ah
6TjOcc88kog,1031099,1042808,[Music]
6TjOcc88kog,1044640,1087690,so  [Music]
6TjOcc88kog,1087690,1146829,[Applause]  [Music]
6TjOcc88kog,1149840,1173980,you  [Music]
6TjOcc88kog,1180580,1197979,[Music]
6TjOcc88kog,1204030,1207230,[Music]
6TjOcc88kog,1210300,1217409,[Music]
6TjOcc88kog,1219660,1231890,[Music]
6TjOcc88kog,1236290,1269730,[Music]  so  [Music]
6TjOcc88kog,1269730,1291580,[Applause]  [Music]
6TjOcc88kog,1291580,1321600,[Applause]  [Music]
6TjOcc88kog,1321600,1324600,my
6TjOcc88kog,1328600,1331700,[Music]
6TjOcc88kog,1336280,1372839,[Music]
6TjOcc88kog,1377120,1424870,oh  [Music]
6TjOcc88kog,1428640,1431640,oh
6TjOcc88kog,1439590,1445590,[Music]
6TjOcc88kog,1446640,1465200,is  [Music]
6TjOcc88kog,1465200,1484309,do  [Music]
6TjOcc88kog,1488080,1493839,uh  [Music]
6TjOcc88kog,1499850,1548849,[Music]
6TjOcc88kog,1551720,1635609,[Music]
6TjOcc88kog,1639640,1646910,[Music]  so
6TjOcc88kog,1646910,1653130,[Music]  [Applause]
6TjOcc88kog,1653130,1680020,[Music]  [Applause]  [Music]
6TjOcc88kog,1685170,1693470,[Music]
6TjOcc88kog,1697590,1701750,[Music]
6TjOcc88kog,1705750,1742969,[Music]
6TjOcc88kog,1744960,1810609,so  [Music]
6TjOcc88kog,1812670,1831180,[Music]
6TjOcc88kog,1833250,1839970,[Music]
6TjOcc88kog,1842240,1874499,so  [Music]
6TjOcc88kog,1876570,1895069,[Music]
6TjOcc88kog,1897140,1938410,[Music]
6TjOcc88kog,1940450,1996969,[Music]
6TjOcc88kog,1998080,2002279,so  [Music]
6TjOcc88kog,2004300,2009439,[Music]
6TjOcc88kog,2015740,2019670,[Music]
6TjOcc88kog,2029150,2033840,[Music]  foreign
