vid,start,end,text
6jXlzcfoZcg,0,2639,taco bell hack number three mexican
6jXlzcfoZcg,2639,5200,pizza hack if the mexican pizza is no
6jXlzcfoZcg,5200,6960,longer at taco bell while you're
6jXlzcfoZcg,6960,9040,watching this here's a hack to bring it
6jXlzcfoZcg,9040,11440,back order two flour tortillas
6jXlzcfoZcg,11440,14400,substitute tostada it should be 80 cents
6jXlzcfoZcg,14400,16880,and look like this now order a bean
6jXlzcfoZcg,16880,19279,burrito add seasoned beef and add
6jXlzcfoZcg,19279,21760,tomatoes on the side the bean burrito
6jXlzcfoZcg,21760,24160,comes with red sauce and cheese two
6jXlzcfoZcg,24160,26720,ingredients already on the mexican pizza
6jXlzcfoZcg,26720,28800,make sure to ask for those to be on the
6jXlzcfoZcg,28800,30880,side now spread the bean and beef
6jXlzcfoZcg,30880,33760,mixture onto the tostada place a tostada
6jXlzcfoZcg,33760,36160,on top and add red sauce cheese and
6jXlzcfoZcg,36160,38079,tomatoes the temperature of the red
6jXlzcfoZcg,38079,40960,sauce actually comes hot which will melt
6jXlzcfoZcg,40960,45640,the cheese it's the mexican pizza
6jXlzcfoZcg,45840,47760,did i do it wrong and you've got the
6jXlzcfoZcg,47760,50480,closest thing to a mexican pizza without
6jXlzcfoZcg,50480,53199,it being a mexican pizza do this hack
6jXlzcfoZcg,53199,54960,it's a lot of work don't get ripped off
6jXlzcfoZcg,54960,57280,i don't know
