vid,start,end,text
6pQoUk4VOx4,0,1439,let's say you've got loads of money and
6pQoUk4VOx4,1439,4560,you want a posh luxury suv with a sporty
6pQoUk4VOx4,4560,6000,edge to it but you don't want to give
6pQoUk4VOx4,6000,7839,the tax man loads of cash
6pQoUk4VOx4,7839,9200,you're gonna need the plug-in hybrid and
6pQoUk4VOx4,9200,10960,the bentley bentayga hybrid is a good
6pQoUk4VOx4,10960,12320,choice but
6pQoUk4VOx4,12320,14559,if you're cash savvy even though you're
6pQoUk4VOx4,14559,15599,rich
6pQoUk4VOx4,15599,16800,should you really be spending all that
6pQoUk4VOx4,16800,18880,extra on the bentley bentayga plug-in
6pQoUk4VOx4,18880,20960,hybrid when you could have a range rover
6pQoUk4VOx4,20960,23680,sport plug-in hybrid is this really
6pQoUk4VOx4,23680,25760,twice as good as this car because it's
6pQoUk4VOx4,25760,27760,pretty much twice the money well in this
6pQoUk4VOx4,27760,28640,video
6pQoUk4VOx4,28640,30480,we're gonna find out we're going to do
6pQoUk4VOx4,30480,32719,that by comparing their exteriors their
6pQoUk4VOx4,32719,34559,interiors just how luxurious they are
6pQoUk4VOx4,34559,36239,their technology i'm going to launch
6pQoUk4VOx4,36239,37360,them to see how quick they are from
6pQoUk4VOx4,37360,38640,north to 60 miles an hour because that
6pQoUk4VOx4,38640,40079,matters also we're going to compare
6pQoUk4VOx4,40079,41920,their efficiency and how much they will
6pQoUk4VOx4,41920,43600,cost you per month anyway i'm matt
6pQoUk4VOx4,43600,45920,watson and you're watching car wow yes
6pQoUk4VOx4,45920,47120,you are
6pQoUk4VOx4,47120,49200,buying a new car then head to car wow
6pQoUk4VOx4,49200,50719,and my team will help you find your next
6pQoUk4VOx4,50719,53120,car at a fair price car wow your
6pQoUk4VOx4,53120,55520,one-stop car buying comparison site
6pQoUk4VOx4,55520,56960,let's start this video by comparing
6pQoUk4VOx4,56960,58879,these cars hybrid systems so this
6pQoUk4VOx4,58879,60800,bentley has a three liter turbocharged
6pQoUk4VOx4,60800,62800,v6 mated to an electric motor and it
6pQoUk4VOx4,62800,65920,puts out 449 horsepower and 700 newton
6pQoUk4VOx4,65920,67439,meters of torque it drives all four
6pQoUk4VOx4,67439,69119,wheels fine eight speed automatic
6pQoUk4VOx4,69119,70799,gearbox this land rover also has
6pQoUk4VOx4,70799,72640,all-wheel drive and an 8-speed automatic
6pQoUk4VOx4,72640,75040,gearbox however its engine has two less
6pQoUk4VOx4,75040,76799,cylinders than the bentleys it's just a
6pQoUk4VOx4,76799,79600,two-liter four-cylinder combined with an
6pQoUk4VOx4,79600,82159,electric motor that still puts out 404
6pQoUk4VOx4,82159,84560,horsepower and 640 newton meters of
6pQoUk4VOx4,84560,85920,torque what does this all mean for the
6pQoUk4VOx4,85920,88080,performance well apparently this bentley
6pQoUk4VOx4,88080,90479,can do naught 60 in 5.2 seconds the
6pQoUk4VOx4,90479,92960,range rover is supposed to do it in 5.9
6pQoUk4VOx4,92960,94960,seconds so it seems slower on paper but
6pQoUk4VOx4,94960,96560,is it in reality well we're going to
6pQoUk4VOx4,96560,97759,find out a bit later in this video
6pQoUk4VOx4,97759,99040,because i will be launching them and
6pQoUk4VOx4,99040,101280,we'll see what the truth really is i've
6pQoUk4VOx4,101280,104320,gone really clarkson oh yes in the world
6pQoUk4VOx4,104320,105600,and i saw what these cars like to drive
6pQoUk4VOx4,105600,106960,in town first of all and i'm going to
6pQoUk4VOx4,106960,108880,start with a range rover it will
6pQoUk4VOx4,108880,110159,generally let you just drive along
6pQoUk4VOx4,110159,112560,slowly on electric power alone it suits
6pQoUk4VOx4,112560,113920,this kind of car just in town when
6pQoUk4VOx4,113920,115360,you're just poodling around because it's
6pQoUk4VOx4,115360,117680,silent it's just relaxing i like it the
6pQoUk4VOx4,117680,119200,only issue comes when you suddenly need
6pQoUk4VOx4,119200,121119,to do a maneuver and overtake someone so
6pQoUk4VOx4,121119,123280,you floor the throttle
6pQoUk4VOx4,123280,125360,there you go it does take a while for
6pQoUk4VOx4,125360,128160,the engine the electric motor the
6pQoUk4VOx4,128160,130479,gearbox to all workers one it's almost
6pQoUk4VOx4,130479,132239,as if you're on a zoom call and there's
6pQoUk4VOx4,132239,134000,some kind of like lag with someone's
6pQoUk4VOx4,134000,135920,connection and they just keep freezing
6pQoUk4VOx4,135920,138239,it takes a while for you all to sync up
6pQoUk4VOx4,138239,140720,it's not ideal but it does just about
6pQoUk4VOx4,140720,142800,work and then when you back off again in
6pQoUk4VOx4,142800,144640,electric power you forget all about it
6pQoUk4VOx4,144640,145599,because it's all just relaxed and
6pQoUk4VOx4,145599,147280,chilled again you don't sit quite as
6pQoUk4VOx4,147280,149680,high in this range over sport version as
6pQoUk4VOx4,149680,151680,you do the normal big daddy range rover
6pQoUk4VOx4,151680,153920,but it's still a fairly lofty driving
6pQoUk4VOx4,153920,155440,position and it's a bit more
6pQoUk4VOx4,155440,156959,maneuverable than you think it would be
6pQoUk4VOx4,156959,159360,as well easy to do u-turn i'd say what's
6pQoUk4VOx4,159360,160720,good as well the suspension air
6pQoUk4VOx4,160720,163200,suspension deals with bumps nicely only
6pQoUk4VOx4,163200,165360,occasionally do you get a certain like
6pQoUk4VOx4,165360,167519,jolt when there's a real sharp bump but
6pQoUk4VOx4,167519,169440,on the whole it's rather comfortable
6pQoUk4VOx4,169440,171440,even though it's called the sport
6pQoUk4VOx4,171440,172879,the last thing to mention are the brakes
6pQoUk4VOx4,172879,174720,you see the brakes can feel a little bit
6pQoUk4VOx4,174720,176720,grabby sometimes in hybrids because the
6pQoUk4VOx4,176720,178080,first part you're braking actually
6pQoUk4VOx4,178080,179680,recoups lost energy and puts it back
6pQoUk4VOx4,179680,180879,into the battery so you're not actually
6pQoUk4VOx4,180879,182480,using the normal friction brake to slow
6pQoUk4VOx4,182480,184000,down for that first part you're actually
6pQoUk4VOx4,184000,186080,just using the motor in reverse and that
6pQoUk4VOx4,186080,187680,can make the brake pedal feel a bit odd
6pQoUk4VOx4,187680,189040,but the one in this is nice and
6pQoUk4VOx4,189040,190400,consistent
6pQoUk4VOx4,190400,191680,i've jumped out of the range rover and
6pQoUk4VOx4,191680,193920,now i'm in the bentley and just like
6pQoUk4VOx4,193920,196400,with the range over sport it will run in
6pQoUk4VOx4,196400,198239,electric power alone for a certain
6pQoUk4VOx4,198239,200400,distance you get 25 miles if you're very
6pQoUk4VOx4,200400,202560,very careful out of it and when you're
6pQoUk4VOx4,202560,204319,just pooling around it's just electric
6pQoUk4VOx4,204319,206480,only so it's super quiet and dead easy
6pQoUk4VOx4,206480,208159,and relaxing one thing i like about this
6pQoUk4VOx4,208159,210640,bentley though is it lets you know
6pQoUk4VOx4,210640,213360,the transition between being electric
6pQoUk4VOx4,213360,215280,and the internal combustion engine
6pQoUk4VOx4,215280,217040,coming in by actually putting like a
6pQoUk4VOx4,217040,219760,full stop on the throttle pedal so you
6pQoUk4VOx4,219760,221440,feel like you've bottomed out but you
6pQoUk4VOx4,221440,222799,haven't really because that's actually
6pQoUk4VOx4,222799,224959,just for electric power then if you push
6pQoUk4VOx4,224959,226720,past almost like a kick down
6pQoUk4VOx4,226720,228959,when the whole system just wakes up then
6pQoUk4VOx4,228959,231040,and you get full power because the
6pQoUk4VOx4,231040,232799,petrol motor has just sparked into life
6pQoUk4VOx4,232799,234480,and the system works a little bit better
6pQoUk4VOx4,234480,237120,in more harmony than that in the range
6pQoUk4VOx4,237120,238879,rover it's also not quite as noisy when
6pQoUk4VOx4,238879,240159,you put your foot down as well because
6pQoUk4VOx4,240159,241599,you've got a six cylinder engine which
6pQoUk4VOx4,241599,243519,just is bigger and beefer and it's just
6pQoUk4VOx4,243519,245120,got a bit more off so it's a bit more
6pQoUk4VOx4,245120,247040,refined a bit more bentley like see
6pQoUk4VOx4,247040,248560,what's also more bentley like well that
6pQoUk4VOx4,248560,250560,range rover is very comfy this is even
6pQoUk4VOx4,250560,252799,better over bumps i mean it's so good it
6pQoUk4VOx4,252799,254080,just soaks them up i mean you'd be
6pQoUk4VOx4,254080,255519,perfectly fine with a range rover but
6pQoUk4VOx4,255519,257840,this once you've tried this
6pQoUk4VOx4,257840,259919,oh yeah you're gonna want to stay in the
6pQoUk4VOx4,259919,262079,bentley one last thing to assess on the
6pQoUk4VOx4,262079,264639,bentayga brakes yeah they're smooth and
6pQoUk4VOx4,264639,266080,progressive they're not grabby pretty
6pQoUk4VOx4,266080,268080,much as good as the range rovers if
6pQoUk4VOx4,268080,269040,you're going to make the most of these
6pQoUk4VOx4,269040,271280,cars hybrid capabilities you need to
6pQoUk4VOx4,271280,273360,regularly plug them in and charge them
6pQoUk4VOx4,273360,275919,up this is ridiculous anyway
6pQoUk4VOx4,275919,278240,this range rover has a 13 kilowatt hour
6pQoUk4VOx4,278240,280720,battery pack and on a 7 kilowatt charger
6pQoUk4VOx4,280720,283520,it takes two hours 45 minutes to fully
6pQoUk4VOx4,283520,285360,charge the bentayga has a larger battery
6pQoUk4VOx4,285360,287120,pack it's 17 kilowatt hours yet it's
6pQoUk4VOx4,287120,288800,quicker to charge using a seven kilowatt
6pQoUk4VOx4,288800,290560,charger you can do it in two and a half
6pQoUk4VOx4,290560,292639,hours now despite this having the bigger
6pQoUk4VOx4,292639,295120,battery it still does the same 25 miles
6pQoUk4VOx4,295120,297520,of electric only range as the range
6pQoUk4VOx4,297520,299440,rover the problem is though that by
6pQoUk4VOx4,299440,301520,adding batteries and motors these cars
6pQoUk4VOx4,301520,304000,are heavier than their nearest petrol
6pQoUk4VOx4,304000,305840,equivalent for instance this range rover
6pQoUk4VOx4,305840,307680,hybrid comes in at two and a half tons
6pQoUk4VOx4,307680,310080,which is about 200 kilos heavier than
6pQoUk4VOx4,310080,312639,the straight six this hybrid bentayga
6pQoUk4VOx4,312639,315360,comes in at 2.6 tons which is about 200
6pQoUk4VOx4,315360,318160,kilos heavier than the v8 version
6pQoUk4VOx4,318160,320240,how does that affect braking speaking of
6pQoUk4VOx4,320240,322240,which this bentayga has 400 millimeter
6pQoUk4VOx4,322240,324000,discs up front and 380 millimeter disc
6pQoUk4VOx4,324000,326080,at the back whereas this range rover has
6pQoUk4VOx4,326080,328400,380 millimeter discs at the front and
6pQoUk4VOx4,328400,330479,365 millimeter disc at the back i think
6pQoUk4VOx4,330479,332080,it's time for a brake test to see how
6pQoUk4VOx4,332080,334400,well these cars stop from 60 miles an
6pQoUk4VOx4,334400,335280,hour
6pQoUk4VOx4,335280,336320,okay now i'm going to do a full
6pQoUk4VOx4,336320,338639,emergency stop from 60 miles an hour see
6pQoUk4VOx4,338639,340479,how long it takes to stop this big heavy
6pQoUk4VOx4,340479,343360,car braking now
6pQoUk4VOx4,343360,345680,oh
6pQoUk4VOx4,345919,349120,it took 35 meters now let's try the
6pQoUk4VOx4,349120,351440,bentley okay now i'm gonna break test
6pQoUk4VOx4,351440,353520,the bentayga see if it can do better
6pQoUk4VOx4,353520,355520,than the range rover sport what's it
6pQoUk4VOx4,355520,357918,gonna do
6pQoUk4VOx4,360800,363280,that's felt pretty good oh yes stop from
6pQoUk4VOx4,363280,366400,60 in 33 meters so better than the range
6pQoUk4VOx4,366400,369120,rover those two meters could be vital
6pQoUk4VOx4,369120,370639,hey just wanted to interrupt the video
6pQoUk4VOx4,370639,372720,to give you some news you can now sell
6pQoUk4VOx4,372720,374960,your car through carway all you have to
6pQoUk4VOx4,374960,377199,do is upload some photos give us a brief
6pQoUk4VOx4,377199,379120,description of it then our dealers will
6pQoUk4VOx4,379120,381680,bid on your car and the price you're
6pQoUk4VOx4,381680,383440,quoted will be the price they actually
6pQoUk4VOx4,383440,385360,pay you they'll even come to your house
6pQoUk4VOx4,385360,386960,and take your car away and give you the
6pQoUk4VOx4,386960,388400,cash now if you want to sell your car
6pQoUk4VOx4,388400,389600,through car wow click on the pop-up
6pQoUk4VOx4,389600,390880,banner up there for the link in the
6pQoUk4VOx4,390880,393600,description below it's dead easy
6pQoUk4VOx4,393600,395120,now let's talk about the design of these
6pQoUk4VOx4,395120,397440,cars starting with the front so the
6pQoUk4VOx4,397440,400319,range over sport it's just a very simple
6pQoUk4VOx4,400319,402800,good looking suv looks expensive but
6pQoUk4VOx4,402800,404319,it's not too in your face and showy
6pQoUk4VOx4,404319,406240,unlike the bentley which is definitely
6pQoUk4VOx4,406240,407759,showy especially when you go for the
6pQoUk4VOx4,407759,410160,chrome grille say chrome it's chrome
6pQoUk4VOx4,410160,412560,paint because this grille is all plastic
6pQoUk4VOx4,412560,413840,i do like the lights of the bentley
6pQoUk4VOx4,413840,416960,though very very smart and like jewelry
6pQoUk4VOx4,416960,419280,like however overall i think that the
6pQoUk4VOx4,419280,421280,range rover has the better looking face
6pQoUk4VOx4,421280,423280,that's just a little bit weird
6pQoUk4VOx4,423280,425360,thankfully the bentayga is much better
6pQoUk4VOx4,425360,428240,looking from the side the chrome really
6pQoUk4VOx4,428240,429919,works here actually it just highlights
6pQoUk4VOx4,429919,432160,the body and the shapes and contours in
6pQoUk4VOx4,432160,434080,the metal work and i love this kind of
6pQoUk4VOx4,434080,435599,pronounced rear haunches it looks
6pQoUk4VOx4,435599,436960,muscular
6pQoUk4VOx4,436960,438479,also on the hybrid version you can have
6pQoUk4VOx4,438479,440720,wheel sizes up to 22 inches whereas on
6pQoUk4VOx4,440720,442880,the range rover hybrid version maximum
6pQoUk4VOx4,442880,445680,size is 21 inches one inch less can make
6pQoUk4VOx4,445680,447039,all the difference the shape of the
6pQoUk4VOx4,447039,448880,range rover is classic it's quite boxy
6pQoUk4VOx4,448880,451120,but it looks good as good as the ben
6pQoUk4VOx4,451120,452560,taker
6pQoUk4VOx4,452560,453680,i think from the side i prefer the
6pQoUk4VOx4,453680,456080,bentayga finally let's compare the back
6pQoUk4VOx4,456080,458000,ends of these cars now i like the rear
6pQoUk4VOx4,458000,459360,of this bentayga it's sort of like a
6pQoUk4VOx4,459360,461199,continental gt that's been jacked up
6pQoUk4VOx4,461199,463440,slightly the range rover it's okay
6pQoUk4VOx4,463440,465680,there's something slightly bulbous about
6pQoUk4VOx4,465680,468400,it a bit like a baboon on heat also
6pQoUk4VOx4,468400,470080,there's some fakery going on as i'll
6pQoUk4VOx4,470080,472400,illustrate now with my rimac
6pQoUk4VOx4,472400,474639,sticker truth so that's a fake diffuser
6pQoUk4VOx4,474639,476800,there and these exhaust surrounds not
6pQoUk4VOx4,476800,477919,exactly fake they're more of an
6pQoUk4VOx4,477919,479440,exaggeration because it's got these
6pQoUk4VOx4,479440,481039,single little exhaust pipes in there
6pQoUk4VOx4,481039,482479,whereas those on the bend take it each
6pQoUk4VOx4,482479,484639,have a real exhaust pipe in those
6pQoUk4VOx4,484639,486160,openings i think they're a bit better in
6pQoUk4VOx4,486160,489039,terms of pricing though this thing's 155
6pQoUk4VOx4,489039,491919,000 pounds starting this 75 grand and i
6pQoUk4VOx4,491919,493680,don't think the bentayga looks twice as
6pQoUk4VOx4,493680,495440,expensive as the range rover do you
6pQoUk4VOx4,495440,496879,agree with me let me know in the
6pQoUk4VOx4,496879,498240,comments below oh and if you're thinking
6pQoUk4VOx4,498240,499599,about buying a new car and you want to
6pQoUk4VOx4,499599,500800,make sure you're paying a fair price
6pQoUk4VOx4,500800,502319,click on the pop out banner up there
6pQoUk4VOx4,502319,503680,follow the link in the description to
6pQoUk4VOx4,503680,505840,get a car wow alternatively just google
6pQoUk4VOx4,505840,507840,help me car wow so my team and i help
6pQoUk4VOx4,507840,509199,you choose the right car for you and get
6pQoUk4VOx4,509199,510479,it for a fair price for one of our
6pQoUk4VOx4,510479,512240,trusted dealers it's here on the inside
6pQoUk4VOx4,512240,514159,where the bentley starts to feel twice
6pQoUk4VOx4,514159,516880,as expensive as the range rover it's
6pQoUk4VOx4,516880,517839,just
6pQoUk4VOx4,517839,520880,lovely in it absolutely gorgeous just
6pQoUk4VOx4,520880,524159,the material quality the design in italy
6pQoUk4VOx4,524159,525920,this does have the ten thousand pound
6pQoUk4VOx4,525920,527519,mulliner pack which includes like
6pQoUk4VOx4,527519,529440,quilted stitching on the seats these
6pQoUk4VOx4,529440,531680,lovely aluminium pedals and bit more
6pQoUk4VOx4,531680,533920,diamond quilting us here on the doors
6pQoUk4VOx4,533920,536399,great a few buttons feel a little bit
6pQoUk4VOx4,536399,537360,kind of
6pQoUk4VOx4,537360,539360,cheap for such an expensive car but
6pQoUk4VOx4,539360,542320,overall it's just exquisite infotainment
6pQoUk4VOx4,542320,544240,system's good as well it's not the best
