vid,start,end,text
6upux32grZg,0,2520,Ama sen arkadaşlar kanalıma ve videoma
6upux32grZg,2520,5870,Hoş geldiniz Bugün şu anda çok çok
6upux32grZg,5870,9389,heyecanlıyım Çünkü birkaç saat sonra
6upux32grZg,9389,12320,yani 2-3 saat sonra falan ters
6upux32grZg,12320,14969,çok heyecanlıyım burada Valizin var
6upux32grZg,14969,17510,hatta ve eşyaları var sultanlık
6upux32grZg,17510,21170,valizinde ki son şeyleri koyuyorum artık
6upux32grZg,21170,23670,Kuşadası İzmir'e gidiyoruz Orada çok
6upux32grZg,23670,25769,büyük aqua parkları çok güzel videolar
6upux32grZg,25769,28349,çekeceğim bir otel var Oraya gidiyoruz
6upux32grZg,28349,31109,Hatta da akıl fantasialand galiba
6upux32grZg,31109,32300,öyleydi
6upux32grZg,32300,34649,orada çok güzel videolar çekeceğim falan
6upux32grZg,34649,37440,İstanbul videoda yolculuklu yani
6upux32grZg,37440,39420,yolculuk yaparken çekeceğim işlem
6upux32grZg,39420,41820,oralarda falan giderken çekeceğim bizim
6upux32grZg,41820,44600,bu şekilde
6upux32grZg,44600,47850,Yani dediğim gibi 2-3 saat sonra yola
6upux32grZg,47850,51600,çıkacağız ve Daha zamanımız var aslında
6upux32grZg,51600,54030,ama biz tabi bütün hazırlıkları önceden
6upux32grZg,54030,57719,tamamladık Ben de mayoları bikinileri mi
6upux32grZg,57719,60010,işte düzleştiricimi
6upux32grZg,60010,62829,Bu bir malzemelerimiz haram falan onları
6upux32grZg,62829,65408,unutmuşum onları koydum ya bütün falan
6upux32grZg,65408,67689,ekledim Ama çoğu zaten aynı veririz
6upux32grZg,67689,69970,Bundaki gibi valiz Oğlum zaten
6upux32grZg,69970,72939,hazırlamıştık Sizler bölümden videosunda
6upux32grZg,72939,75640,diğer aile fertlerinden birkaç tanesi
6upux32grZg,75640,79119,uyuyor galiba şu anda böyle İzmir yakın
6upux32grZg,79119,82240,olduğu için bir de bir ekstra paralı
6upux32grZg,82240,85330,olan geleceğim gideceğimiz için izine 14
6upux32grZg,85330,88450,ya da beş saat maksimum sürecek yani
6upux32grZg,88450,91200,Antalya'ya gittim tatillerde genelde
6upux32grZg,91200,94390,yolculuğumuz 7-8 saat sürüyordu arabayla
6upux32grZg,94390,96670,çok zor oluyordu Şu an İzmir Hem daha
6upux32grZg,96670,99310,yakın hem de kısa yoldan gideceğiz O
6upux32grZg,99310,101619,yüzden dört beş saatte varırız diye
6upux32grZg,101619,105130,düşünüyorum şu an saat 11 12 civarı 3.00
6upux32grZg,105130,107710,gibi yola çıkacağız 8 9 gibi en geç
6upux32grZg,107710,109110,molalarla birlikte
6upux32grZg,109110,112209,orada oluruz de düşünüyoruz bir aksilik
6upux32grZg,112209,114909,olmazsa ben de birazdan makyajımı falan
6upux32grZg,114909,116740,sileceğim dışarıdan gelmişti makyajımı
6upux32grZg,116740,119619,kalmış biraz dizi izleyeceğim zaman
6upux32grZg,119619,122299,geçsin ve sonra da zaten yola çıkacağız
6upux32grZg,122299,124789,diğer aile üyelerinin bazıları mutfakta
6upux32grZg,124789,126590,yemek yok bazıları uyudu galiba bir
6upux32grZg,126590,129429,Hüseyin'e bakacağım Hatta şu an
6upux32grZg,129429,134300,ay Uyudun mu Pardon Anne pardon Annem de
6upux32grZg,134300,136870,seni Uyuyor musunuz
6upux32grZg,136870,140030,sadece gideceğiz Ne konu Tabii Hüseyin
6upux32grZg,140030,141950,şu an görünmek istemiyor tipsiz olduğu
6upux32grZg,141950,144980,için sabah çekerim onunla böyle oldu
6upux32grZg,144980,147489,çekiyorum Babam da sıkılıyor
6upux32grZg,147489,150650,Baba ne düşünüyorsun tatil hakkında Bu
6upux32grZg,150650,152720,seferki noktası falan çok büyük derece
6upux32grZg,152720,155349,mısın değil mi
6upux32grZg,155349,158030,babama kapak çok seviyorum annem de çok
6upux32grZg,158030,162200,sever kesinlikle bakalım bu tatil nasıl
6upux32grZg,162200,164480,olacak cümle ıslak mendille yüzüğümü
6upux32grZg,164480,166550,çıkaracağım
6upux32grZg,166550,169130,ya hani benim Makyaj temizleme pamukları
6upux32grZg,169130,172310,gördün mü kaldırıyoruz alt katta mı
6upux32grZg,172310,175310,Tamam
6upux32grZg,175600,178960,bu yaz Arkadaşlar şu an 3.00 ben
6upux32grZg,178960,182140,birazcık uyumuşum ben şimdi annem gelip
6upux32grZg,182140,185200,kaldırdı annemler yavaştan Valizleri
6upux32grZg,185200,187980,arabaya götürüyor
6upux32grZg,187980,191410,Orço çok uykum var inşallah arabada
6upux32grZg,191410,193660,rahat rahat uyurum güzel bir yolculuk
6upux32grZg,193660,196960,geçirdim gerçekten çok korkuyorum şimdi
6upux32grZg,196960,199660,arabamızı değiştirdik ve spor aldığımız
6upux32grZg,199660,200400,için
6upux32grZg,200400,203070,içi çok büyük değil
6upux32grZg,203070,206200,bu ilk defa bu arabayla tatile gideceğiz
6upux32grZg,206200,207120,inşallah
6upux32grZg,207120,209670,dahi İnşallah
6upux32grZg,209670,213070,sarıza şimdi Aşağı indim yavaştan Bir de
