vid,start,end,text
72XzVoN_XFo,320,2639,what is up guys expert thief here
72XzVoN_XFo,2639,4480,would you call me xt triple g because
72XzVoN_XFo,4480,6160,it's time for another episode of grand
72XzVoN_XFo,6160,8800,theft auto thug live guys we have a
72XzVoN_XFo,8800,10080,cargobob
72XzVoN_XFo,10080,11759,and it looks like we have somebody stuck
72XzVoN_XFo,11759,13120,over here
72XzVoN_XFo,13120,14960,in the los santos river let's go try to
72XzVoN_XFo,14960,16080,help him out shall we it looks like
72XzVoN_XFo,16080,17440,they're on a motorcycle i see them
72XzVoN_XFo,17440,18720,flying through the air over here what
72XzVoN_XFo,18720,20720,the hell is going on all right before we
72XzVoN_XFo,20720,22320,get into the craziness i wanted to let
72XzVoN_XFo,22320,24160,you guys know about an easy way to earn
72XzVoN_XFo,24160,26240,cash and gift cards just for sharing
72XzVoN_XFo,26240,27760,your opinion and that is through our
72XzVoN_XFo,27760,30240,sponsor today yougov the way you gov
72XzVoN_XFo,30240,32398,works is simple you take online surveys
72XzVoN_XFo,32398,34399,and polls and you earn cash rewards and
72XzVoN_XFo,34399,36239,gift cards as you can see on screen
72XzVoN_XFo,36239,38399,yougov has polls about pop culture
72XzVoN_XFo,38399,40559,politics products and brands and it's
72XzVoN_XFo,40559,42320,something that you can easily do when
72XzVoN_XFo,42320,43680,you got some down downtime let's say
72XzVoN_XFo,43680,45520,you're on break at work maybe you're
72XzVoN_XFo,45520,47360,standing in line it doesn't matter use
72XzVoN_XFo,47360,49440,your down time as let's make some money
72XzVoN_XFo,49440,51440,time whenever i was younger i was always
72XzVoN_XFo,51440,54239,looking for ways to make some extra cash
72XzVoN_XFo,54239,56399,and yougov is a good way to do that then
72XzVoN_XFo,56399,58480,you can take that money invest it spend
72XzVoN_XFo,58480,60160,it take somebody on a nice little dinner
72XzVoN_XFo,60160,62000,today do what you want to do click the
72XzVoN_XFo,62000,63359,link in the description to check out
72XzVoN_XFo,63359,65198,yougov and start making money thank you
72XzVoN_XFo,65198,66960,yugo for sponsoring the video and
72XzVoN_XFo,66960,68479,without further ado
72XzVoN_XFo,68479,70479,let's do what it do
72XzVoN_XFo,70479,72159,did they just get did they just die are
72XzVoN_XFo,72159,73680,they okay
72XzVoN_XFo,73680,76080,don't worry bro i got your bike for you
72XzVoN_XFo,76080,78560,no i got it i got it
72XzVoN_XFo,78560,79920,i'll get it
72XzVoN_XFo,79920,81520,all right
72XzVoN_XFo,81520,82240,it's
72XzVoN_XFo,82240,85920,my bike now oh shoot oh shoot go go go
72XzVoN_XFo,85920,89680,go go go go go
72XzVoN_XFo,90159,92320,holy crap he almost killed us he put out
72XzVoN_XFo,92320,94560,a minigun let's destroy this is this a
72XzVoN_XFo,94560,98560,pool up here perfect goodbye bike
72XzVoN_XFo,98560,100640,see you later there you go
72XzVoN_XFo,100640,102799,we are a menace to society right now all
72XzVoN_XFo,102799,104320,right ladies and gentlemen i'm in hot
72XzVoN_XFo,104320,106079,pursuit of a bounty right now i'm in the
72XzVoN_XFo,106079,108079,cargo bob we're off the radar we have
72XzVoN_XFo,108079,110640,two minutes and 25 seconds
72XzVoN_XFo,110640,112240,i don't know where this person's going
72XzVoN_XFo,112240,113680,i'm gonna try to pick up their car to
72XzVoN_XFo,113680,116240,throw them into the ocean if i can but
72XzVoN_XFo,116240,117200,i'm not sure we're gonna be able to
72XzVoN_XFo,117200,118799,catch up wait i see him up here it looks
72XzVoN_XFo,118799,120320,like they're kind of slowing down they
72XzVoN_XFo,120320,121759,got cops so
72XzVoN_XFo,121759,122799,i don't think they're gonna be stopping
72XzVoN_XFo,122799,125360,the car anytime soon which is not good
72XzVoN_XFo,125360,126560,because they're literally being chased
72XzVoN_XFo,126560,128239,by the police let's see what happens
72XzVoN_XFo,128239,130800,here guys oh wait they crashed
72XzVoN_XFo,130800,131760,they're going up the side of the
72XzVoN_XFo,131760,133200,mountain
72XzVoN_XFo,133200,134959,hold on
72XzVoN_XFo,134959,136959,i'll save you from the cops
72XzVoN_XFo,136959,140080,i'll save you from the cop
72XzVoN_XFo,140080,141440,dude come here
72XzVoN_XFo,141440,143680,where are you coming from dude you just
72XzVoN_XFo,143680,145290,flew into a river
72XzVoN_XFo,145290,148160,[Laughter]
72XzVoN_XFo,148160,150400,what are you doing
72XzVoN_XFo,150400,152800,what are you doing dude
72XzVoN_XFo,152800,155599,hold on dude imagine if in midair we got
72XzVoN_XFo,155599,158080,him and he's flying up the hill attaches
72XzVoN_XFo,158080,160239,to the cargo bomb and just fly off
72XzVoN_XFo,160239,161680,wait wait wait wait bro come here come
72XzVoN_XFo,161680,162400,here
72XzVoN_XFo,162400,164720,oh we had him no we had him we had him
72XzVoN_XFo,164720,166480,we had him now
72XzVoN_XFo,166480,167840,well it doesn't matter that we're off
72XzVoN_XFo,167840,169599,the radar i mean we're not really going
72XzVoN_XFo,169599,170720,in for the stealth approach at this
72XzVoN_XFo,170720,172959,point
72XzVoN_XFo,173760,175760,i thought he got stuck in the tree for a
72XzVoN_XFo,175760,178400,minute yo this is ridiculous dude just
72XzVoN_XFo,178400,180720,come back here all right you got cops on
72XzVoN_XFo,180720,182879,you i'm trying to help kind of not
72XzVoN_XFo,182879,185519,really but let's pretend i am don't
72XzVoN_XFo,185519,186800,shoot at me
72XzVoN_XFo,186800,188720,the hell is wrong with you watch him
72XzVoN_XFo,188720,191360,crash into another river out of nowhere
72XzVoN_XFo,191360,192400,all right
72XzVoN_XFo,192400,193680,this dude's probably gonna destroy his
72XzVoN_XFo,193680,195599,own car before we even
72XzVoN_XFo,195599,197280,have the chance to
72XzVoN_XFo,197280,198480,pick up his car and throw it into the
