vid,start,end,text
7BOi0H59tXY,0,240,[Music]
7BOi0H59tXY,240,2639,ain't no elevator to the top you got to
7BOi0H59tXY,2639,4480,take the stands
7BOi0H59tXY,4480,7359,the elevator don't go to the top man
7BOi0H59tXY,7359,10160,not in the world of success
7BOi0H59tXY,10160,13040,you have control of this
7BOi0H59tXY,13040,15679,this belongs to you
7BOi0H59tXY,15679,17520,this is yours
7BOi0H59tXY,17520,19279,you're the captain
7BOi0H59tXY,19279,20960,you're the master
7BOi0H59tXY,20960,22480,you're the foreman
7BOi0H59tXY,22480,24320,you're the general
7BOi0H59tXY,24320,25840,you're the head
7BOi0H59tXY,25840,30080,don't give control of this to nobody
7BOi0H59tXY,30080,33120,get off of instagram and snap
7BOi0H59tXY,33120,35920,and get off all these blogs and get into
7BOi0H59tXY,35920,37680,something that can really really move
7BOi0H59tXY,37680,40160,your life forward listen getting
7BOi0H59tXY,40160,43440,successful it's not a magic trick
7BOi0H59tXY,43440,46320,you can decide to be rich it's highly
7BOi0H59tXY,46320,47680,doable
7BOi0H59tXY,47680,50879,but you first have to think it
7BOi0H59tXY,50879,52960,the difference between successful people
7BOi0H59tXY,52960,57199,and non-successful people is here
7BOi0H59tXY,57199,60160,i'm no better than none of y'all
7BOi0H59tXY,60160,62399,if you want to be successful
7BOi0H59tXY,62399,65600,you have to change this
7BOi0H59tXY,65600,68010,this has to change
7BOi0H59tXY,68010,70960,[Music]
7BOi0H59tXY,70960,73840,listen to me it's not
7BOi0H59tXY,73840,76240,what makes it hard is your lack of
7BOi0H59tXY,76240,79280,belief that it can happen for you
7BOi0H59tXY,79280,81520,the fact of it is though it's very
7BOi0H59tXY,81520,83360,doable
7BOi0H59tXY,83360,86560,see if but you got to change though if
7BOi0H59tXY,86560,88159,you keep doing
7BOi0H59tXY,88159,90000,what you've been doing
7BOi0H59tXY,90000,91840,you're going to keep getting what you've
7BOi0H59tXY,91840,93360,been getting
7BOi0H59tXY,93360,95759,so if you had a place in your life and
7BOi0H59tXY,95759,97439,you ain't happy with it
7BOi0H59tXY,97439,100400,you have to change some things but you
7BOi0H59tXY,100400,103040,have to make a conscientious decision
7BOi0H59tXY,103040,105119,that you're going to change
7BOi0H59tXY,105119,107759,and it's not dependent on anybody else
7BOi0H59tXY,107759,109680,it don't matter what your mama think it
7BOi0H59tXY,109680,111360,don't matter what your co-workers think
7BOi0H59tXY,111360,113119,it don't matter what your siblings think
7BOi0H59tXY,113119,114960,it don't matter what your children think
7BOi0H59tXY,114960,117920,it don't matter
7BOi0H59tXY,117920,118799,they
7BOi0H59tXY,118799,121680,have nothing to do with it
7BOi0H59tXY,121680,123360,this decision
7BOi0H59tXY,123360,125380,is yours and yours alone
7BOi0H59tXY,125380,126799,[Music]
7BOi0H59tXY,126799,128800,let me tell you something you get to
7BOi0H59tXY,128800,131360,decide if i'm gonna be rich
7BOi0H59tXY,131360,132400,poor
7BOi0H59tXY,132400,133920,mediocre
7BOi0H59tXY,133920,136080,plentiful
7BOi0H59tXY,136080,138000,happy sad
7BOi0H59tXY,138000,142800,you you have a decision to make
7BOi0H59tXY,142800,144879,it's really not important what the
7BOi0H59tXY,144879,146720,majority of people that are blogging are
7BOi0H59tXY,146720,147760,saying
7BOi0H59tXY,147760,150239,as a matter of fact bloggers are not
7BOi0H59tXY,150239,152000,relevant people
7BOi0H59tXY,152000,153920,they're not shakers and movers and
