vid,start,end,text
7wWMTd6lE50,7820,9599,[Music]
7wWMTd6lE50,9599,11679,and here comes the biggest man in the
7wWMTd6lE50,11679,16960,contest tonight
7wWMTd6lE50,16960,18230,dust freak
7wWMTd6lE50,18230,21428,[Music]
7wWMTd6lE50,23039,25359,it's a dream come true for me because
7wWMTd6lE50,25359,27599,now i stay with the best bodybuilders
7wWMTd6lE50,27599,31840,of the world
7wWMTd6lE50,34559,36320,it's only my mind to win the mr olympia
7wWMTd6lE50,36320,38239,never ever but what i want to always do
7wWMTd6lE50,38239,40000,i want to make my best and i give my
7wWMTd6lE50,40000,41280,best whatever i can
7wWMTd6lE50,41280,42879,and whatever the judges give me the
7wWMTd6lE50,42879,44480,place i'm happy with that
7wWMTd6lE50,44480,46160,to be there and always be the biggest
7wWMTd6lE50,46160,49360,guy and the most freaky guy on stage
7wWMTd6lE50,49360,53039,you absolutely brought the house down
7wWMTd6lE50,53039,57440,man among men he is huge 5 11 285 pounds
7wWMTd6lE50,57440,59440,one of the biggest guys you'll ever see
7wWMTd6lE50,59440,61920,so feast your eyes from frankfurt
7wWMTd6lE50,61920,62559,germany
7wWMTd6lE50,62559,64878,please welcome competitor number six
7wWMTd6lE50,64878,67438,marcus
7wWMTd6lE50,70840,73840,rule
7wWMTd6lE50,122210,125670,[Music]
7wWMTd6lE50,128800,130479,there's only one word that can best
7wWMTd6lE50,130479,132400,describe our next bodybuilder and that
7wWMTd6lE50,132400,133520,word is freak
7wWMTd6lE50,133520,135840,you know him you love him you can't have
7wWMTd6lE50,135840,137120,this show without him
7wWMTd6lE50,137120,142959,all the way from germany marcus rule
7wWMTd6lE50,142959,144720,regardless of any kind of rule that's
7wWMTd6lE50,144720,146959,out there this is marcus rule and he's
7wWMTd6lE50,146959,148480,got his leaders with fans
7wWMTd6lE50,148480,150160,and he built those legions of fans off
7wWMTd6lE50,150160,151840,of this back to heal the biggest and the
7wWMTd6lE50,151840,152640,freakiest
7wWMTd6lE50,152640,153760,he's not going to be able to change that
7wWMTd6lE50,153760,156080,look for anybody nor should he
7wWMTd6lE50,156080,159040,this size that mass that's who marcus
7wWMTd6lE50,159040,159820,rule is
