vid,start,end,text
8Wib8R9ijHk,240,2480,it is good to be uncomfortable
8Wib8R9ijHk,2480,4960,i've never met anybody who was terribly
8Wib8R9ijHk,4960,6879,creative or gifted or strong in
8Wib8R9ijHk,6879,10639,leadership who was also comfortable
8Wib8R9ijHk,10639,12799,it's always those people who say is
8Wib8R9ijHk,12799,15679,there not a cause
8Wib8R9ijHk,15679,18240,those exceptional people who are
8Wib8R9ijHk,18240,20720,uncomfortable with the times and rise to
8Wib8R9ijHk,20720,23119,the challenge because they refuse to
8Wib8R9ijHk,23119,26560,allow the chaos around them to determine
8Wib8R9ijHk,26560,30400,the conqueror within them
8Wib8R9ijHk,30400,32078,people who resist
8Wib8R9ijHk,32078,35520,the toad to go down and stand fiercely
8Wib8R9ijHk,35520,38239,in spite of opposition and say i'm going
8Wib8R9ijHk,38239,40879,to do it anyway
8Wib8R9ijHk,40879,43600,it is the chaos of the time that creates
8Wib8R9ijHk,43600,46079,a conqueror in the main
8Wib8R9ijHk,46079,49360,so when god gets ready to reveal to you
8Wib8R9ijHk,49360,52399,what you have in you he will often place
8Wib8R9ijHk,52399,55760,you in the midst of chaos
8Wib8R9ijHk,55760,58879,to push you
8Wib8R9ijHk,58879,62000,but during those down moments
8Wib8R9ijHk,62000,65198,that's where the growth takes place
8Wib8R9ijHk,65198,67439,that's where the work is anybody can
8Wib8R9ijHk,67439,69200,feel good when they have their health
8Wib8R9ijHk,69200,71040,their bills are paid they have happy
8Wib8R9ijHk,71040,72400,relationships
8Wib8R9ijHk,72400,75119,anybody could be positive then anybody
8Wib8R9ijHk,75119,77360,can have a larger vision then anybody
8Wib8R9ijHk,77360,79119,can have faith under those kinds of
8Wib8R9ijHk,79119,82320,circumstances see but the real challenge
8Wib8R9ijHk,82320,84799,the real challenge of growth mentally
8Wib8R9ijHk,84799,86799,emotionally and spiritually
8Wib8R9ijHk,86799,90079,comes when you get knocked down
8Wib8R9ijHk,90079,92960,how you handle it
8Wib8R9ijHk,92960,95360,that's where the growth takes place
8Wib8R9ijHk,95360,96400,it is
8Wib8R9ijHk,96400,98880,the insecurity of the times
8Wib8R9ijHk,98880,102159,that defines who you really are
8Wib8R9ijHk,102159,104000,you will not be challenged in your
8Wib8R9ijHk,104000,105759,convenience
8Wib8R9ijHk,105759,107600,you will be challenged
8Wib8R9ijHk,107600,109799,in your chaos
8Wib8R9ijHk,109799,111520,opportunity
8Wib8R9ijHk,111520,112640,comes
8Wib8R9ijHk,112640,114880,entails
8Wib8R9ijHk,114880,117759,a chance to stand up
8Wib8R9ijHk,117759,120479,a chance to get it right
8Wib8R9ijHk,120479,124079,a chance to make a u-turn
8Wib8R9ijHk,124079,126560,stand still
8Wib8R9ijHk,126560,130239,and let the chaos run from you
8Wib8R9ijHk,130239,132560,we all live in this bubble what you got
8Wib8R9ijHk,132560,134720,to do to get the life that god wants you
8Wib8R9ijHk,134720,137040,to have you got to put mo and your
8Wib8R9ijHk,137040,138319,bubble
8Wib8R9ijHk,138319,141520,you got to blow your bubble up
8Wib8R9ijHk,141520,143360,expand yourself
8Wib8R9ijHk,143360,146080,take yourself out your comfort zone do
8Wib8R9ijHk,146080,148319,not live in your bubble put some more
8Wib8R9ijHk,148319,150959,air in your bubble if you stay in your
8Wib8R9ijHk,150959,154720,comfort zone that's why you will fail
8Wib8R9ijHk,154720,156959,you will fail in your comfort zone
8Wib8R9ijHk,156959,160720,success is not a comfortable procedure
8Wib8R9ijHk,160720,162879,it is a very uncomfortable thing to
8Wib8R9ijHk,162879,165440,attempt so you got to get comfortable
8Wib8R9ijHk,165440,168080,being uncomfortable if you ever want to
8Wib8R9ijHk,168080,168840,be
8Wib8R9ijHk,168840,170800,successful
8Wib8R9ijHk,170800,172080,start
8Wib8R9ijHk,172080,174400,putting some pressure on
8Wib8R9ijHk,174400,176800,put some pressure on yourself
8Wib8R9ijHk,176800,178959,get out here and get about it
8Wib8R9ijHk,178959,181280,you gotta get real darkish you gotta get
8Wib8R9ijHk,181280,185480,downright funky if you wanna make
8Wib8R9ijHk,190200,199019,[Music]
8Wib8R9ijHk,199840,201920,you
