vid,start,end,text
8hmCKXLaHk0,3520,5680,but we start with major boardroom change
8hmCKXLaHk0,5680,7279,at chelsea the club have confirmed today
8hmCKXLaHk0,7279,9120,that long-standing chairman bruce buck
8hmCKXLaHk0,9120,11280,will step down from the role later this
8hmCKXLaHk0,11280,13440,month he could be followed by director
8hmCKXLaHk0,13440,15599,marina granovskaya who's been a driving
8hmCKXLaHk0,15599,17520,force around transfers at the club it
8hmCKXLaHk0,17520,19279,leaves major question marks over
8hmCKXLaHk0,19279,21439,potential incomings and outgoings which
8hmCKXLaHk0,21439,23439,include romelu lukaku and raheem
8hmCKXLaHk0,23439,25920,sterling welbuck has served as chelsea
8hmCKXLaHk0,25920,28640,chairman since 2003 and will depart on
8hmCKXLaHk0,28640,30720,the 30th of june he'll continue to
8hmCKXLaHk0,30720,35120,support chelsea as a senior advisor
8hmCKXLaHk0,36399,38320,so lots to digest at chelsea and
8hmCKXLaHk0,38320,39680,elsewhere over the course of the
8hmCKXLaHk0,39680,41600,afternoon and with us in the studio
8hmCKXLaHk0,41600,43120,chief reporter carver solikol senior
8hmCKXLaHk0,43120,44719,reporter i'm alissa reddy dharmasheth is
8hmCKXLaHk0,44719,46320,here as well we'll start with chelsea
8hmCKXLaHk0,46320,49280,then uh cave and those potential changes
8hmCKXLaHk0,49280,50879,bruce buck we know is leaving maybe
8hmCKXLaHk0,50879,53680,marina granoska going as well
8hmCKXLaHk0,53680,56160,what does this mean for how the future
8hmCKXLaHk0,56160,57680,of the chelsea board is going to look do
8hmCKXLaHk0,57680,59440,you think well look in the next
8hmCKXLaHk0,59440,61280,few days we will be getting an update
8hmCKXLaHk0,61280,63520,from chelsea about what the board is
8hmCKXLaHk0,63520,66240,going to look like but obviously
8hmCKXLaHk0,66240,68560,significant development that bruce buck
8hmCKXLaHk0,68560,70720,is leaving the club although it has been
8hmCKXLaHk0,70720,72080,on the cards i think it's something that
8hmCKXLaHk0,72080,73760,we reported first
8hmCKXLaHk0,73760,75360,in march he's somebody who's been at the
8hmCKXLaHk0,75360,78000,club for 19 years he was chairman
8hmCKXLaHk0,78000,79439,basically for all the time that roman
8hmCKXLaHk0,79439,81200,abramovich was there
8hmCKXLaHk0,81200,83040,chelsea obviously were the most
8hmCKXLaHk0,83040,84400,successful
8hmCKXLaHk0,84400,87280,club in england during that whole time
8hmCKXLaHk0,87280,89200,but bruce buck had an impact off the
8hmCKXLaHk0,89200,90880,pitch as well it wasn't just about the
8hmCKXLaHk0,90880,93119,football and the trophies it was also
8hmCKXLaHk0,93119,94560,all the work that chelsea did in the
8hmCKXLaHk0,94560,96880,community the work they did combating
8hmCKXLaHk0,96880,98880,racism the work they did during the
8hmCKXLaHk0,98880,100720,pandemic the work they've done when it
8hmCKXLaHk0,100720,103200,comes to anti-semitism and i've been
8hmCKXLaHk0,103200,104960,told that going forward he will still be
8hmCKXLaHk0,104960,106560,part of the chelsea family he'll always
8hmCKXLaHk0,106560,108960,be welcome at stamford bridge and he's
8hmCKXLaHk0,108960,111119,also there as a sounding board as a
8hmCKXLaHk0,111119,113759,senior advisor if anybody at chelsea
8hmCKXLaHk0,113759,116960,needs any advice he will always be there
8hmCKXLaHk0,116960,118719,the other big development to look out
8hmCKXLaHk0,118719,121439,for in the next few days is what happens
8hmCKXLaHk0,121439,124320,to marina graf skyer again we reported
8hmCKXLaHk0,124320,126719,in march that she was likely to leave
8hmCKXLaHk0,126719,129840,once roman abramovich sold the club and
8hmCKXLaHk0,129840,132080,that hasn't been confirmed yet but i
8hmCKXLaHk0,132080,134160,think we will be getting a statement
8hmCKXLaHk0,134160,136400,about her future in the next few days
8hmCKXLaHk0,136400,137200,from
8hmCKXLaHk0,137200,139440,chelsea daily telegraph
8hmCKXLaHk0,139440,141360,matt law their chelsea reporter
8hmCKXLaHk0,141360,143440,excellent contacts at stanford bridge
8hmCKXLaHk0,143440,146000,he's already reporting today that he
8hmCKXLaHk0,146000,148000,believes that marina garofska is going
8hmCKXLaHk0,148000,149920,to leave now obviously that is very
8hmCKXLaHk0,149920,151120,significant as far as chelsea is
8hmCKXLaHk0,151120,153440,concerned because she's effectively been
8hmCKXLaHk0,153440,156080,running chelsea on roman ramirez's
8hmCKXLaHk0,156080,157840,behalf
8hmCKXLaHk0,157840,160560,and she's been in charge of all the
8hmCKXLaHk0,160560,163200,transfer business so i think the
8hmCKXLaHk0,163200,165599,transfer business if she is to leave
8hmCKXLaHk0,165599,168239,that will be controlled by todd burley
8hmCKXLaHk0,168239,170400,and we've also seen that he's been more
8hmCKXLaHk0,170400,172080,involved in transfers this summer
8hmCKXLaHk0,172080,173200,especially
8hmCKXLaHk0,173200,176640,romelu lukaku's possible likely move to
8hmCKXLaHk0,176640,179440,inter milan so all change at chelsea but
8hmCKXLaHk0,179440,181360,of course this has been on the cards
8hmCKXLaHk0,181360,183760,because roman ramirez has sold the club
8hmCKXLaHk0,183760,186319,new owners have come in and they want to
8hmCKXLaHk0,186319,188959,have new people running the club
8hmCKXLaHk0,188959,190400,potentially new people on the pitch as
8hmCKXLaHk0,190400,191920,well come the starter next season and
8hmCKXLaHk0,191920,193840,it's looking increasingly likely i guess
8hmCKXLaHk0,193840,196879,that romelu lukaku won't be there
8hmCKXLaHk0,196879,198879,why is this much heralded much reported
8hmCKXLaHk0,198879,202239,transfer 97.5 million pounds been i
8hmCKXLaHk0,202239,203360,don't think there's any other word for
8hmCKXLaHk0,203360,205440,it but a failure
8hmCKXLaHk0,205440,206640,you've got to say
8hmCKXLaHk0,206640,208720,his heart hasn't been in it do you not
8hmCKXLaHk0,208720,210560,think ever i don't think his heart has
8hmCKXLaHk0,210560,211519,been
8hmCKXLaHk0,211519,213440,in playing for chelsea
8hmCKXLaHk0,213440,216239,last summer he said moving to chelsea
8hmCKXLaHk0,216239,218400,was his dream move they're the club that
8hmCKXLaHk0,218400,220319,he supported when he was a kid he had
8hmCKXLaHk0,220319,222799,unfinished business at chelsea they were
8hmCKXLaHk0,222799,224640,the only club he would leave into milan
8hmCKXLaHk0,224640,225440,for
8hmCKXLaHk0,225440,227200,within a few months of being at stanford
8hmCKXLaHk0,227200,228959,bridge he was giving an interview to sky
8hmCKXLaHk0,228959,231760,italy saying i don't like it here i want
8hmCKXLaHk0,231760,234480,to go back to inter
8hmCKXLaHk0,234480,236400,that's where my heart is i have a
8hmCKXLaHk0,236400,238560,special connection with the fans and you
8hmCKXLaHk0,238560,240879,have to say it has been one of the worst
8hmCKXLaHk0,240879,244560,transfers of all time chelsea played
8hmCKXLaHk0,244560,247200,almost 100 million pounds for him and
8hmCKXLaHk0,247200,249920,just 12 months later he effectively has
8hmCKXLaHk0,249920,252319,no future whatsoever at the club he's
8hmCKXLaHk0,252319,254000,going to be going back to into milan i
8hmCKXLaHk0,254000,255439,think intel will have to pay something
8hmCKXLaHk0,255439,257840,like 10 million pound loan fee to take
8hmCKXLaHk0,257840,259280,him back they're going to have to be
8hmCKXLaHk0,259280,261919,talks about who's going to pay his 325
8hmCKXLaHk0,261919,264400,000 pounds a week wages
8hmCKXLaHk0,264400,266400,but speaking to some people involved in
8hmCKXLaHk0,266400,268560,the negotiations involved in the deal
8hmCKXLaHk0,268560,270720,and they're telling me
8hmCKXLaHk0,270720,273120,lukaku's basically thrown in the tower
8hmCKXLaHk0,273120,276000,he's going back to his comfort zone he's
8hmCKXLaHk0,276000,277919,going back to
8hmCKXLaHk0,277919,279759,inter where he knows he's going to score
8hmCKXLaHk0,279759,282639,lots of goals and the fans well they
8hmCKXLaHk0,282639,283680,loved him i don't know if they're going
8hmCKXLaHk0,283680,285520,to love him going forward after what he
8hmCKXLaHk0,285520,288560,said and did last summer but really one
8hmCKXLaHk0,288560,290080,of the worst transfers of all time i
8hmCKXLaHk0,290080,290960,think
8hmCKXLaHk0,290960,293440,vast majority of chelsea supporters will
8hmCKXLaHk0,293440,295600,now be saying just
8hmCKXLaHk0,295600,296720,just
8hmCKXLaHk0,296720,299520,just go go back to inter it hasn't
8hmCKXLaHk0,299520,301919,worked out your heart's not in it let's
8hmCKXLaHk0,301919,304160,move on let's bring in some players who
8hmCKXLaHk0,304160,305759,actually want to play for chelsea and
8hmCKXLaHk0,305759,308080,they're up for the challenge i think
8hmCKXLaHk0,308080,309600,just picking up what you're saying kaveh
8hmCKXLaHk0,309600,311759,romelu lukaku has come under a great
8hmCKXLaHk0,311759,313280,deal of criticism
8hmCKXLaHk0,313280,315600,over this season over this move
8hmCKXLaHk0,315600,317520,but this is the romelu lukaku was
8hmCKXLaHk0,317520,319919,prolific for west brom for everton for
8hmCKXLaHk0,319919,322840,inter milan he's belgium's record
8hmCKXLaHk0,322840,325360,goalscorer so
