vid,start,end,text
8shw4dd65TU,80,1520,game you don't want to go versus again
8shw4dd65TU,1520,4240,yes i do what do you mean yeah i do
8shw4dd65TU,4240,5839,while the people around them have had b
8shw4dd65TU,5839,8320,for a long time eminem and the game have
8shw4dd65TU,8320,10160,never actually beefed directly and
8shw4dd65TU,10160,11920,somehow they've managed to avoid having
8shw4dd65TU,11920,14080,problems that ended recently though when
8shw4dd65TU,14080,15920,the game went on a whole tirade about
8shw4dd65TU,15920,17600,the state of the rap industry and
8shw4dd65TU,17600,19920,eminem's place within it recently eminem
8shw4dd65TU,19920,21840,managed to earn yet another diamond
8shw4dd65TU,21840,23840,certification on one of his records this
8shw4dd65TU,23840,25840,record is curtain call a greatest hits
8shw4dd65TU,25840,27840,compilation including mostly tracks from
8shw4dd65TU,27840,29279,his earlier era even though the
8shw4dd65TU,29279,31679,compilation came out in 2005 after the
8shw4dd65TU,31679,33760,release of encore a year before it the
8shw4dd65TU,33760,35920,album hasn't left the charts since and
8shw4dd65TU,35920,37680,it came out somehow that makes him one
8shw4dd65TU,37680,39520,of the only seven artists who ever
8shw4dd65TU,39520,41280,managed to make this happen regardless
8shw4dd65TU,41280,42879,of your views on eminem whether you
8shw4dd65TU,42879,44800,think he's a goat or a washed-up rapper
8shw4dd65TU,44800,46399,from days gone by we really can't
8shw4dd65TU,46399,47920,pretend that this isn't a huge
8shw4dd65TU,47920,49920,achievement this list is as follows we
8shw4dd65TU,49920,51840,got garth brooks the beatles led
8shw4dd65TU,51840,54239,zeppelin the eagles eminem whitney
8shw4dd65TU,54239,55840,houston and shania twain even though
8shw4dd65TU,55840,57199,they span a good amount of different
8shw4dd65TU,57199,58879,genres you can definitely tell that
8shw4dd65TU,58879,60320,these people are some of the greats in
8shw4dd65TU,60320,62399,their genres people on twitter had all
8shw4dd65TU,62399,64080,kinds of opinions about this news
8shw4dd65TU,64080,65840,somebody said eminem would study a
8shw4dd65TU,65840,67600,thesaurus and dictionary to use certain
8shw4dd65TU,67600,69280,words and songs that would rhyme his
8shw4dd65TU,69280,71360,vocabulary is on goat mode a lot of
8shw4dd65TU,71360,73200,rappers are amazing but eminem was
8shw4dd65TU,73200,75200,different in the 90s and early 2000s
8shw4dd65TU,75200,77280,compared to others i have bare respect
8shw4dd65TU,77280,79360,for him another fan thinks that any time
8shw4dd65TU,79360,81200,m is brought up he just gets compared to
8shw4dd65TU,81200,83200,other people they said why is it when an
8shw4dd65TU,83200,84640,artist or an athlete does something
8shw4dd65TU,84640,86479,great y'all bring up someone else to try
8shw4dd65TU,86479,88080,to downplay their success whenever
8shw4dd65TU,88080,89840,eminem does something you compare him to
