vid,start,end,text
9LZi7HXb49k,250,15380,[Music]
9LZi7HXb49k,23210,26238,[Music]
9LZi7HXb49k,33860,41559,[Music]  do
9LZi7HXb49k,54960,57960,know
9LZi7HXb49k,62559,65559,oh
9LZi7HXb49k,73290,77989,[Music]
9LZi7HXb49k,84240,86880,you need your
9LZi7HXb49k,96159,102000,number is number one i recently  completed my tribulation exam and my
9LZi7HXb49k,102000,108000,hobbies are cooking singing and  listening songs thank you
9LZi7HXb49k,108159,116720,sweetheart  who developed their respected judges and  milder audience all of our presents here
9LZi7HXb49k,116880,122320,first of all i would like to confirm  first of all i would like to
9LZi7HXb49k,122320,127520,introduce myself as i am miss monalisa  and i am
9LZi7HXb49k,127520,133760,from aberdeen  i am  i have just
9LZi7HXb49k,133760,142400,completed my hs examination and my  hobbies  include visiting to new players to
9LZi7HXb49k,142400,147120,experiment such an  experiment
9LZi7HXb49k,148800,157099,thank you  [Music]
9LZi7HXb49k,165140,178189,[Music]  my  [Music]
9LZi7HXb49k,204640,211360,[Music]  good evening  respect the judges and all my dear
9LZi7HXb49k,211360,221120,friends  my conditionist number is five  and  i'm from mandapata salfora my name is
9LZi7HXb49k,221120,226240,i studied in  [Music]  bivalem nagar in class 12
9LZi7HXb49k,226240,231680,[Music]  and my hobby is singing listening to
9LZi7HXb49k,231680,237920,music and travelling  [Music]  and i like music because i want to be a
9LZi7HXb49k,237920,240879,part of an indian
9LZi7HXb49k,246000,252879,and my  biggest inspiration is my mom because  she supports me for everything
9LZi7HXb49k,252879,261639,and i think she is one of my most  valuable person in my life thank you
9LZi7HXb49k,262890,269740,[Music]
9LZi7HXb49k,285360,288659,[Applause]
9LZi7HXb49k,293440,296440,foreign
9LZi7HXb49k,322639,325639,oh
9LZi7HXb49k,332560,338780,for giving me this beautiful opportunity  to present
9LZi7HXb49k,338780,348149,[Music]
9LZi7HXb49k,349039,354160,i belong from a  village north carolina
9LZi7HXb49k,354160,360360,i love traveling as well as dancing  thank you
9LZi7HXb49k,365230,369829,[Music]
9LZi7HXb49k,373590,378150,[Music]
9LZi7HXb49k,389520,396560,foreign  [Music]
9LZi7HXb49k,398640,403510,[Music]
9LZi7HXb49k,407290,411739,[Music]
9LZi7HXb49k,419599,422599,i
9LZi7HXb49k,424780,432829,[Music]
9LZi7HXb49k,458150,465339,[Music]
9LZi7HXb49k,475680,489120,foreign  [Music]
9LZi7HXb49k,489120,495460,me  [Music]
9LZi7HXb49k,498570,502730,[Music]
9LZi7HXb49k,503599,509759,good evening respected judges and  audiences happy birthday
9LZi7HXb49k,509759,515680,first of all i would like to thank arson  for organizing this beautiful event
9LZi7HXb49k,515680,522479,and giving us opportunity to introduce  ourselves my name is kushibi rapa
9LZi7HXb49k,522479,529200,contestant number seven  from jangla para an 18 year old girl
9LZi7HXb49k,529200,534320,pursuing her degree as bitcom  living a normal life i like to do
9LZi7HXb49k,534320,540800,painting  doing crafts and listening to music  for today
9LZi7HXb49k,540800,546880,i wore  kodoban in my head  gamble in my chest
9LZi7HXb49k,546880,552640,and  in the lower part of my waist
9LZi7HXb49k,552640,558800,and for the ornaments i will  now re in my ear and for the next
9LZi7HXb49k,558800,561800,hour
9LZi7HXb49k,573360,578800,in my wrist  rebook mana tight in my waist and back
9LZi7HXb49k,578800,587310,in my ankle thank you very much  [Music]
9LZi7HXb49k,596399,606000,do  [Music]
9LZi7HXb49k,606000,612000,good evening respected judges and all  the audiences present here
9LZi7HXb49k,612000,618720,first of all i'd like to wish happy biko  data to one and all my
9LZi7HXb49k,621020,629120,[Music]  and i've recently cleared my classroom  both exams from mandipatha college
9LZi7HXb49k,629120,635760,and  i'm planning to go to guwahati to  complete my degree in bachelor of arts
9LZi7HXb49k,635760,641200,uh my hobbies include dancing and  listening to music and apart from them i
9LZi7HXb49k,641200,646720,also like reading sometimes  i'm a kind of person who loves to try
9LZi7HXb49k,646720,653200,and learn new things and that is the  reason why i'm here today because this  is really a new thing for me
9LZi7HXb49k,653200,661930,i believe that life is short and we  should enjoy every moment of it with a  happy and positive attitude thank you
9LZi7HXb49k,661930,666350,[Music]
9LZi7HXb49k,677680,688409,so  [Music]
9LZi7HXb49k,697040,700040,oh
9LZi7HXb49k,711260,717760,[Music]  and all the audiences present here my  name is
9LZi7HXb49k,717760,723040,i'm from new hampshire  and i'm a student of
9LZi7HXb49k,723040,728240,first year  and currently pursuing in bachelor of
9LZi7HXb49k,728240,733920,arts  my hobbies include  knitting
9LZi7HXb49k,733920,739600,watching youtube and  inspirational quotes  [Applause]
9LZi7HXb49k,739600,746959,my email life is to become an indian  administrative survives
