vid,start,end,text
9SNYoybaEec,50,1910,bon bah c'est reparti on prends l'avion
9SNYoybaEec,1910,3709,je fais un peu le con mais comme d'hab
9SNYoybaEec,3709,5300,j'ai peur en avion comme par hasard ya
9SNYoybaEec,5300,7520,plein de turbulences je déteste
9SNYoybaEec,7520,9110,heureusement le steward est super cool
9SNYoybaEec,9110,11000,depuis la petite juline condé lire et en
9SNYoybaEec,11000,12500,fait les turbulences bas je crois que
9SNYoybaEec,12500,13880,c'est dans la tête au fait je vais
9SNYoybaEec,13880,15559,rejoindre mon père à abidjan en côte
9SNYoybaEec,15559,16250,d'ivoire
9SNYoybaEec,16250,21570,[Musique]
9SNYoybaEec,23740,27890,[Musique]
9SNYoybaEec,27890,30619,oh les gars la chaleur c'est
9SNYoybaEec,30619,32508,comme à stoneham et non stop mais c'est
9SNYoybaEec,32508,34628,là
9SNYoybaEec,35240,36420,[Musique]
9SNYoybaEec,36420,39250,le seul problème c'était la wifi y en a
9SNYoybaEec,39250,42610,un mais pas pas souvent je précise que
9SNYoybaEec,42610,44110,si on est ici c'est aussi pour le
9SNYoybaEec,44110,47460,mariage de mon père ce monsieur là
9SNYoybaEec,47460,49660,et je crois qu'il est très content qu on
9SNYoybaEec,49660,51460,les rejoint pour assister à cet heureux
9SNYoybaEec,51460,53910,événement
9SNYoybaEec,55230,57519,donc ça c'est la tête de mon père quand
9SNYoybaEec,57519,58989,il est content pour ce mariage
9SNYoybaEec,58989,60879,traditionnel elise bas future belle-mère
9SNYoybaEec,60879,62290,m'invite à porter la tenue
9SNYoybaEec,62290,64300,traditionnelle et franchement ça tue
9SNYoybaEec,64300,67199,beaucoup à ça quand même
9SNYoybaEec,69230,70610,pour la suite je garde pour moi j'ai pas
9SNYoybaEec,70610,72530,non plus tout vous montrer en tout cas
9SNYoybaEec,72530,75790,ça s'est terminé comme ça
9SNYoybaEec,77540,80410,oui pour les
9SNYoybaEec,80410,83060,marchands trop mignon j'ai si bien
9SNYoybaEec,83060,84920,manger là bas de la semoule de manioc
9SNYoybaEec,84920,87530,des frites dinh nam de la loco du riz
9SNYoybaEec,87530,89540,local du foot ou la sauce d'arachide
9SNYoybaEec,89540,92480,sage sait plus trop ce que c'est du vrai
9SNYoybaEec,92480,95060,jus de coco et même du piment sans bon
