vid,start,end,text
AUptkoMi4vU,0,1920,we have four artists and a thousand
AUptkoMi4vU,1920,4080,ballpoint pens you have seven hours to
AUptkoMi4vU,4080,6480,make art using only the ballpoint pens
AUptkoMi4vU,6480,7839,in front of you and if you win you have
AUptkoMi4vU,7839,9360,a chance to win up to five thousand
AUptkoMi4vU,9360,11759,dollars for a random subscriber also
AUptkoMi4vU,11759,13920,there's a twist
AUptkoMi4vU,13920,16640,no references for any of you
AUptkoMi4vU,16640,18800,can't look at any photos
AUptkoMi4vU,18800,21039,you can't look at any videos
AUptkoMi4vU,21039,24720,all you have is imagination
AUptkoMi4vU,24720,28080,for seven hours begins now this sucks so
AUptkoMi4vU,28080,30640,when i first saw the pen i was like okay
AUptkoMi4vU,30640,32800,i'm gonna try and draw a giraffe and now
AUptkoMi4vU,32800,34320,without reference i have no idea what a
AUptkoMi4vU,34320,36239,giraffe looks like i was gonna do a
AUptkoMi4vU,36239,38559,really cool portrait of kendall jenner
AUptkoMi4vU,38559,41440,but we can't use references so usually i
AUptkoMi4vU,41440,43520,let my friends use references but i kind
AUptkoMi4vU,43520,45440,of want them to learn to draw without
AUptkoMi4vU,45440,47120,them it's going to be good practice you
AUptkoMi4vU,47120,48719,have the best chance out of all of us
AUptkoMi4vU,48719,50559,and you have the most experience with
AUptkoMi4vU,50559,53120,pen too look at all these rookie artists
AUptkoMi4vU,53120,54800,little do they know there's still a plot
AUptkoMi4vU,54800,56320,twist coming later
AUptkoMi4vU,56320,58800,it's gonna be fun i found a pool we are
AUptkoMi4vU,58800,60399,definitely gonna utilize that for
AUptkoMi4vU,60399,63280,punishments my friends are in forge if
AUptkoMi4vU,63280,65198,one plot twist wasn't enough we have
AUptkoMi4vU,65198,67200,another one
AUptkoMi4vU,67200,71479,mackenzie choose one danny
AUptkoMi4vU,84799,87520,third and final plot twist at any point
AUptkoMi4vU,87520,89040,in this challenge if you need help
AUptkoMi4vU,89040,90320,drawing without reference you have me
AUptkoMi4vU,90320,92079,for 10 minutes
AUptkoMi4vU,92079,93439,you get to decide when you use that 10
AUptkoMi4vU,93439,94960,minutes i want to use it right now all
AUptkoMi4vU,94960,97040,righty yeah i want you to sketch out my
AUptkoMi4vU,97040,99200,thing uh wait i need to give you guys a
AUptkoMi4vU,99200,101119,challenge first how's this after the
AUptkoMi4vU,101119,103119,first hour you can grab me at any point
AUptkoMi4vU,103119,105200,for 10 minutes and i'll help you to the
AUptkoMi4vU,105200,107840,best of my ability topic is reptiles
AUptkoMi4vU,107840,109680,this is going to be terrible frogs
AUptkoMi4vU,109680,111920,aren't reptiles no that's an incident
AUptkoMi4vU,111920,113759,are you sure yes look it up quick
AUptkoMi4vU,113759,116000,clarification i can help you guys but
AUptkoMi4vU,116000,117439,doesn't mean i'm designing the whole
AUptkoMi4vU,117439,118799,thing you guys still need to give me
AUptkoMi4vU,118799,120960,some creative direction so ben you can't
AUptkoMi4vU,120960,123680,just say design a creature for me
AUptkoMi4vU,123680,126799,can mine be inspired by reptiles so a
AUptkoMi4vU,126799,129759,tiger inspired by your reptile no no
AUptkoMi4vU,129759,131599,curious mackenzie you have nothing down
AUptkoMi4vU,131599,133440,on the paper i
AUptkoMi4vU,133440,135520,don't know yet i think i'm gonna go for
AUptkoMi4vU,135520,137840,a very skeletal like zombie electric i
AUptkoMi4vU,137840,139440,was just drawing a lot of like cereal
AUptkoMi4vU,139440,142000,boxes yeah i'm just trying to think of
AUptkoMi4vU,142000,143840,technology pieces right now this is hard
AUptkoMi4vU,143840,145920,because i keep on smearing it everywhere
AUptkoMi4vU,145920,147760,depending on like how lightly you press
AUptkoMi4vU,147760,149040,with the ballpoint pen you can also get
AUptkoMi4vU,149040,151040,different shades on that well everyone
AUptkoMi4vU,151040,153599,grab a sheet of paper which is not your
AUptkoMi4vU,153599,156400,main piece i have a random object
AUptkoMi4vU,156400,158400,generator this is going to pick a random
AUptkoMi4vU,158400,160080,thing for you guys to draw and whoever
AUptkoMi4vU,160080,162400,gets the best one is safe in what time
AUptkoMi4vU,162400,168200,frame 60 seconds bottle of sunscreen go
AUptkoMi4vU,170879,173920,and time's up let me take a look
AUptkoMi4vU,173920,175760,ben yours was really good but it was
AUptkoMi4vU,175760,177680,unfinished i am going to have to give it
AUptkoMi4vU,177680,179200,to mckenzie on this one
AUptkoMi4vU,179200,180879,we're going to go one more round the
AUptkoMi4vU,180879,183519,random object is toy boat go everyone
AUptkoMi4vU,183519,187280,say toy boats 50 times fast
AUptkoMi4vU,188000,190480,yeah that's what i thought
AUptkoMi4vU,190480,190930,yes
AUptkoMi4vU,190930,192480,[Music]
AUptkoMi4vU,192480,194400,and time is up whoa
AUptkoMi4vU,194400,197120,okay yeah i'm gonna have to give it to
AUptkoMi4vU,197120,198640,doesn't look like a bed this looks like
AUptkoMi4vU,198640,201040,a toy yeah this is a toy that's a real
AUptkoMi4vU,201040,203200,though mckenzie and ben at any point
AUptkoMi4vU,203200,204879,during this challenge except for the
AUptkoMi4vU,204879,206560,last hour you can tell someone to belly
AUptkoMi4vU,206560,208480,flop in the pool
AUptkoMi4vU,208480,209840,that doesn't mean you guys are safe it
AUptkoMi4vU,209840,211440,just means you guys get to choose one
AUptkoMi4vU,211440,212959,person mackenzie for example you can
AUptkoMi4vU,212959,215280,choose jess michelle or ben ben you can
AUptkoMi4vU,215280,217360,choose anyone as well so are we gonna
AUptkoMi4vU,217360,221040,make a choice here hey hey hey hey
AUptkoMi4vU,221040,222959,i gotta make it true
AUptkoMi4vU,222959,225280,also guys one more thing whoever loses
AUptkoMi4vU,225280,227920,this challenge has to do a timed mile
AUptkoMi4vU,227920,230080,and the slowest mile time gets an
AUptkoMi4vU,230080,232480,additional punishment like ronnie yeah
AUptkoMi4vU,232480,234319,yeah
AUptkoMi4vU,234319,236000,kenz why are you being such a loner over
AUptkoMi4vU,236000,238239,there what are you working on
AUptkoMi4vU,238239,240400,oh that's cool he looks like he's going
AUptkoMi4vU,240400,242239,to the beach those toenails look like
AUptkoMi4vU,242239,244000,yours cans
AUptkoMi4vU,244000,246080,of that afternoon
AUptkoMi4vU,246080,248799,huh oh you drew an egg nice i'm having a
AUptkoMi4vU,248799,251120,real struggle because the pen is getting
AUptkoMi4vU,251120,252959,everywhere because i don't draw with
AUptkoMi4vU,252959,255360,pens so i put bandages on all my nails
AUptkoMi4vU,255360,256880,to protect them i knew this was gonna
AUptkoMi4vU,256880,258560,happen to me
AUptkoMi4vU,258560,260479,why am i even trying because you want to
AUptkoMi4vU,260479,262400,win
AUptkoMi4vU,262400,264479,because you always do
AUptkoMi4vU,264479,266479,mackenzie you get really really quiet
AUptkoMi4vU,266479,268000,when you're not super confident about
AUptkoMi4vU,268000,270479,what you're doing i hate this already
AUptkoMi4vU,270479,272400,when mckenzie's confident she's really
AUptkoMi4vU,272400,274400,loud she yells and stuff but today she's
AUptkoMi4vU,274400,279160,been a little on the quiet side
AUptkoMi4vU,285280,286560,all right everyone here's what's going
AUptkoMi4vU,286560,288720,to happen so i have ballpoint pens over
AUptkoMi4vU,288720,290639,here each time you grab the green one
AUptkoMi4vU,290639,293600,and not the red one that's 10 burpees
AUptkoMi4vU,293600,295040,kidding me
AUptkoMi4vU,295040,297600,oh my god you take it back yep
AUptkoMi4vU,297600,298880,get the red one
AUptkoMi4vU,298880,300639,this is the one
AUptkoMi4vU,300639,302800,i'm done with this challenge
AUptkoMi4vU,302800,307120,zach i cannot do this game anymore
AUptkoMi4vU,308160,311560,oh my goodness
AUptkoMi4vU,312200,315240,[Music]
AUptkoMi4vU,317120,318720, i'm going to be doing burpees the
AUptkoMi4vU,318720,320960,rest of the challenge
AUptkoMi4vU,320960,323960,14.
AUptkoMi4vU,326960,330400,it only took you 16 tries that's 160
AUptkoMi4vU,330400,331790,burpees for you mckenzie
AUptkoMi4vU,331790,334899,[Music]
AUptkoMi4vU,335260,336800,[Applause]
AUptkoMi4vU,336800,338880,no burpees for you all right michelle go
AUptkoMi4vU,338880,341199,for it
AUptkoMi4vU,341520,343770,40.
AUptkoMi4vU,343770,345039,[Music]
AUptkoMi4vU,345039,348639,40 for you hi jess
AUptkoMi4vU,348639,351360,nope nope
AUptkoMi4vU,359750,362819,[Music]
AUptkoMi4vU,364800,367120,mckenzie sixteen go do your burpees i'll
AUptkoMi4vU,367120,368639,do half of her version how do you have
AUptkoMi4vU,368639,370000,it
AUptkoMi4vU,370000,371759,actually i'll just keep drawing kenzie
AUptkoMi4vU,371759,374319,got 160. it's been a fun challenge just
AUptkoMi4vU,374319,378020,kidding i'll do your 80.
AUptkoMi4vU,378020,382929,[Music]
AUptkoMi4vU,386790,392470,[Music]
AUptkoMi4vU,392880,394319,i don't understand why there's a random
AUptkoMi4vU,394319,395840,bone sticking out of his face because
AUptkoMi4vU,395840,398000,it's a zombie dragon zach can you please
AUptkoMi4vU,398000,400720,help me sketch something i have been
AUptkoMi4vU,400720,403520,summoned to help out mckenzie are you
AUptkoMi4vU,403520,405440,starting over yes but as you can see
AUptkoMi4vU,405440,407759,i've tried multiple times can you please
AUptkoMi4vU,407759,409919,give me a rough sketch but something
AUptkoMi4vU,409919,411759,that i can continue to work on i will
AUptkoMi4vU,411759,415039,start a 10 minute timer and you just
AUptkoMi4vU,415039,417120,have to kind of direct me okay it
AUptkoMi4vU,417120,419520,started whoa whoa whoa okay
AUptkoMi4vU,419520,422160,i want a creature like it's paradise do
AUptkoMi4vU,422160,423919,you want it like this way or this one
AUptkoMi4vU,423919,424840,like this
AUptkoMi4vU,424840,427910,[Applause]
AUptkoMi4vU,429199,431120,yeah yeah okay
AUptkoMi4vU,431120,434920,hey you still need to direct me here
AUptkoMi4vU,434920,437199,[Music]
AUptkoMi4vU,437199,439520,you're so talented oh it's my show i
AUptkoMi4vU,439520,441360,think i'm gonna summon zach mix all
AUptkoMi4vU,441360,443199,right there you have it thanks zach
AUptkoMi4vU,443199,445360,you're welcome mackenzie all right
AUptkoMi4vU,445360,447280,i kind of want the body to curve over
AUptkoMi4vU,447280,450510,here let me get my timer out here
AUptkoMi4vU,450510,452000,[Music]
AUptkoMi4vU,452000,453599,i think you're good that's good that's
AUptkoMi4vU,453599,455360,more than enough help zach just did like
AUptkoMi4vU,455360,457120,my whole entire drawing so i think i'm
AUptkoMi4vU,457120,459039,in good shape oh you need to detail all
AUptkoMi4vU,459039,461360,of it still all right zach i'm ready so
