vid,start,end,text
AWe_PuTB02I,320,2960,cookie swirl
AWe_PuTB02I,2960,4640,hello cookie fans we're playing some
AWe_PuTB02I,4640,6319,roblox and let's see if my cookie fans
AWe_PuTB02I,6319,7919,want to play fashion famous with me
AWe_PuTB02I,7919,9440,let's all go play fashion famous
AWe_PuTB02I,9440,11120,together cookie fans all right so they
AWe_PuTB02I,11120,13519,said yes so yankee let's go turn my
AWe_PuTB02I,13519,14960,cookie fans in here where are my cookie
AWe_PuTB02I,14960,17039,pants oh i'm a big fan cookie fan okay
AWe_PuTB02I,17039,19600,so the category is best dress oh here's
AWe_PuTB02I,19600,20800,another cookie fan she's wearing a
AWe_PuTB02I,20800,22560,cookie shirt so three minutes to create
AWe_PuTB02I,22560,25279,the best outfit okay best dress so we
AWe_PuTB02I,25279,27439,need to dress up super duper fancy run
AWe_PuTB02I,27439,29279,run run run run run so i need a very
AWe_PuTB02I,29279,32078,very nice fancy outfit do they have any
AWe_PuTB02I,32078,35280,long dresses oh this is nice okay sit on
AWe_PuTB02I,35280,37120,the chair now i need to change my face i
AWe_PuTB02I,37120,39520,need some really pretty makeup to be
AWe_PuTB02I,39520,41120,best dressed
AWe_PuTB02I,41120,43440,how about that oh there's more clothing
AWe_PuTB02I,43440,45440,in here do i like anything else that
AWe_PuTB02I,45440,47600,says i'm best dressed oh those jeans are
AWe_PuTB02I,47600,49760,so cute oh this is kind of cute but now
AWe_PuTB02I,49760,52480,i don't have shoes on oh no oh time is
AWe_PuTB02I,52480,54399,up okay i guess i'm wearing this outfit
AWe_PuTB02I,54399,57600,hi cookie yes oh she looks beautiful
AWe_PuTB02I,57600,60480,lady in red and i love that her hair is
AWe_PuTB02I,60480,62879,off to the side oh i'm a big fan i watch
AWe_PuTB02I,62879,64878,you every day cookie can i take a pic
AWe_PuTB02I,64878,67119,with you later please absolutely oh she
AWe_PuTB02I,67119,68320,looks beautiful she's got her eyes
AWe_PuTB02I,68320,70000,closed cuz so many photos are being
AWe_PuTB02I,70000,71360,taken of her because she looks so
AWe_PuTB02I,71360,72400,beautiful
AWe_PuTB02I,72400,75280,she's like an angel well she's unicorn
AWe_PuTB02I,75280,76640,fabulous
AWe_PuTB02I,76640,80400,she's unicorn fabulous too
AWe_PuTB02I,81680,83280,oh here he comes he's flying down the
AWe_PuTB02I,83280,86830,runway wait a minute he forgot his pants
AWe_PuTB02I,86830,88080,[Music]
AWe_PuTB02I,88080,90560,here she comes oh she looks good in this
AWe_PuTB02I,90560,92479,outfit too
AWe_PuTB02I,92479,95118,oh it's me
AWe_PuTB02I,98720,102720,oh she looks nice i love the boots
AWe_PuTB02I,103180,105520,[Music]
AWe_PuTB02I,105520,108000,oh i love the little tiara flower bursts
AWe_PuTB02I,108000,109600,that she has in her hair it's going to
AWe_PuTB02I,109600,111040,be tough to pick a winner because
AWe_PuTB02I,111040,115600,everybody looks amazing an angel unicorn
AWe_PuTB02I,115600,117680,oh i'm there i'm second yeah and there's
AWe_PuTB02I,117680,120560,a cookie fan she won first yes okay i'm
AWe_PuTB02I,120560,122719,so happy oh the third was the winner too
AWe_PuTB02I,122719,124560,oh this is so great they're both cookie
AWe_PuTB02I,124560,127119,fans oh we all love your videos you guys
AWe_PuTB02I,127119,129280,are so cool okay here we go i didn't see
AWe_PuTB02I,129280,130720,what the theme was what is the theme
AWe_PuTB02I,130720,132640,party animal okay party animal party
AWe_PuTB02I,132640,134080,animal i was having so much fun with
AWe_PuTB02I,134080,135520,cookie pants i wasn't even paying
AWe_PuTB02I,135520,137440,attention party animal so there has to
AWe_PuTB02I,137440,139840,be a cute little animal costume in here
AWe_PuTB02I,139840,141840,something something something like a
AWe_PuTB02I,141840,144959,mermaid could i be a mermaid oh a bunny
AWe_PuTB02I,144959,147200,like a little bunny hat look at my face
AWe_PuTB02I,147200,148640,look at spongebob it looks like i'm
AWe_PuTB02I,148640,151840,gonna be a spongebob bunny oh i can be a
AWe_PuTB02I,151840,154400,mermaid there are so many cute outfits i
AWe_PuTB02I,154400,155599,don't even know what to pick but i
AWe_PuTB02I,155599,157040,better pick quickly because time is
AWe_PuTB02I,157040,158800,running out and i still haven't picked
AWe_PuTB02I,158800,160640,hair oh everybody looks so cute look at
AWe_PuTB02I,160640,162879,her she's like a little bunny ah time's
AWe_PuTB02I,162879,167519,up okay she looks so bunny adorable
AWe_PuTB02I,167519,169280,five stars look at even the little furry
AWe_PuTB02I,169280,170959,oh wait it's like little llamas no
AWe_PuTB02I,170959,174239,problema she's a llama
AWe_PuTB02I,174239,176959,hi cookie oh she's a cute panda okay
AWe_PuTB02I,176959,178640,this is gonna be the toughest round yet
AWe_PuTB02I,178640,180080,because i have a feeling everybody's
AWe_PuTB02I,180080,181920,gonna be amazing oh she's like a llama
AWe_PuTB02I,181920,183440,with a little bit of a rainbow on her
AWe_PuTB02I,183440,186640,face totally cool
AWe_PuTB02I,187599,189070,she's a mouse
AWe_PuTB02I,189070,191280,[Music]
AWe_PuTB02I,191280,193599,it's me it's crazy like a crazy party
AWe_PuTB02I,193599,196720,animal so wild bunny ear spongebob face
AWe_PuTB02I,196720,200400,and like this leopard print body
AWe_PuTB02I,200959,202280,polar ice
AWe_PuTB02I,202280,205120,[Music]
AWe_PuTB02I,205120,207920,oh she is a unicorn she got a unicorn
AWe_PuTB02I,207920,210159,horn oh she's got a cat scarf and a
AWe_PuTB02I,210159,213840,panda face very cool
AWe_PuTB02I,214959,218400,omg omg thank you so much
AWe_PuTB02I,218480,220910,cool and she is a mouse too
AWe_PuTB02I,220910,223840,[Music]
AWe_PuTB02I,223840,226799,oh wow i won my crazy spongebob won
AWe_PuTB02I,226799,229280,party animal spongebob okay storybook
AWe_PuTB02I,229280,231519,character like beauty and the beast
AWe_PuTB02I,231519,234319,cinderella maybe so i need a beautiful
AWe_PuTB02I,234319,237120,gown beauty and the beast oh look here's
AWe_PuTB02I,237120,238959,a storybook character you can be woody
AWe_PuTB02I,238959,241840,from toy story is there a woody face in
AWe_PuTB02I,241840,244319,a woody hat or you can be a prince look
AWe_PuTB02I,244319,245519,up woody
AWe_PuTB02I,245519,248000,storybook character oh she looks so
AWe_PuTB02I,248000,250319,beautiful look at the roses
AWe_PuTB02I,250319,253040,oh she looks wonderful too oh i love her
AWe_PuTB02I,253040,256320,hair it's like sleeping beauty
AWe_PuTB02I,256320,260239,she's the golden girl goldilocks
AWe_PuTB02I,260239,262720,she's a princess
AWe_PuTB02I,262720,265280,she's beautiful
AWe_PuTB02I,265280,268960,oh he looks like an evil villain howdy
AWe_PuTB02I,268960,273199,it's me woody your favorite toy cowboy
AWe_PuTB02I,273199,275440,oh she looks beautiful
AWe_PuTB02I,275440,277520,oh i won yay
AWe_PuTB02I,277520,279919,this is so cool what do you want buzz
AWe_PuTB02I,279919,282080,will be so happy to hear all right
AWe_PuTB02I,282080,284400,cookie fans so that was totally totally
AWe_PuTB02I,284400,287199,cool i had the best time ever playing
AWe_PuTB02I,287199,289280,fashion frenzy fashion famous with my
AWe_PuTB02I,289280,291360,cookie fans don't forget to stop by my
AWe_PuTB02I,291360,293360,cookie swirl sea world that i created
AWe_PuTB02I,293360,296000,just for you oh no i could not join oh
AWe_PuTB02I,296000,298240,no i wonder if the game got full okay
AWe_PuTB02I,298240,299600,we'll totally have to play a game
AWe_PuTB02I,299600,301039,together look at this guy he's a little
AWe_PuTB02I,301039,302960,gingerbread man i'm a big fan i watch
AWe_PuTB02I,302960,305039,your videos every day yay so press that
AWe_PuTB02I,305039,307280,subscribe button for more roblox fun and
AWe_PuTB02I,307280,309199,i will see you guys in my next video ooh
AWe_PuTB02I,309199,310479,let's all stand on the buttercup bye
AWe_PuTB02I,310479,312639,cookie fans ah buttercup whoa the
AWe_PuTB02I,312639,314560,buttercup's going crazy
AWe_PuTB02I,314560,316800,all right cookie fans who remembers what
AWe_PuTB02I,316800,319280,type of animal ears did i have on my
AWe_PuTB02I,319280,321759,head to be a wild party animal were they
AWe_PuTB02I,321759,324960,dog cat bunny or mouse ears bye cookie
AWe_PuTB02I,324960,328180,fan stay awesome stay amazing
AWe_PuTB02I,328180,346320,[Music]
AWe_PuTB02I,346320,349120,series
AWe_PuTB02I,349120,351249,[Music]
