vid,start,end,text
AX6LjCtpsSM,0,1839,hey everyone it is nick 830 here and
AX6LjCtpsSM,1839,3520,today i hosted a fashion show with an
AX6LjCtpsSM,3520,5839,undercover visitor party girl takes it
AX6LjCtpsSM,5839,8559,home the next question
AX6LjCtpsSM,8559,10000,so now i'm going undercover inside for
AX6LjCtpsSM,10000,11679,pk's fashion show and even if he's gonna
AX6LjCtpsSM,11679,13759,be a tough judge i have the a team on my
AX6LjCtpsSM,13759,16240,side i will be a little bit more strict
AX6LjCtpsSM,16240,17680,like i really want to see matching
AX6LjCtpsSM,17680,19199,colors and
AX6LjCtpsSM,19199,21119,you know outfits and like on theme
AX6LjCtpsSM,21119,22240,choices
AX6LjCtpsSM,22240,23920,yesterday i made a lot of questions for
AX6LjCtpsSM,23920,26160,people that will not happen today nick
AX6LjCtpsSM,26160,29519,don't suck you got this
AX6LjCtpsSM,29519,31599,don't run to the middle
AX6LjCtpsSM,31599,33600,oh dying into the middle i'm not running
AX6LjCtpsSM,33600,35040,to the middle this is a family-friendly
AX6LjCtpsSM,35040,36480,server i'm not looking to have any
AX6LjCtpsSM,36480,39280,cursing ladies and gentlemen welcome to
AX6LjCtpsSM,39280,41600,my fashion show this is a season two
AX6LjCtpsSM,41600,43680,edition fashion show we have a special
AX6LjCtpsSM,43680,47600,guest joining us today nick 830 is among
AX6LjCtpsSM,47600,49600,the contestants and he's gonna be going
AX6LjCtpsSM,49600,50960,undercover trying to make it to the
AX6LjCtpsSM,50960,53120,finals we'll see how far he makes it in
AX6LjCtpsSM,53120,54719,today's show we're gonna start off with
AX6LjCtpsSM,54719,56000,round one
AX6LjCtpsSM,56000,58640,and i need you guys to put on your best
AX6LjCtpsSM,58640,60960,season two skin
AX6LjCtpsSM,60960,63440,combo chapter three season two okay i
AX6LjCtpsSM,63440,64960,wanted to clarify that
AX6LjCtpsSM,64960,66880,you guys have one minute
AX6LjCtpsSM,66880,68560,and a half we put it together i'll get a
AX6LjCtpsSM,68560,70240,little more time in the first round guys
AX6LjCtpsSM,70240,72400,remember i will be strict in these
AX6LjCtpsSM,72400,74320,rounds nick how you feeling wait do we
AX6LjCtpsSM,74320,76159,say battle pass skins or any skin i know
AX6LjCtpsSM,76159,78320,there's not many any season two skin oh
AX6LjCtpsSM,78320,80000,i think i have a preset for that already
AX6LjCtpsSM,80000,82560,i'm prepared it can't be from a bundle
AX6LjCtpsSM,82560,84159,like you can't have a fling in a skin
AX6LjCtpsSM,84159,85520,that's part of the same bundle and the
AX6LjCtpsSM,85520,87840,back bling and pickaxe does not have to
AX6LjCtpsSM,87840,91200,be season two gotcha okay nice
AX6LjCtpsSM,91200,93200,okay guys literally we got it it was our
AX6LjCtpsSM,93200,96240,preset that's it thanos because doctor
AX6LjCtpsSM,96240,97520,strange fought thanos he's got the
AX6LjCtpsSM,97520,99040,gauntlet and i mean dude this is the
AX6LjCtpsSM,99040,101280,infinity stone it makes sense in the
AX6LjCtpsSM,101280,102640,marvel universe all right i'll give you
AX6LjCtpsSM,102640,104479,guys 30 more seconds
AX6LjCtpsSM,104479,106240,chat will help me if someone's not
AX6LjCtpsSM,106240,108320,running a season two skin oh he's got
