vid,start,end,text
AZOytp-aLRc,719,1520,hi
AZOytp-aLRc,1520,3120,my name is richard edmonds and i'm the
AZOytp-aLRc,3120,4480,corporate director for education and
AZOytp-aLRc,4480,6640,corporate services i joined the local
AZOytp-aLRc,6640,9280,authority back in 2018 and i've spent
AZOytp-aLRc,9280,11920,nearly 30 years in the public sector i'm
AZOytp-aLRc,11920,13519,responsible for overseeing many of the
AZOytp-aLRc,13519,15360,support functions that set the strategic
AZOytp-aLRc,15360,17279,direction of the local authority and
AZOytp-aLRc,17279,18800,enable the delivery of high quality
AZOytp-aLRc,18800,20320,frontline services
AZOytp-aLRc,20320,22240,services such as human resources health
AZOytp-aLRc,22240,25119,and safety communications i.t
AZOytp-aLRc,25119,27760,procurement finance legal and
AZOytp-aLRc,27760,30000,transformation all form a core part of
AZOytp-aLRc,30000,31599,the council's operating model and
AZOytp-aLRc,31599,33280,support key frontline services to
AZOytp-aLRc,33280,35200,operate and around the year provision to
AZOytp-aLRc,35200,36640,our residents
AZOytp-aLRc,36640,38160,here at cophilly we have teams of
AZOytp-aLRc,38160,40399,incredibly talented people many of whom
AZOytp-aLRc,40399,41600,began their careers with the local
AZOytp-aLRc,41600,43120,authority and have progressed those
AZOytp-aLRc,43120,45120,careers as they've gained qualifications
AZOytp-aLRc,45120,46719,and experience
AZOytp-aLRc,46719,48480,with the changing landscape of the way
AZOytp-aLRc,48480,50399,that we work our support services have
AZOytp-aLRc,50399,51760,never been more important to our
AZOytp-aLRc,51760,53039,residents
AZOytp-aLRc,53039,54960,this is something that became evident
AZOytp-aLRc,54960,57280,during the pandemic working as a valued
AZOytp-aLRc,57280,59039,member of the council support services
AZOytp-aLRc,59039,60800,will allow you to change the face of
AZOytp-aLRc,60800,63039,public service operations and to make a
AZOytp-aLRc,63039,64960,real difference to our residents i'm
AZOytp-aLRc,64960,67280,also responsible for education schools
AZOytp-aLRc,67280,69600,and lifelong learning a huge service
AZOytp-aLRc,69600,71119,area that supports children from early
AZOytp-aLRc,71119,73439,years right through to further education
AZOytp-aLRc,73439,75200,it is humbling to work with such a group
AZOytp-aLRc,75200,77280,of incredibly talented head teachers
AZOytp-aLRc,77280,79840,teachers support staff and professionals
AZOytp-aLRc,79840,81600,to give all learners the best possible
AZOytp-aLRc,81600,83759,chance to achieve their goals in life
AZOytp-aLRc,83759,85360,we are trying to achieve excellence
AZOytp-aLRc,85360,87200,together and we are on a fantastic
AZOytp-aLRc,87200,88400,journey which will make a real
AZOytp-aLRc,88400,90640,difference to our future generations
AZOytp-aLRc,90640,92479,we are so passionate about changing and
AZOytp-aLRc,92479,94479,improving the learning environment
AZOytp-aLRc,94479,96159,working with welsh government we have
AZOytp-aLRc,96159,98079,built and will continue to build a
AZOytp-aLRc,98079,100479,number of 21st century schools which
AZOytp-aLRc,100479,102240,showcase how new buildings and
AZOytp-aLRc,102240,104159,technology can make a difference to the
AZOytp-aLRc,104159,105920,experience and achievements of our
AZOytp-aLRc,105920,107920,learners if you are looking for a new
AZOytp-aLRc,107920,110240,challenge or a lifelong career in the
AZOytp-aLRc,110240,112000,ever-changing landscape that is public
AZOytp-aLRc,112000,114399,service then we are the right team for
AZOytp-aLRc,114399,117399,you
