vid,start,end,text
Ay4qA5emBFw,880,3280,okay what in the world do we have here
Ay4qA5emBFw,3280,7600,this is an apple 2gs computer from 1988.
Ay4qA5emBFw,7600,11599,state of the art absolutely
Ay4qA5emBFw,11599,13360,decided to come to the pawn shop today
Ay4qA5emBFw,13360,16080,to sell my apple 2gs computer i love
Ay4qA5emBFw,16080,17920,this computer it was my favorite thing
Ay4qA5emBFw,17920,19199,as a kid
Ay4qA5emBFw,19199,20720,yeah i got to play all sorts of great
Ay4qA5emBFw,20720,22320,video games
Ay4qA5emBFw,22320,25439,2gs isn't that 86 or 87 i think they
Ay4qA5emBFw,25439,28160,originally came out around 86 or 87 but
Ay4qA5emBFw,28160,30480,the manufacturer date on this one is 88.
Ay4qA5emBFw,30480,32398,must have been the last one made could
Ay4qA5emBFw,32398,33840,be
Ay4qA5emBFw,33840,36160,apple computers started back in 1976
Ay4qA5emBFw,36160,38160,with three guys in a garage things have
Ay4qA5emBFw,38160,40960,changed quite a bit since then
Ay4qA5emBFw,40960,43680,um let me see it
Ay4qA5emBFw,43680,44719,whoa
Ay4qA5emBFw,44719,47200,three and a half inch floppies oh yeah
Ay4qA5emBFw,47200,50160,got some five inch ones down below too
Ay4qA5emBFw,50160,53440,okay here is the cpu
Ay4qA5emBFw,53440,56559,all the original manuals i can't wait
Ay4qA5emBFw,56559,59680,it's gonna be awesome sweet f1 racer i'm
Ay4qA5emBFw,59680,61199,gonna work the night shift tonight so i
Ay4qA5emBFw,61199,62399,could play this
Ay4qA5emBFw,62399,64960,that wouldn't be working and
Ay4qA5emBFw,64960,66640,power
Ay4qA5emBFw,66640,68960,and
Ay4qA5emBFw,69119,72600,i think it's broke
Ay4qA5emBFw,73119,75920,any day now
Ay4qA5emBFw,75960,77439,[Music]
Ay4qA5emBFw,77439,79600,be patient it's gonna be worth it it's
Ay4qA5emBFw,79600,81520,gonna bring you back to 1987 when you
Ay4qA5emBFw,81520,83200,had hair yeah so how do you play this
Ay4qA5emBFw,83200,85280,thing chum i play it like a g i don't
Ay4qA5emBFw,85280,87200,know how you play options i don't know
Ay4qA5emBFw,87200,89520,how to make the car go forward you suck
Ay4qA5emBFw,89520,92320,you're in last place
Ay4qA5emBFw,92400,93920,get a professional show you how it's
Ay4qA5emBFw,93920,96090,done
Ay4qA5emBFw,96090,99188,[Music]
Ay4qA5emBFw,99360,101280,i can play this all day
Ay4qA5emBFw,101280,102960,even though it's way out of date there's
Ay4qA5emBFw,102960,104960,still a huge collector's market for old
Ay4qA5emBFw,104960,106240,apple computers
Ay4qA5emBFw,106240,107520,some people even turn them into
Ay4qA5emBFw,107520,109680,fishbowls they're called macquariums i'm
Ay4qA5emBFw,109680,111280,not kidding
Ay4qA5emBFw,111280,112240,so what did you want to do with it you
Ay4qA5emBFw,112240,115280,want to pawn it or sell it i'll sell it
Ay4qA5emBFw,115280,116799,so how much do you want for it
Ay4qA5emBFw,116799,120079,hoping to get maybe a few hundred do no
Ay4qA5emBFw,120079,122000,no
Ay4qA5emBFw,122000,124240,i will give you 50 bucks for it
Ay4qA5emBFw,124240,126240,well for that much i think i'd rather
Ay4qA5emBFw,126240,128560,just keep it and play it occasionally
Ay4qA5emBFw,128560,131760,it's a 23 year old computer i'm assuming
Ay4qA5emBFw,131760,133200,i'm going to sell it to somebody who's
