vid,start,end,text
BV0PwOExYp4,0,4630,[Applause]
BV0PwOExYp4,8560,12000,[Music]
BV0PwOExYp4,12000,14680,me
BV0PwOExYp4,14680,22959,[Music]
BV0PwOExYp4,25680,26950,um
BV0PwOExYp4,26950,29180,[Applause]
BV0PwOExYp4,29180,33750,[Music]
BV0PwOExYp4,33750,36920,[Applause]
BV0PwOExYp4,37480,42399,[Music]
BV0PwOExYp4,42399,44960,and every
BV0PwOExYp4,49600,52230,is
BV0PwOExYp4,52230,63799,[Music]
BV0PwOExYp4,66480,70819,[Music]
BV0PwOExYp4,74840,77919,[Music]
BV0PwOExYp4,85210,88270,[Music]
BV0PwOExYp4,93070,96130,[Music]
BV0PwOExYp4,97600,100600,foreign
BV0PwOExYp4,104320,107320,foreign
BV0PwOExYp4,109210,120749,[Music]
BV0PwOExYp4,124690,126560,[Music]
BV0PwOExYp4,126560,129039,for the
BV0PwOExYp4,130130,138560,[Music]
BV0PwOExYp4,138560,141560,oh
BV0PwOExYp4,143320,156300,[Music]
BV0PwOExYp4,161000,168630,[Music]
BV0PwOExYp4,175920,178640,that you can't
BV0PwOExYp4,178760,182220,leave me
BV0PwOExYp4,182220,185259,[Music]
BV0PwOExYp4,188440,196000,[Music]
BV0PwOExYp4,196000,199000,oh
BV0PwOExYp4,201210,215760,[Music]
BV0PwOExYp4,215760,220760,for the rest of my life
BV0PwOExYp4,222850,229509,[Music]
BV0PwOExYp4,231910,236850,[Music]
BV0PwOExYp4,246790,249969,[Applause]
BV0PwOExYp4,252879,255510,for first
BV0PwOExYp4,255510,258578,[Music]
BV0PwOExYp4,291840,293919,you
