vid,start,end,text
B_H9kYBBves,0,1120,and now we're gonna pick a light color
B_H9kYBBves,1120,2960,and we're just gonna
B_H9kYBBves,2960,4880,boom beautiful all right what's up guys
B_H9kYBBves,4880,6879,in today's video we're gonna try another
B_H9kYBBves,6879,8480,tick tock art challenge i found this
B_H9kYBBves,8480,9760,challenge recently it's a little bit
B_H9kYBBves,9760,11360,different from what we've done before
B_H9kYBBves,11360,12880,but i think this should be really fun to
B_H9kYBBves,12880,14320,do so i'm gonna play this tech talk for
B_H9kYBBves,14320,15519,you guys and you can see what we're
B_H9kYBBves,15519,18950,getting ourselves into
B_H9kYBBves,18950,34170,[Music]
B_H9kYBBves,34399,35440,you probably know what's happening now
B_H9kYBBves,35440,37200,right this is a challenge where you draw
B_H9kYBBves,37200,39840,a character head-on and you divide the
B_H9kYBBves,39840,42000,face into four equal squares and the
B_H9kYBBves,42000,43920,hard part is in each square you gotta
B_H9kYBBves,43920,45760,draw in a different style you know the
B_H9kYBBves,45760,47039,thing with art babies is everyone's
B_H9kYBBves,47039,48160,always talking about how to find your
B_H9kYBBves,48160,51360,art style how do i find it yeah
B_H9kYBBves,51360,53360,and a great way to do that is to try out
B_H9kYBBves,53360,54960,different styles for yourself and see
B_H9kYBBves,54960,56320,what you're comfortable with so this
B_H9kYBBves,56320,58160,challenge is right up my alley i've got
B_H9kYBBves,58160,59840,my oc car here and i've divided this
B_H9kYBBves,59840,62399,portrait into four equal squares where
B_H9kYBBves,62399,64158,we're gonna do a different style in each
B_H9kYBBves,64158,65680,square now i change this up a little bit
B_H9kYBBves,65680,67200,because ain't no way i'm doing pop art
B_H9kYBBves,67200,68720,today i'm just not feeling that and i
B_H9kYBBves,68720,71520,put a blog where it's a me style sam sam
B_H9kYBBves,71520,73200,does art style i hope you guys like my
B_H9kYBBves,73200,75680,style um so the boxes are gonna be my
B_H9kYBBves,75680,78880,style realism anime and disney and when
B_H9kYBBves,78880,80320,i say disney i don't mean like elsa i
B_H9kYBBves,80320,81759,mean like you know the classic like
B_H9kYBBves,81759,83920,ariel which uh most of you guys that's
B_H9kYBBves,83920,85600,probably before your generation so i
B_H9kYBBves,85600,86799,guess with the intro out of the way
B_H9kYBBves,86799,88479,let's jump right into this and i'll talk
B_H9kYBBves,88479,89840,to you guys about all the different
B_H9kYBBves,89840,91520,styles and things to look out for and if
B_H9kYBBves,91520,92799,you're looking for your own style you
B_H9kYBBves,92799,94640,know this this is a great way to find it
B_H9kYBBves,94640,96159,and i'll show you why so i'm going to
B_H9kYBBves,96159,97840,start off with my own style but by the
B_H9kYBBves,97840,99280,end i think you're going to probably see
B_H9kYBBves,99280,101280,a correlation between my style and the
B_H9kYBBves,101280,103360,three other styles listed here get that
B_H9kYBBves,103360,104320,nice
B_H9kYBBves,104320,106640,bright hair color in there beautiful in
B_H9kYBBves,106640,107920,most of my work there's a couple things
B_H9kYBBves,107920,109439,that i like to do which is simplify the
B_H9kYBBves,109439,111759,shapes and exaggerate the colors so i'm
B_H9kYBBves,111759,113119,gonna take the skin color and i'm going
B_H9kYBBves,113119,115360,to add a shadow color let's go a little
B_H9kYBBves,115360,118560,bit darker a little bit warmer and
B_H9kYBBves,118560,120320,right there boom
B_H9kYBBves,120320,121360,shadow
B_H9kYBBves,121360,123360,okay now let's do a shadow on the hair
B_H9kYBBves,123360,125040,let's do a little bit of rendering here
B_H9kYBBves,125040,127040,just a little bit of a darker color not
B_H9kYBBves,127040,128399,too much because we want to keep this
B_H9kYBBves,128399,129920,really simple and we don't want to get
B_H9kYBBves,129920,132959,bogged down with uh you know small tiny
B_H9kYBBves,132959,134800,details not saying that small things
B_H9kYBBves,134800,138400,don't deserve love but you know
B_H9kYBBves,138560,140720,cara's eyes are blue so we're gonna get
B_H9kYBBves,140720,143280,a nice vibrant blue color
B_H9kYBBves,143280,146000,yes that's good that's good um
B_H9kYBBves,146000,147680,i feel like this is a bit too vibrant i
B_H9kYBBves,147680,149040,might be getting carried away let's just
B_H9kYBBves,149040,151040,tone that down a bit okay that looks
