vid,start,end,text
BgPGrh1W5zw,80,8240,hello my name is markiplier and i'm here  to investigate something this game  cruelty squad is overwhelmingly
BgPGrh1W5zw,8240,13519,positively reviewed with not an  insignificant number of reviews but i
BgPGrh1W5zw,13519,18720,can't figure out why i looked at it and  unless my eyes deceive me it is a
BgPGrh1W5zw,18720,25920,chaotic complete mishmash of random   in various different styles
BgPGrh1W5zw,25920,30960,and nonsense and in all honesty i can't  really figure out what game it is but it
BgPGrh1W5zw,30960,37760,is  overwhelmingly positively rated i don't  know why it's one of those things where  you see other people enjoying it and i
BgPGrh1W5zw,37760,43520,could read reviews about it price of  liver shares has plummeted i'll never  financially recover from this i'm ruined
BgPGrh1W5zw,43520,49360,i don't know what that means is it a  game about selling organs this is the  gorbinos quest of video games i don't
BgPGrh1W5zw,49360,54960,know who gorbino is amazing game just  like real world except the textures have  changed it helped me get my job in
BgPGrh1W5zw,54960,61920,fintech by teaching me the ceo mindset  so i wholeheartedly recommend  what the does that mean a fever
BgPGrh1W5zw,61920,67199,dream that starts to make sense the  longer you play not just an elaborate
BgPGrh1W5zw,67280,73360,this is a great game made with artistic  intent this is just like gorbino's quest  this is the gorbinos quest of the real
BgPGrh1W5zw,73360,79880,world  i i don't know what gorbino's quest is  what is this
BgPGrh1W5zw,79880,84669,[Music]
BgPGrh1W5zw,87710,93119,[Music]  okay seizure warning apparently so yeah  i don't know what this is but we're
BgPGrh1W5zw,93119,98640,gonna find out together because i'm  going to play it now  and whatever it is is something we will
BgPGrh1W5zw,98640,104920,discover together consumer soft products  the authority of life
BgPGrh1W5zw,107410,113819,[Music]
BgPGrh1W5zw,117830,123920,[Music]  but hey it's me did i wake you up from
BgPGrh1W5zw,123920,131440,your depression  sec death unit what
BgPGrh1W5zw,131840,136000,if you up the death loser like  what
BgPGrh1W5zw,137840,143239,i've got good news for you regarding  your employment status
BgPGrh1W5zw,143360,150360,it's the sort of work that you  enjoy but you'll have to adjust to a  more corporate mindset
BgPGrh1W5zw,156480,162640,i assume you already own some suitable  equipment i don't know what  shouldn't i be concerned about what's  happening outside one last thing you'll
BgPGrh1W5zw,162640,168160,have to log at least 15 minutes a day on  the conditioning app  [Music]
BgPGrh1W5zw,168160,173200,we need your mind primed and clear no  freakouts understand
BgPGrh1W5zw,174800,179760,i literally only want to freak out right  now i don't know what's happening
BgPGrh1W5zw,180800,187530,also can i can i mention that this is  actually played in a tiny window  on my desktop it's not full screen
BgPGrh1W5zw,187530,193360,[Music]  i
BgPGrh1W5zw,193360,199920,am so  confused if i didn't know any better if  this didn't say it was overwhelmingly
BgPGrh1W5zw,199920,206799,positively reviewed i would assume that  this was some kind of crapware game that  was just a mishmash and absolutely had
BgPGrh1W5zw,206799,213280,no cohesion to it which it may not i  don't know  but  oh okay
BgPGrh1W5zw,213280,218879,oh  full yes please full screen for uh
BgPGrh1W5zw,218879,227799,input event map  uses r  lean oh that's okay kick is at
BgPGrh1W5zw,229280,235040,an oasis of love and friendship what  what is  what is
BgPGrh1W5zw,235040,241439,equipment and implants  oh is that me oh  i don't think i have any money do i
BgPGrh1W5zw,241439,246959,i wouldn't be yeah i've got no money  stock market  uh
BgPGrh1W5zw,246959,253439,epic up  up it go parts fish glom smell big fish
BgPGrh1W5zw,253439,260479,night zoop carp moon eel flind  blurp hydra psych
BgPGrh1W5zw,260479,266720,bouncy okay  so  snoozefest animal control pistol
BgPGrh1W5zw,266720,271919,expandable baton okay let's make that  oh wait i already had
BgPGrh1W5zw,271919,278960,did i have weapon  i don't know  ah it already ha okay i'm gonna try i
BgPGrh1W5zw,278960,287080,guess i'm gonna do the  the tranquilizer pistol and the sci i  don't know pharmocokinetics
BgPGrh1W5zw,287360,294160,sigismund of the pharmaceutical  department has been embezzling company  funds and using them to gamble with  highly speculative biological currencies
BgPGrh1W5zw,294160,299520,this would already be bad enough to warn  his immediate liquidation but he has  also become increasingly deranged flying
BgPGrh1W5zw,299520,305199,into fits of rage and vomiting blood all  over the office while you're there you  should also dispose of his accomplice
BgPGrh1W5zw,305199,311800,jerry he's scheduled to be hosting a  meeting in the conference room with  other executives
BgPGrh1W5zw,313840,320960,what  all right sure whatever okay i  am on i i don't
BgPGrh1W5zw,321250,327039,[Music]  okay my life is a big green oozing
BgPGrh1W5zw,327039,332800,pulsing blob  and i have one out of five creepy smiley
BgPGrh1W5zw,332800,338000,faces in the bottom left  since it's your first day i dosed a
BgPGrh1W5zw,338000,344880,special combat cocktail for you don't  worry if you feel a little off well  good luck what you drugged me why did
BgPGrh1W5zw,344880,350160,why would you why  i shot a trash can
BgPGrh1W5zw,350160,355520,r oh  i  have
