vid,start,end,text
CMLYH0qRTSo,340,2830,car
CMLYH0qRTSo,2830,10780,[音楽]
CMLYH0qRTSo,10780,12780,ん
CMLYH0qRTSo,14410,16410,ん
CMLYH0qRTSo,17039,19039,ん
CMLYH0qRTSo,19720,21130,パパ
CMLYH0qRTSo,21130,23160,ん
CMLYH0qRTSo,23230,25740,んん
CMLYH0qRTSo,25740,30640,[音楽]
CMLYH0qRTSo,30640,32640,ん
CMLYH0qRTSo,37250,38300,くん
CMLYH0qRTSo,38300,39030,[音楽]
CMLYH0qRTSo,39030,41030,ん
CMLYH0qRTSo,43680,44490,ああああああん
CMLYH0qRTSo,44490,47669,[音楽]
CMLYH0qRTSo,49900,53040,[音楽]
CMLYH0qRTSo,61220,61600,プー
CMLYH0qRTSo,61600,73240,[音楽]
CMLYH0qRTSo,73240,74920,グーン
CMLYH0qRTSo,74920,78159,[音楽]
CMLYH0qRTSo,78980,81980,ん
CMLYH0qRTSo,81990,84229,2
CMLYH0qRTSo,85790,91830,[音楽]
CMLYH0qRTSo,91830,93680,ん
CMLYH0qRTSo,93680,95310,[音楽]
CMLYH0qRTSo,95310,98640,1本
CMLYH0qRTSo,114590,117428,ブーブー
CMLYH0qRTSo,123880,126880,ブーブー
CMLYH0qRTSo,127810,130810,do
CMLYH0qRTSo,134610,135430,ううっうぅうう
CMLYH0qRTSo,135430,150159,[音楽]
CMLYH0qRTSo,153560,155380,do
CMLYH0qRTSo,155380,177200,[音楽]
CMLYH0qRTSo,181999,186400,elううっうぅうう
CMLYH0qRTSo,189200,197349,[音楽]
CMLYH0qRTSo,202000,203660,doた
CMLYH0qRTSo,203660,206530,me
CMLYH0qRTSo,208270,209800,google
CMLYH0qRTSo,209800,213550,[音楽]
CMLYH0qRTSo,216300,219399,[音楽]
CMLYH0qRTSo,220150,222780,ポッん
CMLYH0qRTSo,226390,228390,ん
CMLYH0qRTSo,230770,239860,[音楽]
CMLYH0qRTSo,239860,243140,9 ee
CMLYH0qRTSo,243140,246450,[音楽]
CMLYH0qRTSo,251010,253909,スプーン
CMLYH0qRTSo,254680,257099,普通
CMLYH0qRTSo,261028,262460,[音楽]
CMLYH0qRTSo,262460,265460,ん
CMLYH0qRTSo,265780,268900,[音楽]
CMLYH0qRTSo,272520,273650,ん
CMLYH0qRTSo,273650,274330,[音楽]
CMLYH0qRTSo,274330,276330,ん
CMLYH0qRTSo,290460,290860,[拍手]
CMLYH0qRTSo,290860,292860,ん
CMLYH0qRTSo,296950,298430,ん
CMLYH0qRTSo,298430,301320,[音楽]
CMLYH0qRTSo,301320,304320,ん
CMLYH0qRTSo,305660,308660,ん
CMLYH0qRTSo,311030,312470,パパ
CMLYH0qRTSo,312470,315520,[音楽]
CMLYH0qRTSo,315520,318480,プープーん
CMLYH0qRTSo,318480,320449,[音楽]
CMLYH0qRTSo,320449,321130,goo ん
CMLYH0qRTSo,321130,323430,[音楽]
CMLYH0qRTSo,323430,325430,ん
CMLYH0qRTSo,326380,328430,ああああああ
CMLYH0qRTSo,328430,331419,ああああああ
CMLYH0qRTSo,334830,336240,ん
CMLYH0qRTSo,336240,341500,[音楽]
CMLYH0qRTSo,341500,344430,の
CMLYH0qRTSo,347790,349570,padi
CMLYH0qRTSo,349570,369130,[音楽]
CMLYH0qRTSo,371860,373888,を
CMLYH0qRTSo,376960,379319,の
CMLYH0qRTSo,381610,383270,の
CMLYH0qRTSo,383270,386270,ん
CMLYH0qRTSo,389460,399129,[音楽]
CMLYH0qRTSo,399129,401129,ん
CMLYH0qRTSo,406449,408249,ん
CMLYH0qRTSo,408249,410420,goo
CMLYH0qRTSo,410420,410920,[音楽]
CMLYH0qRTSo,410920,412740,ん
CMLYH0qRTSo,412740,415490,ああああああ
CMLYH0qRTSo,415889,416520,2
CMLYH0qRTSo,416520,417800,[音楽]
CMLYH0qRTSo,417800,419830,ん
CMLYH0qRTSo,420760,424730,一番いいかなと
CMLYH0qRTSo,424730,427710,ハッピー6も同日
CMLYH0qRTSo,427710,429530,ではカラフルじゃないんだよ
CMLYH0qRTSo,429530,430620,[音楽]
CMLYH0qRTSo,430620,431790,うん
CMLYH0qRTSo,431790,434490,付いてる続けた月だから入ればいいのいい
CMLYH0qRTSo,434490,436790,のか思い出すシーン
CMLYH0qRTSo,436790,438700,かわいいこれめっちゃ
CMLYH0qRTSo,438700,440870,増えた
CMLYH0qRTSo,440870,442860,3 can
CMLYH0qRTSo,442860,447660,思ってano ano
CMLYH0qRTSo,447660,449910,あるです抱えですねおっしゃるばあちゃん
CMLYH0qRTSo,449910,452340,ゆか私も無いだと思ったけどお互い字で
CMLYH0qRTSo,452340,455320,書いておりますよ
CMLYH0qRTSo,455320,457450,めちゃくちゃおもちゃ中でもあのフェル
CMLYH0qRTSo,457450,459110,パーセント部じゃないもんああ
CMLYH0qRTSo,459110,462238,[拍手]
CMLYH0qRTSo,463300,467409,ってがビビる敵が者のそう
CMLYH0qRTSo,467409,468580,いやだからそう
CMLYH0qRTSo,468580,471309,やさしい本当にどっちアルフォンスされ最
CMLYH0qRTSo,471309,474009,高齢者がこれセグ日本取っちゃってくるん
CMLYH0qRTSo,474009,474880,です
CMLYH0qRTSo,474880,477070,voodoo 母は
CMLYH0qRTSo,477070,480850,元気に堀があるかどうか
CMLYH0qRTSo,480850,482650,じゃ
CMLYH0qRTSo,482650,485780,全然言っただきん
CMLYH0qRTSo,485780,490110,確保ナビができる植木の方に良いケアでき
CMLYH0qRTSo,490110,492840,動画隊補助のゲストもなくちゃっ去りです
CMLYH0qRTSo,492840,494310,カバー
CMLYH0qRTSo,494310,496320,me
CMLYH0qRTSo,496320,498400,入った
CMLYH0qRTSo,498400,502509,voodoo ね赤いとか
CMLYH0qRTSo,503360,506030,の戦じゃー
CMLYH0qRTSo,506030,509110,スーパーかさえ奪えないからさーああ
CMLYH0qRTSo,509110,512630,ヌーを手元がセレブだ母ちょっとメール
CMLYH0qRTSo,512630,515390,ハゲてるからいいっ
