vid,start,end,text
CWKPDbLWfQw,880,5040,all right octonauts hook them up
CWKPDbLWfQw,5360,7440,[Music]
CWKPDbLWfQw,7440,10719,tweak all lines are secure thanks cap
CWKPDbLWfQw,10719,12719,we'll get those eggs to safety faster
CWKPDbLWfQw,12719,15759,and you can see a bunch of munchie
CWKPDbLWfQw,15759,17440,hold on tweak
CWKPDbLWfQw,17440,20160,oh good catch grouper this one nearly
CWKPDbLWfQw,20160,22960,got away from us
CWKPDbLWfQw,26560,28720,here comes the way
CWKPDbLWfQw,28720,32480,everyone into the gut now
CWKPDbLWfQw,32480,35440,brace yourselves
CWKPDbLWfQw,41440,43360,is everyone all right just a little
CWKPDbLWfQw,43360,45600,dizzy captain
CWKPDbLWfQw,45600,47760,and ready to go again
CWKPDbLWfQw,47760,49600,captain the turtle eggs aren't out of
CWKPDbLWfQw,49600,51680,danger yet we have to get them to a new
CWKPDbLWfQw,51680,54719,beach right away this one is too wet i
CWKPDbLWfQw,54719,57199,think we may have found one shellington
CWKPDbLWfQw,57199,59760,sending you some pictures now
CWKPDbLWfQw,59760,61600,ah it seems to have everything the
CWKPDbLWfQw,61600,63840,turtles need the right sand the right
CWKPDbLWfQw,63840,65920,slope and the right distance from the
CWKPDbLWfQw,65920,68000,water perfect
CWKPDbLWfQw,68000,70240,tweak send us the location and we'll
CWKPDbLWfQw,70240,72240,meet there to make new nests for the
CWKPDbLWfQw,72240,74220,eggs
CWKPDbLWfQw,74220,75920,[Music]
CWKPDbLWfQw,75920,80680,octonauts let's do this
CWKPDbLWfQw,85640,88798,[Music]
CWKPDbLWfQw,93140,99360,[Music]
CWKPDbLWfQw,99360,102720,ah i think that does it the eggs are all
CWKPDbLWfQw,102720,105040,safely under the sand good work
CWKPDbLWfQw,105040,107920,octonauts ah i suppose there's nothing
CWKPDbLWfQw,107920,110079,left to do now but wait for the eggs to
CWKPDbLWfQw,110079,111920,hatch yeah
CWKPDbLWfQw,111920,114240,more waiting i don't think we'll be
CWKPDbLWfQw,114240,118320,waiting long quasi look
CWKPDbLWfQw,118320,121040,they're hatching oh that's wonderful
CWKPDbLWfQw,121040,123520,maybe not sea turtle eggs usually hatch
CWKPDbLWfQw,123520,125040,at night when there are fewer predators
CWKPDbLWfQw,125040,127119,around to eat them this beach must be
CWKPDbLWfQw,127119,129039,colder than their old beach which is
CWKPDbLWfQw,129039,132879,making them think it's nighttime
CWKPDbLWfQw,135040,136160,wow
