vid,start,end,text
CWKvYHNl4Q8,4790,5930,de tout temps des hommes et des femmes
CWKvYHNl4Q8,5930,8389,ont suivi leur coeur leur idée eurent eu
CWKvYHNl4Q8,8389,9740,le courage de vivre la vie qui les
CWKvYHNl4Q8,9740,12800,inspirent ils ont parfois été critiqué
CWKvYHNl4Q8,12800,15050,so parfois été confrontés aux échecs ils
CWKvYHNl4Q8,15050,15800,ont persévéré
CWKvYHNl4Q8,15800,17840,ils ont tout donné et on finit par
CWKvYHNl4Q8,17840,20060,réussir ils ont assumé ce qui était
CWKvYHNl4Q8,20060,21710,important pour eux c'est ce qui fait
CWKvYHNl4Q8,21710,23630,qu'ils sont des héros pour certains
CWKvYHNl4Q8,23630,26119,leurs visages sont connus d'autres non
CWKvYHNl4Q8,26119,27830,et peut-être tu te demandes comment
CWKvYHNl4Q8,27830,29619,rencontrer
CWKvYHNl4Q8,29619,31550,j'aimerais te raconter l'histoire vraie
CWKvYHNl4Q8,31550,32840,d'une personne qui ne soupçonnent pas
CWKvYHNl4Q8,32840,34010,encore ce dont elle est capable
CWKvYHNl4Q8,34010,36020,elle a toutes les qualités d'un héros
CWKvYHNl4Q8,36020,37940,une petite voix en elle lui affirme le
CWKvYHNl4Q8,37940,40940,contraire abandonne c'est trop dur tu
CWKvYHNl4Q8,40940,43190,n'y arriveras pas ses murmures entraîne
CWKvYHNl4Q8,43190,45230,les doutes ses doutes se transforme en
CWKvYHNl4Q8,45230,46640,une histoire que la personne finit par
CWKvYHNl4Q8,46640,48680,croire l'histoire crel excuse parfaite
CWKvYHNl4Q8,48680,49640,pour abandonner
CWKvYHNl4Q8,49640,52149,[Musique]
CWKvYHNl4Q8,52149,53989,pourtant au fond d'elle quelque chose
CWKvYHNl4Q8,53989,55670,lui dit que tout ça c'est faux au fond
CWKvYHNl4Q8,55670,57019,d'elle subsiste une flamme qui lui fait
CWKvYHNl4Q8,57019,58579,sentir que ses rêves soit encore
CWKvYHNl4Q8,58579,62359,possible cette histoire c'est la tienne
CWKvYHNl4Q8,62359,65030,cette personne c'est toi c'est moi c'est
CWKvYHNl4Q8,65030,66740,en fait chacun d'entre nous vous avons
CWKvYHNl4Q8,66740,68030,tous cette flamme qui nous demandent de
CWKvYHNl4Q8,68030,70800,vivre ce qui nous inspire
CWKvYHNl4Q8,70800,73110,il ya 13 ans je me trouvais nul il
CWKvYHNl4Q8,73110,74580,intéressant j'avais l'impression que
CWKvYHNl4Q8,74580,76350,ceux qui réussissaient réussite est due
CWKvYHNl4Q8,76350,77580,à la chance ou à des qualités de
CWKvYHNl4Q8,77580,79500,naissance je vous disais évident laisse
CWKvYHNl4Q8,79500,81300,tomber pourra jamais le couple que tu
CWKvYHNl4Q8,81300,83640,désires le job de tes rêves l'argent la
CWKvYHNl4Q8,83640,86250,santé fera jamais confiance en toi tu
CWKvYHNl4Q8,86250,87480,seras jamais parler aux inconnus
CWKvYHNl4Q8,87480,91110,et encore moi en public ce jour là je
CWKvYHNl4Q8,91110,92070,suis tombé sur une vidéo
CWKvYHNl4Q8,92070,93690,j'ai vu un homme aux et les bourses qui
CWKvYHNl4Q8,93690,95760,l'inspirent j'ai réalisé que ça devait
CWKvYHNl4Q8,95760,96180,changer
CWKvYHNl4Q8,96180,98490,je n'ai eu marre de l'abandonner marre
CWKvYHNl4Q8,98490,99240,de ne pas oser
CWKvYHNl4Q8,99240,101190,j'ai pris une décision celle de
CWKvYHNl4Q8,101190,103230,m'honorer de tout donner pour vivre la
CWKvYHNl4Q8,103230,106440,vie qui m'inspire et toi qu'est ce qui
CWKvYHNl4Q8,106440,108840,t'inspire et que tu as laissé tomber je
CWKvYHNl4Q8,108840,109890,sais que parfois les choses ne se
CWKvYHNl4Q8,109890,111330,passent pas exactement comme on le
CWKvYHNl4Q8,111330,113850,désire certains abandonnent le tennis
CWKvYHNl4Q8,113850,116010,par grignoter encore et encore ce n'est
CWKvYHNl4Q8,116010,117300,pas de cette nourriture dont ils ont
CWKvYHNl4Q8,117300,119190,besoin d'autres veulent oublier en
CWKvYHNl4Q8,119190,120960,regardant la télé mais cela n'atteindra
CWKvYHNl4Q8,120960,122520,pas leur besoin de vivre ce qui les
CWKvYHNl4Q8,122520,124670,inspire
CWKvYHNl4Q8,124670,126530,peut-être que tu te dis
CWKvYHNl4Q8,126530,129229,oui mais mais je suis fatigué j'ai déjà
CWKvYHNl4Q8,129229,130880,essayé je suis pas capable
CWKvYHNl4Q8,130880,133040,c'est des conneries ça c'est des
CWKvYHNl4Q8,133040,134870,conneries que la peur se murmure que tu
CWKvYHNl4Q8,134870,135500,ose le croire
CWKvYHNl4Q8,135500,137150,combien de temps encore battu et laissé
CWKvYHNl4Q8,137150,140270,de la place cette voix qui te limite de
CWKvYHNl4Q8,140270,142430,quelle catégorie fais-tu partie de ceux
CWKvYHNl4Q8,142430,143780,qui baissent les bras sous prétexte que
CWKvYHNl4Q8,143780,145400,c'est dur ou de ceux qui écoutent une
CWKvYHNl4Q8,145400,147470,autre petite voix plus discrète cette
CWKvYHNl4Q8,147470,149060,deuxième voie qui nous murmurent tu peux
CWKvYHNl4Q8,149060,149569,y arriver
CWKvYHNl4Q8,149569,152780,deuit où tu seras fière de toi je sais
CWKvYHNl4Q8,152780,154310,qu'il existe une partie de toi qui sent
CWKvYHNl4Q8,154310,156350,qu'elle peut accomplir plus être plus
CWKvYHNl4Q8,156350,157520,donner plus
CWKvYHNl4Q8,157520,160130,tu sais il existe deux catégories de
CWKvYHNl4Q8,160130,161959,personnes ceux qui pensent que réussir
CWKvYHNl4Q8,161959,163130,est une question de chance de
CWKvYHNl4Q8,163130,165350,prédispositions et ceux qui savent que
CWKvYHNl4Q8,165350,166910,réussir c'est continuer malgré
CWKvYHNl4Q8,166910,170050,l'adversité et les difficultés
CWKvYHNl4Q8,170050,171880,un bébé tombe en moyenne deux mille fois
CWKvYHNl4Q8,171880,173680,avant de savoir marcher et il finit par
CWKvYHNl4Q8,173680,174280,y arriver
CWKvYHNl4Q8,174280,176020,simplement parce qu'il se relève et
CWKvYHNl4Q8,176020,178390,continue encore et encore si tu fais pas
CWKvYHNl4Q8,178390,179500,la victime
CWKvYHNl4Q8,179500,181360,il s'agit pas de s'en vouloir cj de se
CWKvYHNl4Q8,181360,183160,prendre soi même par la main mettre les
CWKvYHNl4Q8,183160,184870,doutes de côté et aux et de mettre en
CWKvYHNl4Q8,184870,187120,route pour ce tu t'inspires faire des
CWKvYHNl4Q8,187120,190390,erreurs apprendre recommencer c'est fini
CWKvYHNl4Q8,190390,192310,de laisser la peur a dit cet avis fini
CWKvYHNl4Q8,192310,194710,de se critiquer fini de se plaindre fini
CWKvYHNl4Q8,194710,196030,de croire que tu n'es pas capable
CWKvYHNl4Q8,196030,198850,tu es capable tu as du potentiel des
