vid,start,end,text
D0T7KwvmFQA,6319,8160,well a lot of people what they do is
D0T7KwvmFQA,8160,10800,they have these finish lines
D0T7KwvmFQA,10800,12639,and i have a saying that says i don't
D0T7KwvmFQA,12639,15440,stop when i'm tired i stop and i'm done
D0T7KwvmFQA,15440,17920,when i was uh younger i didn't have any
D0T7KwvmFQA,17920,19039,goals
D0T7KwvmFQA,19039,21359,and it's not really so much about goals
D0T7KwvmFQA,21359,23840,it's just a to-do list and as a human
D0T7KwvmFQA,23840,26160,being if you don't have a to-do list
D0T7KwvmFQA,26160,28080,you're going to sit back and just fade
D0T7KwvmFQA,28080,29119,away
D0T7KwvmFQA,29119,30240,it's like a lot of people who are in the
D0T7KwvmFQA,30240,31840,military who are in business who or
D0T7KwvmFQA,31840,34160,whenever they say hey i'm going to do 20
D0T7KwvmFQA,34160,37600,years and i'm going to retire okay
D0T7KwvmFQA,37600,39440,what's next
D0T7KwvmFQA,39440,42239,so i have a west next list so i never
D0T7KwvmFQA,42239,43680,sit idle
D0T7KwvmFQA,43680,45600,i never sit idle there's there's never
D0T7KwvmFQA,45600,47760,one time in my life where i'm sitting
D0T7KwvmFQA,47760,49760,back with free time and like just
D0T7KwvmFQA,49760,51199,enjoying the sun
D0T7KwvmFQA,51199,54239,i made it i've arrived no
D0T7KwvmFQA,54239,56160,i've never arrived and a lot of people
D0T7KwvmFQA,56160,60000,say are you happy because i'm so driven
D0T7KwvmFQA,60000,62000,that it almost makes people who are
D0T7KwvmFQA,62000,65040,weaker in the mind think my god
D0T7KwvmFQA,65040,67200,you must not be happy
D0T7KwvmFQA,67200,69840,that's a weaker person's way of saying
D0T7KwvmFQA,69840,72320,you've over achieved david goggins and
D0T7KwvmFQA,72320,74159,you're making me feel like crap so if
D0T7KwvmFQA,74159,75520,i'm making you feel like crap sorry
D0T7KwvmFQA,75520,77759,about that i'm doing my job if you ask
D0T7KwvmFQA,77759,79439,me if i'm happy
D0T7KwvmFQA,79439,81360,i'm doing my job because
D0T7KwvmFQA,81360,83200,when i was a weak person
D0T7KwvmFQA,83200,85040,these are some of the things i would ask
D0T7KwvmFQA,85040,87439,a very driven person because i didn't
D0T7KwvmFQA,87439,90159,understand what they were doing
D0T7KwvmFQA,90159,93040,because they were so driven that my mind
D0T7KwvmFQA,93040,95600,was so weak that i was like they must
D0T7KwvmFQA,95600,98560,not be happy i would find a way to put a
D0T7KwvmFQA,98560,101520,title like they're crazy or they're not
D0T7KwvmFQA,101520,104240,fulfilled or they're empty
D0T7KwvmFQA,104240,105600,because
D0T7KwvmFQA,105600,108640,i didn't have what they had so basically
D0T7KwvmFQA,108640,110640,if i get these questions
D0T7KwvmFQA,110640,113040,i know i'm exactly where i need to be
D0T7KwvmFQA,113040,115119,i'm making you feel a certain way even
D0T7KwvmFQA,115119,116960,though the good lord rests he didn't
D0T7KwvmFQA,116960,119360,tell me to he ain't telling me to rest
D0T7KwvmFQA,119360,121040,i'm a big faith believer even though i
D0T7KwvmFQA,121040,122000,cuss
D0T7KwvmFQA,122000,124000,i'm a big faith believer but god didn't
D0T7KwvmFQA,124000,126000,tell me to rest
