vid,start,end,text
DFjkHnZCqmU,160,1680,so if the big game is coming up and you
DFjkHnZCqmU,1680,3120,didn't plan ahead you're probably due
DFjkHnZCqmU,3120,4960,for a mediocre spread so let me give you
DFjkHnZCqmU,4960,8520,a hand with that
DFjkHnZCqmU,10270,13369,[Music]
DFjkHnZCqmU,15640,17680,[Music]
DFjkHnZCqmU,17680,19840,okay so today we are making the most
DFjkHnZCqmU,19840,22480,ideal super bowl spread in my mind as
DFjkHnZCqmU,22480,24640,quickly as possible i understand that a
DFjkHnZCqmU,24640,26320,lot of the time it doesn't really make a
DFjkHnZCqmU,26320,28560,lot of sense to pre-prep a ton of
DFjkHnZCqmU,28560,29840,ingredients and a ton of different
DFjkHnZCqmU,29840,31760,recipes just for one super bowl party so
DFjkHnZCqmU,31760,32640,i thought you know there should be a
DFjkHnZCqmU,32640,34320,version making this quickly but it's
DFjkHnZCqmU,34320,36000,still actually good with homemade
DFjkHnZCqmU,36000,37120,ingredients none of the store-bought
DFjkHnZCqmU,37120,38079,stuff where you're going to the store
DFjkHnZCqmU,38079,39760,and getting these huge platters of
DFjkHnZCqmU,39760,41120,cheese that have all been sliced and
DFjkHnZCqmU,41120,43600,sitting there for 14 days disco so we're
DFjkHnZCqmU,43600,45039,gonna put three hours on the clock and
DFjkHnZCqmU,45039,46399,see if we can make this entire thing in
DFjkHnZCqmU,46399,48239,that amount of time so let's make this
DFjkHnZCqmU,48239,50559,shall we we can easily do this in three
DFjkHnZCqmU,50559,52320,hours then i'll be your shepherd so keep
DFjkHnZCqmU,52320,54559,it clean orderly and move like you're in
DFjkHnZCqmU,54559,56320,a restaurant if you will garlic nuts
DFjkHnZCqmU,56320,58079,unbelievable wings chips with guac
DFjkHnZCqmU,58079,60719,homemade queso shabbata sando bites and
DFjkHnZCqmU,60719,63120,a luxurious cheese board so with that
DFjkHnZCqmU,63120,65198,let's get our time check set the clock
DFjkHnZCqmU,65198,67360,and begin one of our biggest bottlenecks
DFjkHnZCqmU,67360,68960,is the time that it takes to rise our
DFjkHnZCqmU,68960,70720,garlic knots so there's no question we
DFjkHnZCqmU,70720,72400,have to start there with one tablespoon
DFjkHnZCqmU,72400,74240,of 14 grams of instant yeast into one
DFjkHnZCqmU,74240,76159,and a quarter cup or 300 grams of water
DFjkHnZCqmU,76159,77840,that's around 95 fahrenheit then whisk
DFjkHnZCqmU,77840,79840,in one egg yolk now you got yeasty egg
DFjkHnZCqmU,79840,81280,water in a medium sized bowl add three
DFjkHnZCqmU,81280,83040,and a half cups or 525 grams of
DFjkHnZCqmU,83040,84479,all-purpose flour three-quarters of a
DFjkHnZCqmU,84479,86080,teaspoon or three grams of amy lace
DFjkHnZCqmU,86080,90640,which is an enzyme to soften the dough
DFjkHnZCqmU,90640,92240,one and a half teaspoons or 11 grams of
DFjkHnZCqmU,92240,93840,fine sea salt and three tablespoons or
DFjkHnZCqmU,93840,95759,42 grams of granulated sugar which
DFjkHnZCqmU,95759,97439,together till combined add your yeasty
DFjkHnZCqmU,97439,99200,egg to a stand mixer bowl fitted with a
DFjkHnZCqmU,99200,100880,spiral thing begin mixing on medium low
DFjkHnZCqmU,100880,102320,speed adding your flour about a quarter
DFjkHnZCqmU,102320,103680,cup at a time until you have a rough
DFjkHnZCqmU,103680,105360,dough and all your flour is added need
DFjkHnZCqmU,105360,107040,for five minutes or till smooth then add
DFjkHnZCqmU,107040,108880,two enough tablespoons or 35 grams of
DFjkHnZCqmU,108880,110560,unsalted softened butter once that's
DFjkHnZCqmU,110560,112079,incorporated mix for one more minute or
DFjkHnZCqmU,112079,114240,till smooth and beautiful properly shape
DFjkHnZCqmU,114240,115680,into a light ball and place into a
DFjkHnZCqmU,115680,117439,grease bowl cover with plastic wrap give
DFjkHnZCqmU,117439,119680,a very work appropriate name and that is
DFjkHnZCqmU,119680,121680,your dough sit and rise at room temp
