vid,start,end,text
DG-oAF1i_UA,1760,5359,what's stopping you are you too tired
DG-oAF1i_UA,5359,8080,didn't get enough sleep
DG-oAF1i_UA,8080,9760,don't have enough energy
DG-oAF1i_UA,9760,11360,don't have enough time is that what's
DG-oAF1i_UA,11360,13360,stopping you right now
DG-oAF1i_UA,13360,14920,don't have enough
DG-oAF1i_UA,14920,18720,money is that the thing
DG-oAF1i_UA,18880,22080,or is the thing that's stopping you
DG-oAF1i_UA,22080,24320,you
DG-oAF1i_UA,25519,27599,you have control over your mind you just
DG-oAF1i_UA,27599,30080,have to assert it you have to decide
DG-oAF1i_UA,30080,32719,that you are going to be in control that
DG-oAF1i_UA,32719,35280,you are going to do what you want to do
DG-oAF1i_UA,35280,38320,weakness doesn't get a vote laziness
DG-oAF1i_UA,38320,39840,doesn't get a vote
DG-oAF1i_UA,39840,41680,everyone wants some life hack that
DG-oAF1i_UA,41680,43600,eliminates the need to do the work but
DG-oAF1i_UA,43600,46480,that does not exist no you have to do
DG-oAF1i_UA,46480,47440,the work
DG-oAF1i_UA,47440,49520,you've got to hold the line you've got
DG-oAF1i_UA,49520,52800,to make it happen
DG-oAF1i_UA,52800,55199,some of you just don't understand
DG-oAF1i_UA,55199,56960,some of you've been averaged for so damn
DG-oAF1i_UA,56960,59280,long you don't know what it is to do
DG-oAF1i_UA,59280,60879,hard work
DG-oAF1i_UA,60879,62960,but there's a lot of you out there
DG-oAF1i_UA,62960,65518,who want to be much more than average
DG-oAF1i_UA,65518,67520,but just don't know how to do it every
DG-oAF1i_UA,67520,69439,single day the grind
DG-oAF1i_UA,69439,71280,he defies the one that oil those [ __ ]
DG-oAF1i_UA,71280,72640,gears up
DG-oAF1i_UA,72640,74479,so check it out
DG-oAF1i_UA,74479,76640,this is a mindset maybe it's true maybe
DG-oAF1i_UA,76640,78080,it's not
DG-oAF1i_UA,78080,80240,but there's a [ __ ] out there
DG-oAF1i_UA,80240,82400,who wants you to have who wants the
DG-oAF1i_UA,82400,84880,position you are who wants the job you
DG-oAF1i_UA,84880,87439,have who wants the wife that you have or
DG-oAF1i_UA,87439,89360,the husband there's someone out there
DG-oAF1i_UA,89360,91680,hungry it was everything you [ __ ]
DG-oAF1i_UA,91680,92720,have
DG-oAF1i_UA,92720,94159,maybe it's true
DG-oAF1i_UA,94159,95920,maybe it's not
DG-oAF1i_UA,95920,98079,but if it is
DG-oAF1i_UA,98079,101040,it's gonna be your ass so make that a
DG-oAF1i_UA,101040,102720,motivation for you
DG-oAF1i_UA,102720,104880,and stay hard
DG-oAF1i_UA,104880,106479,if you're gonna be successful in life
DG-oAF1i_UA,106479,107840,you gotta understand that there is a
DG-oAF1i_UA,107840,110159,sense of urgency that there are only
DG-oAF1i_UA,110159,112799,eighty six thousand four hundred seconds
DG-oAF1i_UA,112799,115280,in a day and you got to not only operate
DG-oAF1i_UA,115280,116880,them you got to do it quick you got to
DG-oAF1i_UA,116880,118640,do it fast you got to do it in a hurry
DG-oAF1i_UA,118640,120320,why because there's somebody else who's
DG-oAF1i_UA,120320,122880,on the same track you are somebody else
DG-oAF1i_UA,122880,124479,they're on the same path that you are
DG-oAF1i_UA,124479,126320,it's somebody else just like you trying
DG-oAF1i_UA,126320,128080,to do it and sometimes they're working
DG-oAF1i_UA,128080,130239,just as hard as you're working
