vid,start,end,text
DUBFEnbM_Iw,9440,12440,foreign
DUBFEnbM_Iw,28400,31400,foreign
DUBFEnbM_Iw,54800,57800,foreign
DUBFEnbM_Iw,79600,82600,foreign
DUBFEnbM_Iw,95230,98299,[Music]
DUBFEnbM_Iw,109360,112360,foreign
DUBFEnbM_Iw,166720,169720,foreign
DUBFEnbM_Iw,176959,179959,foreign
DUBFEnbM_Iw,224959,227840,okay
DUBFEnbM_Iw,238830,241919,[Applause]
DUBFEnbM_Iw,258180,261259,[Music]
DUBFEnbM_Iw,277520,280520,foreign
DUBFEnbM_Iw,341530,344690,[Music]
DUBFEnbM_Iw,377520,380520,um
DUBFEnbM_Iw,391600,394600,me
DUBFEnbM_Iw,403360,406360,foreign
DUBFEnbM_Iw,420639,423639,now
DUBFEnbM_Iw,448720,451720,okay
DUBFEnbM_Iw,517919,520919,foreign
DUBFEnbM_Iw,524410,526560,[Music]
DUBFEnbM_Iw,526560,527700,um
DUBFEnbM_Iw,527700,530820,[Music]
DUBFEnbM_Iw,537710,540869,[Music]
DUBFEnbM_Iw,541200,544200,foreign
DUBFEnbM_Iw,560480,563480,yes
DUBFEnbM_Iw,600959,603959,foreign
DUBFEnbM_Iw,629519,632519,foreign
DUBFEnbM_Iw,692070,696520,[Laughter]
DUBFEnbM_Iw,708000,710320,out
