vid,start,end,text
DawClk6d8d4,1330,9200,[Music]
DawClk6d8d4,9200,11840,talking in my sleep at night making
DawClk6d8d4,11840,13760,myself crazy
DawClk6d8d4,13760,19260,[Music]
DawClk6d8d4,22540,27680,[Music]
DawClk6d8d4,27680,31800,it makes me feel like nobody
DawClk6d8d4,32870,36059,[Music]
DawClk6d8d4,39110,43040,[Music]
DawClk6d8d4,43040,44800,pick up the phone you know he's only
DawClk6d8d4,44800,47120,calling cause he's drunk and alone too
DawClk6d8d4,47120,49520,don't let him in you watch it kick him
DawClk6d8d4,49520,52559,out again three don't be his friends you
DawClk6d8d4,52559,54079,know you're gonna wake up in his bed in
DawClk6d8d4,54079,56550,the morning
DawClk6d8d4,56550,60719,[Music]
DawClk6d8d4,60719,63719,them
DawClk6d8d4,64860,77439,[Music]
DawClk6d8d4,77439,79759,i keep pushing forward but he keeps
DawClk6d8d4,79759,83560,pulling me backwards
DawClk6d8d4,85600,88240,now i'm standing back from it i finally
DawClk6d8d4,88240,90340,see the patterns
DawClk6d8d4,90340,102239,[Music]
DawClk6d8d4,102799,104560,don't pick up the phone you know he's
DawClk6d8d4,104560,106399,only going cause he's drunk and alone
DawClk6d8d4,106399,109280,too don't let him in you have to kick
DawClk6d8d4,109280,110950,him out again
DawClk6d8d4,110950,121119,[Music]
DawClk6d8d4,121119,124119,hey
DawClk6d8d4,124830,137590,[Music]
