vid,start,end,text
DrrJpW4BrDg,1920,14710,nice  [Music]
DrrJpW4BrDg,18000,40799,nice fall down  [Music]
DrrJpW4BrDg,42719,45719,i
DrrJpW4BrDg,50640,54920,is  [Music]
DrrJpW4BrDg,61520,64520,me
DrrJpW4BrDg,73580,81280,[Music]  i'm losing my mind
DrrJpW4BrDg,85680,96110,is  [Music]
DrrJpW4BrDg,100880,109349,ice cream  [Music]
DrrJpW4BrDg,113520,120748,[Music]
DrrJpW4BrDg,122479,125479,me
DrrJpW4BrDg,127950,146230,[Music]
DrrJpW4BrDg,146230,149310,[Applause]
DrrJpW4BrDg,151630,157280,[Music]  my
DrrJpW4BrDg,157280,160280,is
DrrJpW4BrDg,163420,166500,[Music]
DrrJpW4BrDg,173270,187550,[Music]
DrrJpW4BrDg,192239,200789,nice  [Music]
DrrJpW4BrDg,202640,212719,is  [Music]
DrrJpW4BrDg,213200,219970,thank you  [Music]
DrrJpW4BrDg,228150,246400,[Laughter]
DrrJpW4BrDg,246400,278000,department  [Music]
DrrJpW4BrDg,278000,281000,um
DrrJpW4BrDg,286290,300880,[Music]
DrrJpW4BrDg,300880,307089,a  [Music]
DrrJpW4BrDg,315830,321879,[Laughter]
DrrJpW4BrDg,322639,325639,department
DrrJpW4BrDg,330680,337910,[Music]
DrrJpW4BrDg,339199,346009,a  [Music]
DrrJpW4BrDg,350100,357320,[Music]  did
DrrJpW4BrDg,358660,378459,[Music]
DrrJpW4BrDg,384639,387639,um
DrrJpW4BrDg,400240,403240,wow
DrrJpW4BrDg,422800,429350,um  [Music]
DrrJpW4BrDg,438000,460310,um  [Music]
DrrJpW4BrDg,460880,467120,thank you so much  the future
DrrJpW4BrDg,471440,475080,into the future
DrrJpW4BrDg,476690,496070,[Music]
DrrJpW4BrDg,497919,506389,so  [Music]
DrrJpW4BrDg,511120,521649,[Music]
DrrJpW4BrDg,524140,532480,[Music]
DrrJpW4BrDg,532480,535529,[Applause]
DrrJpW4BrDg,543760,552480,into the future  [Music]
DrrJpW4BrDg,552480,555480,channel
DrrJpW4BrDg,558160,561319,[Music]
DrrJpW4BrDg,564959,567959,so
DrrJpW4BrDg,591630,609200,[Music]
DrrJpW4BrDg,609200,619879,so  [Music]
DrrJpW4BrDg,623200,734130,[Music]
DrrJpW4BrDg,757760,780370,foreign  [Music]
DrrJpW4BrDg,788639,805650,so  [Music]
DrrJpW4BrDg,805650,881760,[Applause]  [Music]
DrrJpW4BrDg,881760,892748,truck  [Music]
DrrJpW4BrDg,894220,901720,[Applause]  [Music]  so
DrrJpW4BrDg,903600,925269,[Music]
DrrJpW4BrDg,926320,952509,is  [Music]
DrrJpW4BrDg,952720,965250,i  [Music]
DrrJpW4BrDg,967759,981759,is  [Music]
DrrJpW4BrDg,983199,991740,i just  [Applause]  [Music]
DrrJpW4BrDg,991740,1031589,[Applause]  [Music]
DrrJpW4BrDg,1036480,1041160,you're so great next to me
DrrJpW4BrDg,1047000,1051130,[Music]
DrrJpW4BrDg,1054960,1057960,is
DrrJpW4BrDg,1072440,1081028,[Music]
DrrJpW4BrDg,1084450,1094000,[Music]
DrrJpW4BrDg,1094000,1127279,is  [Music]
DrrJpW4BrDg,1146799,1149799,my
DrrJpW4BrDg,1153760,1163170,[Music]
DrrJpW4BrDg,1163170,1189440,[Applause]
DrrJpW4BrDg,1189440,1196080,oh  [Applause]
DrrJpW4BrDg,1196080,1202490,so  [Applause]
DrrJpW4BrDg,1205880,1208979,[Music]
DrrJpW4BrDg,1212320,1216599,so  [Music]
DrrJpW4BrDg,1222040,1225140,[Music]
DrrJpW4BrDg,1230760,1237520,[Applause]  [Music]
DrrJpW4BrDg,1237520,1240609,[Applause]
DrrJpW4BrDg,1245720,1252750,[Music]
DrrJpW4BrDg,1252750,1259560,[Applause]  [Music]  [Applause]
DrrJpW4BrDg,1259560,1263420,[Music]  [Applause]
DrrJpW4BrDg,1268240,1271240,so
DrrJpW4BrDg,1275220,1278650,[Music]  [Applause]
DrrJpW4BrDg,1283840,1290830,so  [Music]
DrrJpW4BrDg,1290830,1298450,[Applause]  [Music]
DrrJpW4BrDg,1298450,1301549,[Applause]
DrrJpW4BrDg,1303470,1311440,[Music]
DrrJpW4BrDg,1311440,1316200,so  [Music]
DrrJpW4BrDg,1327060,1333989,[Applause]
DrrJpW4BrDg,1337980,1341089,[Applause]
DrrJpW4BrDg,1355910,1367020,[Music]
DrrJpW4BrDg,1367020,1380640,[Applause]  [Music]
DrrJpW4BrDg,1380640,1388749,so  [Applause]
DrrJpW4BrDg,1390559,1393559,uh
DrrJpW4BrDg,1397200,1405840,[Music]
DrrJpW4BrDg,1405840,1413690,uh  [Music]
DrrJpW4BrDg,1417280,1420280,oh
DrrJpW4BrDg,1423320,1456469,[Music]
DrrJpW4BrDg,1467520,1510980,so  [Music]
DrrJpW4BrDg,1511620,1514790,[Applause]
DrrJpW4BrDg,1526799,1534279,thank  so
DrrJpW4BrDg,1545060,1552760,[Music]  i think
DrrJpW4BrDg,1557310,1586680,[Music]
DrrJpW4BrDg,1590320,1603039,so  [Music]
DrrJpW4BrDg,1603039,1632559,uh  [Music]
DrrJpW4BrDg,1632559,1637549,so  [Applause]
DrrJpW4BrDg,1647840,1650840,oh
DrrJpW4BrDg,1655520,1658520,oh
