vid,start,end,text
EHXvGiK18kM,17911,18911,Hello
EHXvGiK18kM,19630,24844,This is NCT NEWS where we deliver NCT's hot news every month
EHXvGiK18kM,24844,27611,I'm TAEYONG
EHXvGiK18kM,27611,29983,"Hi, I'm YUTA"
EHXvGiK18kM,29989,32413,NCT NEWS is brought to you every month
EHXvGiK18kM,32428,36573,"(JISUNG news presenter, ""NCT NEWS ep4 we crushed it[jjijeotda]"") Following the JISUNG and SHOTARO last month,"
EHXvGiK18kM,36576,39498,"(SHOTARO news presenter, ""You got this, guys!"") we're here with more news"
EHXvGiK18kM,39512,42892,"TAEYONG, how did you like NCT SHOW episode 4?"
EHXvGiK18kM,42933,45009,It was really fun
EHXvGiK18kM,45012,48346,"(""The teddy bear impressed the crowd with his dance"") HAECHAN's dance was very impressive"
EHXvGiK18kM,48383,52517,"(Episode 4 of ""THE NCT SHOW"" was very popular) It was a very fun and exciting moment,"
EHXvGiK18kM,52520,54272,"(Stay tuned for ""THE NCT SHOW"" episode 5!) I'm excited for the new NCT SHOW!"
EHXvGiK18kM,54298,59335,TAEYONG and I will make sure to stay vibrant and make this
EHXvGiK18kM,59338,61518,"(YUTA, TAEYONG, born in 1995, will show great chemistry) another exciting episode of NCT SHOW"
EHXvGiK18kM,62138,66149,Let me introduce the first news to you
EHXvGiK18kM,66164,68151,Here is the first news
EHXvGiK18kM,68793,70779,"Last May,"
EHXvGiK18kM,70796,73778,"(NCT 127, on a world tour concert in Japan) NCT 127 Neo City Japan The Link"
EHXvGiK18kM,73783,78334,"(NCT 127, on a world tour concert in Japan) NCT gave successful performances in Nagoya and Tokyo"
EHXvGiK18kM,78337,82906,I heard that NCTzens at the scene showed great enthusiasm
EHXvGiK18kM,82920,88965,"(NCT 127, impressed by NCTzen at the dome tour) NCT 127 said that they were touched by the fans"
EHXvGiK18kM,88965,91577,"(NCT 127, coming June 25-26 in Osaka) NCT 127 is working hard"
EHXvGiK18kM,91578,94466,"(""Wait, NCTzen"") on upcoming performances at Kyocera Dome Osaka"
EHXvGiK18kM,94469,97014,"(NCTzen, ""Come 127"") on June 25 and 26,"
EHXvGiK18kM,97064,100309,"TAEYONG, how did you like performing in Japan?"
EHXvGiK18kM,100661,104564,"First, it was our performance together in such  along time"
EHXvGiK18kM,104564,108865,It was such a happy and meaningful day
EHXvGiK18kM,108868,113600,because we got to say hello to NCTzen in Japan
EHXvGiK18kM,113600,117336,I'm also really excited about the upcoming performances in Osaka
EHXvGiK18kM,117339,119049,"YUTA, how did you feel?"
EHXvGiK18kM,119050,123571,"I felt the same, I was a bit nervous to perform in such a long time,"
EHXvGiK18kM,123591,127720,"but thanks to our fans' support, everything went great"
EHXvGiK18kM,127720,130292,I'll make sure to do my best for the upcoming Osaka concert
EHXvGiK18kM,130322,132046,(Japanese) (Please tell us in Japanese)
EHXvGiK18kM,132050,135580,"(It was our first concert in Japan in 2 years and 3 months,)"
EHXvGiK18kM,135587,137418,(so I was quite nervous)
EHXvGiK18kM,137418,142211,"(But thanks to you guys, we were able to safely finish the Nagoya and Tokyo performances)"
EHXvGiK18kM,142211,146338,- (Please be excited about the Osaka performances) - (Please be excited)
EHXvGiK18kM,146338,150150,"Also, vlogs about the quarantine in Japan"
EHXvGiK18kM,150150,153209,"(Self-quarantine vlog ""A DAY 1N M2 Roo7N"") ""A DAY 1N M2 Roo7N"" was released"
EHXvGiK18kM,153244,155690,(NCT 127 / (Green tea eating show)) Each member showed their unique charm
EHXvGiK18kM,155693,158228,and NCTzen liked it very much
EHXvGiK18kM,158239,162752,"Travel video they filmed in Japan will be released soon,"
EHXvGiK18kM,162796,165607,so please show lots of love and support
EHXvGiK18kM,165607,169506,"Unfortunately, TAEIL and JOHNNY were unable to film with us"
EHXvGiK18kM,169506,172653,(A short call with TAEYONG and JOHNNY) I hear you did a short video call with JOHNNY
EHXvGiK18kM,172683,176843,"(TAEYONG, gave a special gift to TAEIL) - and bought a special gift to TAEIL / - Right"
EHXvGiK18kM,176862,178172,How was your trip?
EHXvGiK18kM,178172,183897,"First of, JOHNNY, DOYOUNG, and I planned on traveling together,"
EHXvGiK18kM,183897,187081,"but unfortunately, JOHNNY couldn't join us"
EHXvGiK18kM,187084,190982,- We called to make sure he was doing okay - That's nice
EHXvGiK18kM,190989,195299,"TAEIL also likes Shiba Inu a lot,"
EHXvGiK18kM,195299,197524,"so he really wanted to visit the Shiba Inu Cafe,"
EHXvGiK18kM,197550,204788,"and at a hat store we visited, they had a hat with a very cute Shiba on it"
EHXvGiK18kM,204788,209340,"(TAEIL shows off his gift, ""TY bought it for me"") I got reminded of him and gave it to him, and he liked it"
EHXvGiK18kM,209341,212140,- so it was a meaningful gift - Nice
EHXvGiK18kM,212140,213588,Next news
EHXvGiK18kM,213588,218793,"(NCT DREAM ""Beatbox,"" successful promotion) Here's the news for NCT DREAM's 2nd repackage album, ""Beatbox"""
EHXvGiK18kM,218824,221805,"(""Beatbox"" challenge, very popular on social media) Before ""Beatbox"" came out, NCT DREAM"
EHXvGiK18kM,221805,226726,released various challenge videos they made myself through social media
EHXvGiK18kM,226739,231412,"Many people, including the fans, participated in the challenge"
