vid,start,end,text
Ej3hHQTAe28,280,11679,[Music]
Ej3hHQTAe28,11679,16480,if it's love without your name you can't
Ej3hHQTAe28,16480,22320,[Music]
Ej3hHQTAe28,22320,23600,and i know
Ej3hHQTAe28,23600,27160,it's been hard but you've made
Ej3hHQTAe28,27160,30219,[Applause]
Ej3hHQTAe28,30560,33559,up
Ej3hHQTAe28,34770,52560,[Music]
Ej3hHQTAe28,53760,56210,and i'm
Ej3hHQTAe28,56210,60340,[Music]
Ej3hHQTAe28,61359,64359,me
Ej3hHQTAe28,65420,75439,[Music]
Ej3hHQTAe28,75439,77830,is
Ej3hHQTAe28,77830,85650,[Music]
Ej3hHQTAe28,85650,88270,[Applause]
Ej3hHQTAe28,88270,120220,[Music]
Ej3hHQTAe28,125759,128759,i
Ej3hHQTAe28,130879,133120,but
Ej3hHQTAe28,133120,159168,[Music]
Ej3hHQTAe28,160800,163150,is
Ej3hHQTAe28,163150,201430,[Music]
Ej3hHQTAe28,202400,205400,so
Ej3hHQTAe28,205400,260560,[Music]
Ej3hHQTAe28,260560,262750,so
Ej3hHQTAe28,262750,286709,[Music]
Ej3hHQTAe28,287600,290600,so
Ej3hHQTAe28,290950,334079,[Music]
Ej3hHQTAe28,334080,337080,it
