vid,start,end,text
FZInslkr55M,7750,24560,[Music]
FZInslkr55M,24560,27560,you
FZInslkr55M,29670,44960,[Music]
FZInslkr55M,44960,47960,uh
FZInslkr55M,66690,100540,[Music]
FZInslkr55M,105840,108840,so
FZInslkr55M,120560,123070,so
FZInslkr55M,123070,150630,[Music]
FZInslkr55M,160560,163560,so
FZInslkr55M,191280,194280,so
FZInslkr55M,199260,210400,[Music]
FZInslkr55M,210400,213400,me
FZInslkr55M,234640,237640,well
FZInslkr55M,240570,254319,[Music]
FZInslkr55M,254319,256820,um
FZInslkr55M,256820,265409,[Music]
FZInslkr55M,267510,269320,[Music]
FZInslkr55M,269320,271520,[Applause]
FZInslkr55M,271520,276970,[Music]
FZInslkr55M,280520,335919,[Music]
FZInslkr55M,335919,337110,um
FZInslkr55M,337110,379399,[Music]
FZInslkr55M,379759,382260,um
FZInslkr55M,382260,392649,[Music]
FZInslkr55M,394160,396960,uh
FZInslkr55M,396960,402410,[Music]
FZInslkr55M,405970,449840,[Music]
FZInslkr55M,449840,450000,you
FZInslkr55M,450000,465860,[Music]
FZInslkr55M,466160,468440,um
FZInslkr55M,468440,472560,[Music]
FZInslkr55M,478870,494589,[Music]
FZInslkr55M,495280,498280,do
FZInslkr55M,501250,516080,[Music]
FZInslkr55M,516080,519080,uh
FZInslkr55M,537820,569180,[Music]
FZInslkr55M,569180,569970,[Applause]
FZInslkr55M,569970,574178,[Music]
FZInslkr55M,574800,576880,you
