vid,start,end,text
FkrTFpWESFE,0,2240,today i'm going undercover encourage ads
FkrTFpWESFE,2240,3919,fashion show but i have to make it past
FkrTFpWESFE,3919,6319,all five stages to win in round number
FkrTFpWESFE,6319,9519,one i want to see a cool skin combo with
FkrTFpWESFE,9519,11440,a cape now if you're watching at home
FkrTFpWESFE,11440,13519,cypher's gonna need to clear these five
FkrTFpWESFE,13519,16800,stages as well as win in the different
FkrTFpWESFE,16800,18960,fashion rounds so stay tuned i'm going
FkrTFpWESFE,18960,21520,to tell you the ending gets crazy as we
FkrTFpWESFE,21520,23199,get back into it players will have 30
FkrTFpWESFE,23199,25119,seconds right now
FkrTFpWESFE,25119,27359,okay
FkrTFpWESFE,28000,30160,i like i like this let's just let's
FkrTFpWESFE,30160,32398,focus on the paycats real quick 15
FkrTFpWESFE,32398,34960,seconds 15 seconds get moving we don't
FkrTFpWESFE,34960,36160,got all day
FkrTFpWESFE,36160,38640,all right let's begin round number one
FkrTFpWESFE,38640,40800,cape skins now look i feel like my combo
FkrTFpWESFE,40800,43120,looks good trying to flex the og even
FkrTFpWESFE,43120,45760,down to the llama pic oh the moon night
FkrTFpWESFE,45760,47680,skin that's kind of cool comes with an
FkrTFpWESFE,47680,49840,auto cape though kind of cringe but
FkrTFpWESFE,49840,52399,whatever whoa what skin is this
FkrTFpWESFE,52399,55120,bro wow i like that a lot baseball bat
FkrTFpWESFE,55120,56879,pretty cool
FkrTFpWESFE,56879,59199,okay i'll give you that aquaman with a
FkrTFpWESFE,59199,62960,superman cape find a cringe um oh the
FkrTFpWESFE,62960,64239,galaxy's kid that actually looks better
FkrTFpWESFE,64239,66799,than i thought hey bruh
FkrTFpWESFE,66799,69200,you're the worst i've seen
FkrTFpWESFE,69200,71840,all right up next marshmallow i like
FkrTFpWESFE,71840,73600,that oh that that pick with marshmallows
FkrTFpWESFE,73600,75040,actually really really cool
FkrTFpWESFE,75040,76720,that's actually really really cool
FkrTFpWESFE,76720,78240,um
FkrTFpWESFE,78240,80479,okay i like the color combination
FkrTFpWESFE,80479,82560,another good color combination that's it
FkrTFpWESFE,82560,84400,i got the best one bro
FkrTFpWESFE,84400,86640,does not match you whoa look at this
FkrTFpWESFE,86640,88159,raven fit that's actually kind of a cool
FkrTFpWESFE,88159,90000,fit i'll give you that doctor strange is
