vid,start,end,text
Fpc40dmPlVM,80,2639,i'm very excited for this next one
Fpc40dmPlVM,2639,4000,uh
Fpc40dmPlVM,4000,6240,someone that i absolutely adore is here
Fpc40dmPlVM,6240,7759,today
Fpc40dmPlVM,7759,9120,could you guys please give it up for
Fpc40dmPlVM,9120,12840,miss lily allen
Fpc40dmPlVM,25680,29439,today is a very very special day um this
Fpc40dmPlVM,29439,32160,is actually my first glastonbury and i'm
Fpc40dmPlVM,32160,34160,sharing the stage with lily which is the
Fpc40dmPlVM,34160,37520,biggest dream come true ever
Fpc40dmPlVM,40320,41680,but i'm also
Fpc40dmPlVM,41680,43600,equally as heartbroken over what
Fpc40dmPlVM,43600,46960,happened in america yesterday
Fpc40dmPlVM,47120,49600,the supreme court decided to overturn
Fpc40dmPlVM,49600,51440,roe v wade
Fpc40dmPlVM,51440,53920,which is a law that ensures a woman's
Fpc40dmPlVM,53920,56320,right to a safe abortion and other basic
Fpc40dmPlVM,56320,59640,human rights
Fpc40dmPlVM,61120,63199,and i'm
Fpc40dmPlVM,63199,64720,devastated
Fpc40dmPlVM,64720,66159,and terrified
Fpc40dmPlVM,66159,67840,and so many women and so many girls are
Fpc40dmPlVM,67840,69840,going to die because of this
Fpc40dmPlVM,69840,71040,and
Fpc40dmPlVM,71040,73280,i wanted to dedicate this next song to
Fpc40dmPlVM,73280,75680,the five members of the supreme court
Fpc40dmPlVM,75680,77439,who have showed us that
Fpc40dmPlVM,77439,78960,at the end of the day they truly don't
Fpc40dmPlVM,78960,82159,give a about freedom
Fpc40dmPlVM,84960,86240,ah
Fpc40dmPlVM,86240,88720,this song goes out to the justices
Fpc40dmPlVM,88720,90320,samuel alito
Fpc40dmPlVM,90320,92079,clarence thomas
Fpc40dmPlVM,92079,94960,neil gorsuch
Fpc40dmPlVM,95280,97840,amy colin barrett
Fpc40dmPlVM,97840,100000,and brett kavanaugh
Fpc40dmPlVM,100000,101759,we hate you
Fpc40dmPlVM,101759,105320,we hate you
Fpc40dmPlVM,109400,118330,[Applause]
Fpc40dmPlVM,118330,126799,[Music]
Fpc40dmPlVM,126799,128960,cause
Fpc40dmPlVM,134330,140480,[Music]
Fpc40dmPlVM,140480,143480,evil
Fpc40dmPlVM,147200,150200,is
Fpc40dmPlVM,151600,154840,[Music]
Fpc40dmPlVM,157990,161069,[Music]
Fpc40dmPlVM,166240,169649,[Music]
Fpc40dmPlVM,175120,178120,is
Fpc40dmPlVM,180640,187430,[Music]
Fpc40dmPlVM,192239,197239,well that's not how you find it
Fpc40dmPlVM,198000,200200,do you really enjoy
Fpc40dmPlVM,200200,214599,[Music]
Fpc40dmPlVM,223440,226440,please
Fpc40dmPlVM,227110,230179,[Music]
Fpc40dmPlVM,237519,239840,so
Fpc40dmPlVM,239840,242840,time
Fpc40dmPlVM,246030,257120,[Music]
Fpc40dmPlVM,257120,258799,you say
Fpc40dmPlVM,258799,261120,you think we need to go to war well
Fpc40dmPlVM,261120,263919,you're already in one cause there's
Fpc40dmPlVM,263919,268320,people like you the need to get slow no
Fpc40dmPlVM,268320,271440,one wants your
Fpc40dmPlVM,274470,277040,[Applause]
Fpc40dmPlVM,277040,280189,[Music]
Fpc40dmPlVM,281120,283320,you do opinion we
Fpc40dmPlVM,283320,288600,hate please don't stay inside
Fpc40dmPlVM,289250,292350,[Music]
Fpc40dmPlVM,302480,304000,[Music]
Fpc40dmPlVM,304000,306600,thank you so much
Fpc40dmPlVM,306600,309850,[Applause]
Fpc40dmPlVM,310160,313160,foreign
Fpc40dmPlVM,329840,333160,bye guys
Fpc40dmPlVM,339039,340800,wow i'm gonna cry remembering that
Fpc40dmPlVM,340800,342400,moment for the rest of my life thank you
Fpc40dmPlVM,342400,345400,lily
