vid,start,end,text
Gh-XKNuvvC4,160,6000,[Music]
Gh-XKNuvvC4,6000,14320,hey  it's me blippi  and it's night time and we're in a  parking lot there's so many stores
Gh-XKNuvvC4,14320,19439,wow look at this store  it's the kinderland indoor playground in
Gh-XKNuvvC4,19439,23359,las vegas nevada come on
Gh-XKNuvvC4,24800,30720,wow  this place is so colorful  before we play we need to take off our
Gh-XKNuvvC4,30720,37770,shoes  [Music]
Gh-XKNuvvC4,39040,46480,all right one two two  [Music]  now we're ready to play
Gh-XKNuvvC4,47180,51520,[Music]
Gh-XKNuvvC4,56559,63440,whoa look at this  hello
Gh-XKNuvvC4,63440,67360,whoa i'm in a little house
Gh-XKNuvvC4,68880,77600,it's a yellow ball watch this  [Music]
Gh-XKNuvvC4,77600,84960,and a blue ball  [Music]
Gh-XKNuvvC4,84960,91439,a green ball  [Music]
Gh-XKNuvvC4,91439,97520,a red ball  [Music]
Gh-XKNuvvC4,97520,112109,and an orange ball  [Music]
Gh-XKNuvvC4,114640,120560,oh  look over here  yeah it's a ball pit
Gh-XKNuvvC4,120560,126349,i'm going to jump inside  [Music]
Gh-XKNuvvC4,126640,132080,whoa so many colored walls  [Music]  whoa
Gh-XKNuvvC4,132080,138400,what is this  it's a dinosaur and this is a  pterodactyl
Gh-XKNuvvC4,138400,141400,listen
Gh-XKNuvvC4,149660,155680,[Music]
Gh-XKNuvvC4,155680,162599,this is another dinosaur and this is a  tyrannosaurus rex
Gh-XKNuvvC4,165500,168620,[Music]
Gh-XKNuvvC4,171680,176079,i like tyrannosaurus rexes bye-bye
Gh-XKNuvvC4,177519,183599,whoa  [Music]  oh  look
Gh-XKNuvvC4,183599,188959,this  is a stegosaurus  let's act like a stegosaurus together
Gh-XKNuvvC4,188959,196999,okay ready  [Music]
Gh-XKNuvvC4,205830,208979,[Music]
Gh-XKNuvvC4,211100,218319,[Music]  wow  so many colorful balls
Gh-XKNuvvC4,218319,231558,let's keep playing  [Music]
Gh-XKNuvvC4,231840,239850,whoa  look  this is a police car lindsen vincent wow
Gh-XKNuvvC4,239850,245040,[Applause]  look  it's a garbage truck
Gh-XKNuvvC4,245040,247599,wow
Gh-XKNuvvC4,250319,257919,i love garbage day and garbage trucks  [Music]
Gh-XKNuvvC4,257919,262560,this is a giant cement mixer
Gh-XKNuvvC4,264240,268440,look you spin this right here
Gh-XKNuvvC4,274000,280360,look a fire truck  gotta put out the fire
Gh-XKNuvvC4,292000,297840,[Music]  a vacuum
Gh-XKNuvvC4,308880,318080,all right nice and clean  whoa  look at this giant orange spiked ball
Gh-XKNuvvC4,318080,326400,wow  [Music]
Gh-XKNuvvC4,326400,333600,look at this  it's a blue ball  whoa whoa
Gh-XKNuvvC4,333600,338960,whoa  [Music]  this  is a small
Gh-XKNuvvC4,338960,348520,orange and blue spiked ball  whoa  [Music]
Gh-XKNuvvC4,348520,353000,whoa look at this
Gh-XKNuvvC4,354240,359520,oh  come on
Gh-XKNuvvC4,362720,369140,look a slide  all right here i go
Gh-XKNuvvC4,369140,377758,[Music]  whoa  that slide was so much fun
Gh-XKNuvvC4,378800,385100,it's so colorful  i'm gonna climb to the top
Gh-XKNuvvC4,385100,397339,[Music]
Gh-XKNuvvC4,400479,408680,now it's time to get down  [Music]  what's this over here
Gh-XKNuvvC4,410400,416080,hello are you hungry  yeah i'm really hungry i went shopping
Gh-XKNuvvC4,416080,423039,earlier  look at all of these fruits and  vegetables  yum let's see what we're gonna cook
Gh-XKNuvvC4,423039,429599,together  oh look hey  gotta put out the dishes first
Gh-XKNuvvC4,429599,433319,the plate and the bowl
Gh-XKNuvvC4,436560,443199,oh look at this  i cooked you some spaghetti  all right yum
Gh-XKNuvvC4,443199,447000,let's season it
Gh-XKNuvvC4,453680,460800,yum  there you go  oh and you know what else i have  do you like pizza
Gh-XKNuvvC4,460800,468240,yeah  okay  look at this  yum that looks so tasty
Gh-XKNuvvC4,468240,475918,all right  let's take the spatula  cut the pizza out
Gh-XKNuvvC4,476720,481919,look at that piece of pizza for you  all right  perfect
Gh-XKNuvvC4,481919,486960,there you go  oh it's so hot just came out of the oven
Gh-XKNuvvC4,486960,493360,oh to make it even hotter we should put  some hot sauce on it
Gh-XKNuvvC4,493360,499010,but before we put some hot sauce let's  try it out
Gh-XKNuvvC4,499010,502320,[Music]
Gh-XKNuvvC4,510480,513679,[Applause]
Gh-XKNuvvC4,517760,524959,look at these come here  [Music]  this has wheels on the bottom
Gh-XKNuvvC4,524959,529160,i'm gonna let it roll
Gh-XKNuvvC4,530460,536560,[Music]  that looks awesome
Gh-XKNuvvC4,536560,544240,oh here's another one  i wonder what would happen if i wrote it  all right here we
Gh-XKNuvvC4,545670,551519,[Music]  that was so much go  oh here's another one
Gh-XKNuvvC4,551519,557000,all right  here we go get ready
Gh-XKNuvvC4,560000,565120,[Music]  yeah
Gh-XKNuvvC4,565120,572160,look at this structure come on  [Music]
Gh-XKNuvvC4,572160,580000,look at these steps they're so colorful  this is the color black  this is a new color whoa
Gh-XKNuvvC4,580000,586320,this is maroon  this color is the color pink
Gh-XKNuvvC4,586320,592399,blue  green purple
Gh-XKNuvvC4,592800,600920,red  and gray
Gh-XKNuvvC4,601320,606480,[Music]  look at this
Gh-XKNuvvC4,606480,613079,wow  it's a slide okay  here i go
Gh-XKNuvvC4,623460,629510,[Applause]  [Music]
Gh-XKNuvvC4,632000,638240,watch this  i'll do that again  [Music]
Gh-XKNuvvC4,638240,642640,all right  i'm gonna throw really hard
Gh-XKNuvvC4,644480,649680,it bounced off the wall  and hit me in the face
Gh-XKNuvvC4,653390,659600,[Music]
Gh-XKNuvvC4,659600,666480,hello  whoa look at this yellow net  whoa
Gh-XKNuvvC4,666480,674640,and look at what it is over here  wow it's a giant red slide
Gh-XKNuvvC4,674640,679680,whoa  hey and look at what's in the way
Gh-XKNuvvC4,679760,684880,whoa  that's a lot of big soft blocks
Gh-XKNuvvC4,684880,690160,it's time to go but they're in the way  hmm
