vid,start,end,text
GhqSX6z6Osg,900,5772,(man singing) (cars whooshing)
GhqSX6z6Osg,9175,14180,"♪ I left my girl, I'm in Mallorca ♪"
GhqSX6z6Osg,15382,18318,"♪ Hate to leave her, call it torture ♪"
GhqSX6z6Osg,18318,21688,"- So two days out, I get only more excited."
GhqSX6z6Osg,21688,24858,I've been doing this for the last 11 years of my life.
GhqSX6z6Osg,24858,28828,"I think Gilbert's prepared very well to face a challenge,"
GhqSX6z6Osg,28828,31331,and I also think that Chimaev has prepared very well.
GhqSX6z6Osg,31331,33133,Let's see if the size matters or not.
GhqSX6z6Osg,33133,34968,"He needs to prove that to Gilbert,"
GhqSX6z6Osg,34968,37102,and Gilbert needs to prove it to Chimaev.
GhqSX6z6Osg,37103,40607,"♪ Grown ups in between, children and babies ♪"
GhqSX6z6Osg,40607,42107,"- This fight, it's different"
GhqSX6z6Osg,42108,44244,"because we don't have a lot of things about Khamzat,"
GhqSX6z6Osg,45745,49416,"but one thing we can tell, they can fight everywhere,"
GhqSX6z6Osg,49416,53420,"so we are prepared for wrestling, jiu-jitsu, and striking."
GhqSX6z6Osg,55488,57156,This fight will be a mind game.
GhqSX6z6Osg,61895,63196,"- [Man] Couple of beers with the boys, eh?"
GhqSX6z6Osg,63196,64597,- [Man 2] Yeah.
GhqSX6z6Osg,64597,66099,- [Man] We got the after-party sorted and that stuff.
GhqSX6z6Osg,66099,69669,"- Let's do it, let's do a couple of rounds."
GhqSX6z6Osg,71938,74207,(Alexander grunting)
GhqSX6z6Osg,74207,75909,- We hit the pads for a little while there.
GhqSX6z6Osg,75909,77776,"Not too much, just to break the sweat"
GhqSX6z6Osg,77777,79012,and get his body temperature up.
GhqSX6z6Osg,79012,80213,"Now that his body temperatures up,"
GhqSX6z6Osg,80213,82248,we're just sitting in the sauna blanket.
GhqSX6z6Osg,82248,83817,So we're just maintaining that sweat.
GhqSX6z6Osg,83817,85452,"We'll do that for about 30 minutes or so,"
GhqSX6z6Osg,85452,87087,and we'll get a good few kilos.
GhqSX6z6Osg,87087,89021,"Volk's a really, really heavy sweater."
GhqSX6z6Osg,89022,89923,- Is that covered?
GhqSX6z6Osg,91391,92424,"- And then we'll wake up, get a good night's sleep,"
GhqSX6z6Osg,92425,93927,"lose some overnight, wake up,"
GhqSX6z6Osg,93927,95328,"and we'll have a really easy little cut in the morning,"
GhqSX6z6Osg,95328,97530,and then we'll be good to go.
GhqSX6z6Osg,97530,99866,"- [Photographer] All right, ready, one, two, three."
GhqSX6z6Osg,101301,104137,"Don't worry, Joe, I'll Photoshop Craig in right next to you."
GhqSX6z6Osg,107140,109843,(birds chirping)
GhqSX6z6Osg,111277,114347,(audience murmuring)
GhqSX6z6Osg,120820,121855,"- All right, thank y'all for being here"
GhqSX6z6Osg,121855,123389,for the official weigh-ins
GhqSX6z6Osg,123389,126426,"for ""UFC 273, Volkanovski versus The Korean Zombie,"""
GhqSX6z6Osg,126426,128695,and we will begin with the man
GhqSX6z6Osg,128695,131030,around whom this fight card was built.
GhqSX6z6Osg,131030,133800,"The undisputed UFC Featherweight Champion,"
GhqSX6z6Osg,133800,136536,Alexander The Great Volkanovski.
GhqSX6z6Osg,144744,146412,- [Man] 144 1/2.
GhqSX6z6Osg,146412,148348,"- [Jon] Official weight, 144 1/2"
GhqSX6z6Osg,148348,150683,"for the champion, Alexander Volkanovski."
GhqSX6z6Osg,153586,156890,"Next man to weigh in is the featherweight title challenger,"
GhqSX6z6Osg,156890,158658,"the fourth-ranked contender in the world,"
GhqSX6z6Osg,158658,161528,"The Korean Zombie, Chan Sung Jung."
GhqSX6z6Osg,162795,165965,(audience chattering)
GhqSX6z6Osg,174374,176342,- [Man] 144 1/2.
GhqSX6z6Osg,176342,180280,"- [Jon] 144 1/2 for The Korean Zombie, Chan Sung Jung."
GhqSX6z6Osg,180280,183750,Your UFC featherweight championship main event is official.
