vid,start,end,text
Gna6_TDJS7A,10309,13309,а
Gna6_TDJS7A,15139,18139,пока
Gna6_TDJS7A,22789,25789,нам
Gna6_TDJS7A,27830,31550,сказали по
Gna6_TDJS7A,33770,36770,радио
Gna6_TDJS7A,78140,81140,.
Gna6_TDJS7A,86340,89009,а потом рога на марту пойду на море
Gna6_TDJS7A,89009,91969,потратили гематрия
Gna6_TDJS7A,95689,97710,именно мой пуделек
Gna6_TDJS7A,97710,99920,ди бартини артур кого-то
Gna6_TDJS7A,99920,104179,там радиатор цирковые
Gna6_TDJS7A,107030,110159,мидером непуганый народ еды нам надо и
Gna6_TDJS7A,110159,112009,нам класс реки марта по
Gna6_TDJS7A,112009,115200,не барина мара энди нам где страна renew
Gna6_TDJS7A,115200,118218,our tergan
Gna6_TDJS7A,122659,126569,не потом и не герц идут на морю посреди
Gna6_TDJS7A,126569,129170,тематике
Gna6_TDJS7A,138269,139830,туманова
Gna6_TDJS7A,139830,142480,по номеру 5-ти углеродному queen
Gna6_TDJS7A,142480,144640,энгельса к нам альфе лидеры коммуны а
Gna6_TDJS7A,144640,146530,потом под все ураганом натренируете
Gna6_TDJS7A,146530,148650,дельта дэ великим только то
Gna6_TDJS7A,148650,152950,именно mugenni на карте таргариена и
Gna6_TDJS7A,152950,154769,леди янамари
Gna6_TDJS7A,154769,157950,индию реке турка
Gna6_TDJS7A,157950,160780,и mediarouter на арене втопили не до
Gna6_TDJS7A,160780,164160,миэрином 10 вечера
Gna6_TDJS7A,164160,167319,или или во мрак каскадер данном ролике
Gna6_TDJS7A,167319,169530,только то нам
Gna6_TDJS7A,169530,173400,именно враги ляп или красивому
Gna6_TDJS7A,173400,178319,рекорд цель на улицу деко ариэль и
Gna6_TDJS7A,180269,183750,работаете рога кого
Gna6_TDJS7A,183750,186750,когда
Gna6_TDJS7A,189959,192959,когда
Gna6_TDJS7A,210060,211829,мы
Gna6_TDJS7A,211829,214829,и
Gna6_TDJS7A,239040,242040,проиграли
Gna6_TDJS7A,250360,255459,[музыка]
Gna6_TDJS7A,280540,285520,[смех]
Gna6_TDJS7A,286440,289440,алена
