vid,start,end,text
H1NaC1ScocM,320,2159,yeah this is totally gonna work and be
H1NaC1ScocM,2159,4550,awesome time to make a better rainbow
H1NaC1ScocM,4550,6799,[Music]
H1NaC1ScocM,6799,9440,yes it worked i'm a genius
H1NaC1ScocM,9440,12000,whoa good job what if we could do it
H1NaC1ScocM,12000,14240,with even more markers
H1NaC1ScocM,14240,16720,ha so many of them what kind of rainbow
H1NaC1ScocM,16720,19279,could we make
H1NaC1ScocM,19279,21119,are you sure that's gonna be safe
H1NaC1ScocM,21119,23040,there's no safety or not my boy
H1NaC1ScocM,23040,24320,[Music]
H1NaC1ScocM,24320,26640,here we go let's see what we've got who
H1NaC1ScocM,26640,29439,says rainbows only need to be an arg
H1NaC1ScocM,29439,31599,i'll just go over here and then sweep up
H1NaC1ScocM,31599,32960,here
H1NaC1ScocM,32960,34640,and now to head over to this side of the
H1NaC1ScocM,34640,35180,paper
H1NaC1ScocM,35180,40399,[Music]
H1NaC1ScocM,40399,42000,and then to bring it back together where
H1NaC1ScocM,42000,45160,i started
H1NaC1ScocM,45280,46879,whoa
H1NaC1ScocM,46879,49840,done take a look at the finished project
H1NaC1ScocM,49840,51760,it looks kind of like a bird
H1NaC1ScocM,51760,54000,[Music]
H1NaC1ScocM,54000,57000,wow
