vid,start,end,text
H6VVIoYwY8c,960,3439,you pushing and you're pushing and
H6VVIoYwY8c,3439,5279,you're pushing and you're pushing and
H6VVIoYwY8c,5279,6990,you're doing everything right
H6VVIoYwY8c,6990,10169,[Music]
H6VVIoYwY8c,11440,13200,i'm not coach right now i'm your
H6VVIoYwY8c,13200,14960,conscience
H6VVIoYwY8c,14960,16880,you're in a fight between
H6VVIoYwY8c,16880,19680,will and skill
H6VVIoYwY8c,19680,22480,i say will first because that's where
H6VVIoYwY8c,22480,24800,you are
H6VVIoYwY8c,24800,27119,you locked and loaded with skill you
H6VVIoYwY8c,27119,29199,practicing every day you put in your
H6VVIoYwY8c,29199,30800,work you're buying everything you're
H6VVIoYwY8c,30800,32719,making an investment you're living your
H6VVIoYwY8c,32719,34480,dream you're walking like your dream
H6VVIoYwY8c,34480,36000,you're surrounding yourself around your
H6VVIoYwY8c,36000,37840,dream you got mentors everything you put
H6VVIoYwY8c,37840,39920,in your working you got your skill now
H6VVIoYwY8c,39920,43960,it's a test of your will
H6VVIoYwY8c,44640,47360,it's a mindset thing you in right now
H6VVIoYwY8c,47360,49120,it's a mindset thing
H6VVIoYwY8c,49120,51520,because your challenge your challenge
H6VVIoYwY8c,51520,53440,ain't moving your mountain it's not
H6VVIoYwY8c,53440,55039,moving you don't feel like you're making
H6VVIoYwY8c,55039,56719,any progress you're not physically
H6VVIoYwY8c,56719,58079,moving when you see everything else
H6VVIoYwY8c,58079,59359,around you and other people around you
H6VVIoYwY8c,59359,61760,moving you not making progress you're in
H6VVIoYwY8c,61760,63760,the test of your will right now because
H6VVIoYwY8c,63760,66400,life says it has a little more test for
H6VVIoYwY8c,66400,68350,you
H6VVIoYwY8c,68350,70840,[Music]
H6VVIoYwY8c,70840,72799,you
H6VVIoYwY8c,72799,75040,can look at your challenge
H6VVIoYwY8c,75040,76799,with skill
H6VVIoYwY8c,76799,80560,and it will see it just as that
H6VVIoYwY8c,80799,82960,a challenge
H6VVIoYwY8c,82960,84400,where you can look
H6VVIoYwY8c,84400,86560,at your challenge
H6VVIoYwY8c,86560,88960,with will
H6VVIoYwY8c,88960,92079,and see it as much
H6VVIoYwY8c,92159,94479,understand this and listen to me clearly
H6VVIoYwY8c,94479,96400,you may forget this face you may forget
