vid,start,end,text
HhM0BYCHL00,1040,11730,I said that I was gonna start this vlog
HhM0BYCHL00,11730,15719,a lot earlier but I slept with stormy
HhM0BYCHL00,15719,18119,last night she woke me up at 6:00
HhM0BYCHL00,18119,22080,wouldn't stop crying it wasn't it wasn't
HhM0BYCHL00,22080,23820,the time to grab my camera and start
HhM0BYCHL00,23820,28109,filming stormy is back asleep I'm about
HhM0BYCHL00,28109,32850,to take a shower brush my teeth I have a
HhM0BYCHL00,32850,36510,long day today and I'll tell you guys
HhM0BYCHL00,36510,38460,about it after we show okay so I just
HhM0BYCHL00,38460,41250,took a shower wash my face I have a
HhM0BYCHL00,41250,43050,really long day today so I'm doing a
HhM0BYCHL00,43050,44910,bunch of meetings I have like a cosmetic
HhM0BYCHL00,44910,48270,meeting a skin meeting I gotta meet with
HhM0BYCHL00,48270,51059,my mom my business manager I want to
HhM0BYCHL00,51059,53340,show you guys my office I can't wait for
HhM0BYCHL00,53340,55910,that also it's Arielle's birthday
HhM0BYCHL00,55910,58890,Arielle is my makeup artist slash friend
HhM0BYCHL00,58890,62910,and I am surprising him with a birthday
HhM0BYCHL00,62910,64559,dinner because he said he wasn't doing
HhM0BYCHL00,64559,65729,anything for his birthday I love
HhM0BYCHL00,65729,69090,birthdays my phone is going off see this
HhM0BYCHL00,69090,71130,is when the day starts I'm getting text
HhM0BYCHL00,71130,73170,messages Kim we have a family group shot
HhM0BYCHL00,73170,76979,my mom and lovely John who you will meet
HhM0BYCHL00,76979,77250,today
HhM0BYCHL00,77250,79530,okay so stay tuned we got a busy day I'm
HhM0BYCHL00,79530,81119,not really gonna film glam because it's
HhM0BYCHL00,81119,83880,not that exciting very quick breakfast
HhM0BYCHL00,83880,87450,and then get into it okay I'm in the
HhM0BYCHL00,87450,90930,middle of glam but I'm gonna wake stormy
HhM0BYCHL00,90930,93150,up because she's got to go to the farm
HhM0BYCHL00,93150,96079,and they're good
HhM0BYCHL00,99730,105250,right now she is sooner
HhM0BYCHL00,105250,108700,did you have a good thing laugh
HhM0BYCHL00,108700,110140,are you gonna meet me at the office
HhM0BYCHL00,110140,118290,today yes hi you what your glasses I
HhM0BYCHL00,118290,121630,feel like I could wear and make all
HhM0BYCHL00,121630,123659,these little custom t-shirts for her
HhM0BYCHL00,123659,127600,this little talentless t-shirt do we
HhM0BYCHL00,127600,130200,think white biker shorts guys are black
HhM0BYCHL00,130200,132700,I'm gonna do black sand she's going to
HhM0BYCHL00,132700,135819,the farm I love you I'm gonna finish
HhM0BYCHL00,135819,162190,getting ready to okay so now I'm gonna
HhM0BYCHL00,162190,163090,go get dressed
HhM0BYCHL00,163090,169540,turn the camera around because Brian my
HhM0BYCHL00,169540,173200,fitting room right now I might wear one
HhM0BYCHL00,173200,176320,of these three dresses tonight I want to
HhM0BYCHL00,176320,178000,or something pink because my whole
HhM0BYCHL00,178000,181180,office is like black and pink I love
HhM0BYCHL00,181180,185260,this Alexander Wang pink jacket with the
