vid,start,end,text
HjZ4POvk14c,140,1912,- Just a little more. (clock ticking)
HjZ4POvk14c,1912,3750,(bell rings) Now!
HjZ4POvk14c,3750,5760,"We are finally ready,"
HjZ4POvk14c,5760,8380,"to fully explore the hardware of the Steam Deck,"
HjZ4POvk14c,8380,10460,"that includes thermals, battery life,"
HjZ4POvk14c,10460,11800,"and even performance,"
HjZ4POvk14c,11800,13780,in an assortment of Valve-approved titles
HjZ4POvk14c,13780,16859,"that range from, this is a great experience, to,"
HjZ4POvk14c,16859,18550,(vinyl record scratches) I am really surprised
HjZ4POvk14c,18550,20279,they wanted us to talk about this.
HjZ4POvk14c,20280,22470,I could not be more excited.
HjZ4POvk14c,22470,25539,The seeds of the Steam Deck were planted over a decade ago
HjZ4POvk14c,25540,28180,with the announcement of Steam Big Picture mode.
HjZ4POvk14c,28180,30290,"I love that this page is still out by the way, you guys."
HjZ4POvk14c,30290,32500,"And with all the innovations packed into it,"
HjZ4POvk14c,32500,34030,"whether you realize it yet or not,"
HjZ4POvk14c,34030,35770,"you are looking at what is arguably,"
HjZ4POvk14c,35770,39540,"the most innovative gaming PC in 20 years,"
HjZ4POvk14c,39540,41110,more maybe.
HjZ4POvk14c,41110,44150,"Now, a lot of the secret sauce is software,"
HjZ4POvk14c,44150,47150,"but given its current rough edges,"
HjZ4POvk14c,47150,48250,"we're not gonna be showing that,"
HjZ4POvk14c,48250,50680,"until Valve lifts a separate embargo,"
HjZ4POvk14c,50680,54200,but there is still a lot to jump into here.
HjZ4POvk14c,54200,56770,"Starting with this message from our sponsor,"
HjZ4POvk14c,56770,59050,"Project Killswitch,"
HjZ4POvk14c,59050,60870,"very punny name, dbrand, by the way."
HjZ4POvk14c,60870,61969,But there's nothing punny
HjZ4POvk14c,61970,64830,about dbrand's upcoming case for the Steam Deck.
HjZ4POvk14c,64830,67330,It kinda looks like their grip phone cases
HjZ4POvk14c,67330,70190,"and their horrible attitude had a baby,"
HjZ4POvk14c,70190,72170,and then gave it a cheesy name.
HjZ4POvk14c,72170,74897,You can check out the teaser page at the link down below.
HjZ4POvk14c,74898,78148,(bright electro music)
HjZ4POvk14c,83970,86330,"While I can assume that most of you have watched,"
HjZ4POvk14c,86330,88570,"our previous Steam Deck coverage leading up 'til now,"
HjZ4POvk14c,88570,90740,I can't assume that you remember all the details.
HjZ4POvk14c,90740,92509,So let's blitz through the basics.
HjZ4POvk14c,92510,95950,"Three configs with identical key specs, varied storage,"
HjZ4POvk14c,95950,98009,and aggressive console-like prices
HjZ4POvk14c,98010,101930,"that Valve CEO, Gabe Newell, described as painful to hit."
HjZ4POvk14c,101930,104360,"The highlights are the custom AMD SoC,"
HjZ4POvk14c,104360,106340,"featuring four Zen 2 processing cores,"
HjZ4POvk14c,106340,109969,"and RDNA 2 graphics, mobile DDR5 memory,"
HjZ4POvk14c,109970,111520,"and what essentially amounts to,"
HjZ4POvk14c,111520,113259,"an integrated Steam controller,"
HjZ4POvk14c,113260,117330,"giving gamers a whopping five Z inputs per side,"
HjZ4POvk14c,117330,119320,"including the joystick clicks,"
HjZ4POvk14c,119320,120760,and re-mappable rear paddles
HjZ4POvk14c,120760,124520,"that are, in my opinion, perfectly tuned to be easy to press"
HjZ4POvk14c,124520,127180,but nearly impossible to accidentally mash.
HjZ4POvk14c,127180,130350,"In games, you're gonna have the choice between analog sticks"
HjZ4POvk14c,130350,135010,"a D-pad, a haptically enhanced dual touch pad thing,"
HjZ4POvk14c,135010,137400,and even onboard gyro controls
HjZ4POvk14c,137400,139920,that by default are activated by placing a finger
HjZ4POvk14c,139920,142670,on the capacitive surface of the right joystick.
HjZ4POvk14c,142670,145040,It is an impressive arsenal of input options
HjZ4POvk14c,145040,147200,that promises to make everything from shooters
HjZ4POvk14c,147200,149290,"to mouse dependent games, like Civ,"
HjZ4POvk14c,149290,151689,enjoyable with a little bit of kajiggering.
HjZ4POvk14c,151690,154450,"Of course, promises mean nothing"
HjZ4POvk14c,154450,156209,if the hardware doesn't live up to the hype.
HjZ4POvk14c,156210,158510,And I want to start with the controller.
HjZ4POvk14c,158510,160250,"Since my rushed hands-on,"
HjZ4POvk14c,160250,162420,"and my initial unboxing on Short Circuit,"
HjZ4POvk14c,162420,164930,I have logged hours of gaming time on the Steam Deck.
HjZ4POvk14c,164930,169500,And while I can reach every button comfortably
HjZ4POvk14c,169500,171810,"from a neutral, relaxed position,"
HjZ4POvk14c,171810,175270,I do find a number of them a little awkward to use.
HjZ4POvk14c,175270,177040,"And I don't really know how to describe this,"
HjZ4POvk14c,177040,177872,"other than to say,"
HjZ4POvk14c,177873,180830,it's kind of like spooning someone taller than you.
HjZ4POvk14c,180830,182110,"Cuddling is fine,"
HjZ4POvk14c,182110,184430,"but don't try and do anything too ambitious,"
HjZ4POvk14c,184430,186549,or you might strain a muscle.
HjZ4POvk14c,186550,187870,"If you have larger hands,"
HjZ4POvk14c,187870,189409,"you might not share these concerns,"
HjZ4POvk14c,189410,192610,"but my wife and I both had similar issues,"
HjZ4POvk14c,192610,194520,albeit with different buttons.
HjZ4POvk14c,194520,195500,"For example,"
HjZ4POvk14c,195500,197800,I struggled to reach the shoulders
HjZ4POvk14c,197800,200020,without shifting my grip a little.
HjZ4POvk14c,200020,203410,"And she found the ABXY was a little bit awkward for her,"
HjZ4POvk14c,203410,204730,but Jake had no issues at all.
