vid,start,end,text
Hq6DYJ4wvw0,10640,13120,se le cae la mony si lo muevo asi
Hq6DYJ4wvw0,13120,15639,no t ponga meloso cuando hablas de mi 
Hq6DYJ4wvw0,15960,17640,le chorrea la baba con mi tolkin yit 
Hq6DYJ4wvw0,18520,20920,no t pongas pesado t clavo los grillz
Hq6DYJ4wvw0,20920,22120,"dirty pleassure, "
Hq6DYJ4wvw0,22120,23520,pa k opinen
Hq6DYJ4wvw0,23520,26200,hacen cuentas falsas con mi cara en tinder
Hq6DYJ4wvw0,26200,27480,fashion diller
Hq6DYJ4wvw0,27480,28680,no termine
Hq6DYJ4wvw0,28960,29599,no los trago
Hq6DYJ4wvw0,29600,31480,los mastico cmo un chikle 
Hq6DYJ4wvw0,31480,32840,"dirty pleassure, "
Hq6DYJ4wvw0,32840,34080,pa k opinen
Hq6DYJ4wvw0,34200,36840,hacen cuentas falsas con mi cara en tinder  
Hq6DYJ4wvw0,36840,38080,fashion diller
Hq6DYJ4wvw0,38080,39480,no termine
Hq6DYJ4wvw0,39640,40239,no los trago
Hq6DYJ4wvw0,40240,42079,los mastico cmo un chikle 
Hq6DYJ4wvw0,42079,43160,fashon like asap 
Hq6DYJ4wvw0,43160,44600,ella e mi rihanna
Hq6DYJ4wvw0,44600,46000,Me busca la prensa 
Hq6DYJ4wvw0,46000,47320,me llama la fama
Hq6DYJ4wvw0,47320,49800,Hago que esas bad bitch se vuelvan beliebers
Hq6DYJ4wvw0,49800,51040,No vendo mi style 
Hq6DYJ4wvw0,51040,52320,aunque soy un fashion diller
Hq6DYJ4wvw0,52320,53920,Oh ma gad a gat the hoes
Hq6DYJ4wvw0,53920,56359,Podria comprarme un roll rolls con dos show
Hq6DYJ4wvw0,56360,57640,Siempre blowing up 
Hq6DYJ4wvw0,57640,59040,baby quiere un blowjob
Hq6DYJ4wvw0,59040,61160,Oh fuck siempre me paso de nasty 
Hq6DYJ4wvw0,61160,64080,el oufit me queda fit aunque no soy un maxsteel
Hq6DYJ4wvw0,64680,65840,gasto mis bills
Hq6DYJ4wvw0,65840,67320,en ropa y en cheese
Hq6DYJ4wvw0,67320,68200,no tengo un plan 
Hq6DYJ4wvw0,68200,70039,no t voy a mentir
Hq6DYJ4wvw0,70040,71120,"me sale asi, "
Hq6DYJ4wvw0,71120,72520,natural shi
Hq6DYJ4wvw0,72520,73560,"billie the girl, "
Hq6DYJ4wvw0,73560,75320,ya lo saben a milli
Hq6DYJ4wvw0,75920,76720,pay day
Hq6DYJ4wvw0,76720,79280,idgaf if today is not ma birthday
Hq6DYJ4wvw0,79280,81880,salgo perfuma' pero siempre huelo a verde 
Hq6DYJ4wvw0,81880,84680,vivo en un desfile exhibo lo q no se vende
Hq6DYJ4wvw0,84680,86320,"los k saben, saben k soy tu "
Hq6DYJ4wvw0,86320,87520,dirty pleassure 
Hq6DYJ4wvw0,87520,88759,pa k opinen
Hq6DYJ4wvw0,88760,91520,hacen cuentas falsas con mi cara en tinder  
Hq6DYJ4wvw0,91520,92840,fashion diller
Hq6DYJ4wvw0,92840,94039,no termine
Hq6DYJ4wvw0,94040,94960,no los trago
Hq6DYJ4wvw0,94960,96920,los mastico cmo un chikle
Hq6DYJ4wvw0,96920,98119,dirty pleassure 
Hq6DYJ4wvw0,98120,99480,pa k opinen
Hq6DYJ4wvw0,99480,102160,hacen cuentas falsas con mi cara en tinder  
Hq6DYJ4wvw0,102160,103440,fashion diller
Hq6DYJ4wvw0,103440,104760,no termine
Hq6DYJ4wvw0,104760,107600,no los trago los mastico como un chikle
Hq6DYJ4wvw0,108200,110920,To los fines de semana breaking shop
Hq6DYJ4wvw0,110920,113520,Explotau de balenciaga el vestidor
Hq6DYJ4wvw0,113520,115359,Ese custom de designer
Hq6DYJ4wvw0,115360,116240,Me lo puse yo
Hq6DYJ4wvw0,116240,118640,Me lo critico y después lo compró
Hq6DYJ4wvw0,118640,121520,To los fines de semana breaking shop
Hq6DYJ4wvw0,121520,124159,Explotau de balenciaga el vestidor
Hq6DYJ4wvw0,124160,126040,Ese custom de designer
Hq6DYJ4wvw0,126040,126760,Me lo puse yo
Hq6DYJ4wvw0,126760,128760,Me lo critico y después lo compro
Hq6DYJ4wvw0,129440,131760,se le cae la mony si lo muevo asi 
Hq6DYJ4wvw0,131800,134320,no t ponga meloso cuando hablas de mi 
Hq6DYJ4wvw0,134480,136920,le chorrea la baba con mi tolkin yit 
Hq6DYJ4wvw0,137320,139640,no t pongas pesado t clavo los grillz
Hq6DYJ4wvw0,139640,140800,dirty pleassure 
Hq6DYJ4wvw0,140800,142200,pa k opinen
Hq6DYJ4wvw0,142200,144840,hacen cuentas falsas con mi cara en tinder
Hq6DYJ4wvw0,144840,146160,fashion dillerr
Hq6DYJ4wvw0,146160,147440,no termine
Hq6DYJ4wvw0,147440,150200,no los trago los mastico cmo un chikle
Hq6DYJ4wvw0,150200,151560,dirty pleassure 
Hq6DYJ4wvw0,151560,152760,pa k opinen
Hq6DYJ4wvw0,152760,155480,hacen cuentas falsas con mi cara en tinder
Hq6DYJ4wvw0,155480,156760,fashion dillerr
Hq6DYJ4wvw0,156760,158040,no termine
Hq6DYJ4wvw0,158320,160600,no los trago los mastico cmo un chikle  
