vid,start,end,text
IRm_sSERdYo,0,1599,a portion of this video was sponsored by
IRm_sSERdYo,1599,2960,nitsa
IRm_sSERdYo,2960,4880,all right gang listen up we need a new
IRm_sSERdYo,4880,6720,video idea looking for something fun
IRm_sSERdYo,6720,8960,upbeat mainstream just a hint of
IRm_sSERdYo,8960,10880,nostalgia something that's
IRm_sSERdYo,10880,12559,appreciate the enthusiasm there yoshi
IRm_sSERdYo,12559,14320,but we already did a theory about you we
IRm_sSERdYo,14320,16160,need something fresh something hidden
IRm_sSERdYo,16160,18560,yoshi i told you we've already been over
IRm_sSERdYo,18560,19920,this you're related to a monologue
IRm_sSERdYo,19920,21560,asaurus and a story
IRm_sSERdYo,21560,23279,[Music]
IRm_sSERdYo,23279,26000,what a dragon coin can't seriously think
IRm_sSERdYo,26000,27760,that just because you're on something
IRm_sSERdYo,27760,29599,called a dragon coin it makes you a
IRm_sSERdYo,29599,32080,dragon
IRm_sSERdYo,33120,35600,okay fair point i guess i'll um take
IRm_sSERdYo,35600,38160,another look
IRm_sSERdYo,38960,42000,hello internet welcome to game theory
IRm_sSERdYo,42000,43520,the coolest place to learn about
IRm_sSERdYo,43520,45760,taxonomic classifications you know we've
IRm_sSERdYo,45760,47600,done our fair share of mario videos over
IRm_sSERdYo,47600,49440,the years character by character we've
IRm_sSERdYo,49440,51280,gone through the ranks to suss out their
IRm_sSERdYo,51280,54239,secrets is mario a sociopath is princess
IRm_sSERdYo,54239,57120,peach dead is bowser a deadbeat dad how
IRm_sSERdYo,57120,59280,much of a millionaire is luigi and just
IRm_sSERdYo,59280,61440,how well endowed is he let's just say
IRm_sSERdYo,61440,62719,that certain characters get more
IRm_sSERdYo,62719,64559,favorable coverage than others which
IRm_sSERdYo,64559,66799,brings me to the exciting topic for
IRm_sSERdYo,66799,69360,today's episode yoshi the sticky tongue
IRm_sSERdYo,69360,71200,devoid of death that's always ready to
IRm_sSERdYo,71200,72960,sacrifice his life so that you can get
IRm_sSERdYo,72960,75520,that much closer to once again missing
IRm_sSERdYo,75520,77439,the jump over the lava yoshi is such an
IRm_sSERdYo,77439,79119,iconic part of the mario series at this
IRm_sSERdYo,79119,80479,point that it only made sense to do a
IRm_sSERdYo,80479,82320,theory on him which is exactly what i
IRm_sSERdYo,82320,84720,did back in 2020. in that video i tried
IRm_sSERdYo,84720,86799,to figure out what yoshi actually is
IRm_sSERdYo,86799,88400,using prominent physical features like
IRm_sSERdYo,88400,90640,his face shape and this random red frill
IRm_sSERdYo,90640,92159,down his back all of it led me to
IRm_sSERdYo,92159,94079,determine that yoshi was most likely
IRm_sSERdYo,94079,95759,related to the monolofosaurus a
IRm_sSERdYo,95759,98320,medium-sized bipedal dinosaur that has
IRm_sSERdYo,98320,100079,the same round face shape the same
IRm_sSERdYo,100079,101680,height and lived in roughly the same
