vid,start,end,text
JIUxVga0Pjk,60,20800,[Music]
JIUxVga0Pjk,20800,23800,do
JIUxVga0Pjk,28140,38999,[Music]
JIUxVga0Pjk,41720,45420,[Music]
JIUxVga0Pjk,70400,71930,uh
JIUxVga0Pjk,71930,75029,[Music]
JIUxVga0Pjk,78810,81899,[Music]
JIUxVga0Pjk,91800,94879,[Music]
JIUxVga0Pjk,95920,98920,ten
JIUxVga0Pjk,104000,333970,[Music]
JIUxVga0Pjk,342960,345960,do
JIUxVga0Pjk,379040,382309,[Music]
JIUxVga0Pjk,414940,415380,[Music]
JIUxVga0Pjk,415380,418449,[Applause]
JIUxVga0Pjk,447710,466389,[Music]
JIUxVga0Pjk,469870,487150,[Music]
JIUxVga0Pjk,487150,490529,[Applause]
JIUxVga0Pjk,510120,524789,[Music]
JIUxVga0Pjk,527050,530179,[Music]
JIUxVga0Pjk,543040,590080,[Music]
JIUxVga0Pjk,590080,592160,you
