vid,start,end,text
KAQphEPzc8g,180,7009,[Music]
KAQphEPzc8g,11200,14000,hold me close till i get up
KAQphEPzc8g,14000,17400,thumb is
KAQphEPzc8g,20190,24670,[Music]
KAQphEPzc8g,24720,29640,and love is all we'll ever trust
KAQphEPzc8g,32430,35579,[Music]
KAQphEPzc8g,40510,42559,[Music]
KAQphEPzc8g,42559,45559,sunrays
KAQphEPzc8g,82880,86880,finding life along the way melodies we
KAQphEPzc8g,86880,89360,haven't played
KAQphEPzc8g,89360,93840,no i don't want to rest
KAQphEPzc8g,93840,97200,like going around these walls fighting
KAQphEPzc8g,97200,100110,to create a song
KAQphEPzc8g,100110,107430,[Music]
KAQphEPzc8g,109700,112779,[Music]
KAQphEPzc8g,112880,116280,to my shadows
KAQphEPzc8g,120230,123790,[Music]
KAQphEPzc8g,150900,153999,[Applause]
KAQphEPzc8g,154840,159599,horizon turn us to thousands
KAQphEPzc8g,159599,164360,and we'll grow in numbers
KAQphEPzc8g,170050,172810,[Applause]
KAQphEPzc8g,172810,187300,[Music]
KAQphEPzc8g,190159,192840,and
KAQphEPzc8g,192840,198400,[Music]
KAQphEPzc8g,198400,202000,would you stay till the morning light oh
KAQphEPzc8g,202000,204000,would you follow me
KAQphEPzc8g,204000,206480,or would you let it be
KAQphEPzc8g,206480,212599,if i leave tonight we could do this
KAQphEPzc8g,222870,224840,[Music]
KAQphEPzc8g,224840,229200,away before you make up your mind that
KAQphEPzc8g,229200,232879,i'm nowhere to find i'm standing right
KAQphEPzc8g,232879,235120,here
KAQphEPzc8g,235120,238480,i know that i told you
KAQphEPzc8g,238480,241640,i swear
KAQphEPzc8g,242600,252000,[Music]
KAQphEPzc8g,252000,255799,that you miss me
KAQphEPzc8g,256320,258320,would you follow me
KAQphEPzc8g,258320,260799,or would you let it be
KAQphEPzc8g,260799,266919,if i leave tonight we could do this
KAQphEPzc8g,267080,293199,[Music]
KAQphEPzc8g,293199,295440,i'm just afraid of
KAQphEPzc8g,295440,297280,being alone
KAQphEPzc8g,297280,300479,well i don't care cause right now i feel
KAQphEPzc8g,300479,304160,the love that we said we would burn
KAQphEPzc8g,304160,307600,oh i know that you feel it too
KAQphEPzc8g,307600,310100,i know that i
KAQphEPzc8g,310100,316379,[Music]
KAQphEPzc8g,316479,321400,and i know that i said all these things
KAQphEPzc8g,321400,328800,[Music]
KAQphEPzc8g,328800,332918,would you follow me
KAQphEPzc8g,334010,346840,[Music]
KAQphEPzc8g,346880,348880,would you follow me
KAQphEPzc8g,348880,351360,or would you let it be
KAQphEPzc8g,351360,354800,if i leave tonight we could do this
KAQphEPzc8g,354800,357919,right we'll find the remedy
KAQphEPzc8g,357919,362360,oh would you stay with me
