vid,start,end,text
KMue2KcwAC4,3269,5437,"(Keith): Ah! I can't! - Come on, Keith!"
KMue2KcwAC4,5471,7173,You got this. - I can't hold on!
KMue2KcwAC4,7206,8674,Give me your hand! Keith! - I can't hold on!
KMue2KcwAC4,8707,10276,"Come on, Keith! - I'm too afraid!"
KMue2KcwAC4,10309,12478,"- Take my hand, Keith! No, no! - I'm too afraid!"
KMue2KcwAC4,12511,15648,(screaming) (Zach): No!
KMue2KcwAC4,15681,17417,- Ah.
KMue2KcwAC4,17450,19419,"- Okay, see you up there? - I'm gonna take the stairs."
KMue2KcwAC4,19452,21320,"- Okay, bye. - Yeah."
KMue2KcwAC4,21353,23189," (Zach): We're the Try Guys,  and we absolutely"
KMue2KcwAC4,23222,24590, love the Olympics.
KMue2KcwAC4,24623,27460,"(Eugene): The competition,  the drama..."
KMue2KcwAC4,27493,30329, (Keith): The glory!  We can't get enough of it!
KMue2KcwAC4,30362,32498," (Eugene): But to be honest,  there's a lot we don't know."
KMue2KcwAC4,32530,35400, (Zach): So we want to become  the ultimate Olympic experts
KMue2KcwAC4,35434,37370, the best way we know how...
KMue2KcwAC4,37403,38371, by trying!
KMue2KcwAC4,38404,42375,(Keith): As we find out  How to Olympics.
KMue2KcwAC4,44777,46779,"- Today, we are sport climbing,"
KMue2KcwAC4,46812,47847,which is a sport...
KMue2KcwAC4,47880,49449,- ...where you climb. - Uh-huh!
KMue2KcwAC4,49482,52118,- But I am afraid of heights... - Yes.
KMue2KcwAC4,52151,54220,- So today is a little concerning for me.
KMue2KcwAC4,54253,57589,I can only assume I'll mostly scream.
KMue2KcwAC4,57623,61427,"(indistinct shouting, screaming)"
KMue2KcwAC4,61460,63362,"(Zach): Wow, is that Tom Cruise in Mission Impossible?"
KMue2KcwAC4,63395,64296,- Wow!
KMue2KcwAC4,64330,66232,(dramatic music)
KMue2KcwAC4,73472,74874,"(Zach): Wow, look at this monkey man."
KMue2KcwAC4,74907,75841,(Keith): Wow.
KMue2KcwAC4,75875,77243,"- Wow, he's just going."
KMue2KcwAC4,77276,79479,(dramatic music continues)
KMue2KcwAC4,81614,83649,"(Zach): Oh, whoa! Did you see that?"
KMue2KcwAC4,83682,85418,- Did he just jump with his arms?
KMue2KcwAC4,85451,86551,- He just swung!
KMue2KcwAC4,86585,88187,"And then, how're you gonna get down?"
KMue2KcwAC4,88220,89689,(Keith): Ah! (Zach): Oh!
KMue2KcwAC4,89722,91390,(both): Josh Levin!
KMue2KcwAC4,91423,93493,(Keith): Professional sports climber! Wow!
KMue2KcwAC4,95294,96596,- How's it going? - It's good!
KMue2KcwAC4,96629,99198,"So you're an expert, you're gonna teach us today."
KMue2KcwAC4,99231,101267,"So, do you think today,"
KMue2KcwAC4,101300,104237,you'll be able to turn us novices into pros?
KMue2KcwAC4,104870,106539,- Depends on your definition of pro.
KMue2KcwAC4,106572,107507,- Okay!
KMue2KcwAC4,107540,109909,- What is sport climbing?
KMue2KcwAC4,109942,112845,- Sport climbing is the competitive element of climbing.
KMue2KcwAC4,112878,115147,"In the Olympics, there'll be three different events"
KMue2KcwAC4,115181,117450,"and the disciplines will be speed climbing,"
KMue2KcwAC4,117483,118518,"bouldering,"
KMue2KcwAC4,118551,119585,and lead climbing.
KMue2KcwAC4,119618,120920,"And in the Olympics,"
KMue2KcwAC4,120953,122889,the idea is that you'll have to do all three
KMue2KcwAC4,122922,124356,to see who's gonna win
KMue2KcwAC4,124390,126526,the first Olympic climbing gold medal.
KMue2KcwAC4,126559,128828,"- Wow, cool! - Wow, this is the first one!"
KMue2KcwAC4,128860,131364,"So this is really, really big and worth watching."
KMue2KcwAC4,131397,132932,As it's never happened before. - Absolutely.
KMue2KcwAC4,132965,136536,- Do you think you could beat a monkey?
KMue2KcwAC4,136569,137637,- No.
KMue2KcwAC4,137670,139539,- What's even the point?
KMue2KcwAC4,139572,141507,Why do you like doing this?
KMue2KcwAC4,141540,143776,"- Climbing, for me, has always been super instinctual."
KMue2KcwAC4,143809,145845,"So, when I was little, three or four years old,"
KMue2KcwAC4,145878,147813,"I was climbing on tops of bookshelves and tabletops,"
KMue2KcwAC4,147846,149482,"and all sorts of different elements,"
KMue2KcwAC4,149515,152385,and the great thing about it is that you don't need
KMue2KcwAC4,152418,153586,anything to tell you how to climb.
KMue2KcwAC4,153619,155521,It's just part of human DNA.
KMue2KcwAC4,155554,158858,"So, just like other kids liked to run or jump or swim, I loved to climb."
KMue2KcwAC4,158891,161527,- We do need you to tell us how to climb. - We need you to teach us.
KMue2KcwAC4,161560,163563,- I've been competing since I was seven years old.
KMue2KcwAC4,163596,165463,And some of my major accomplishments in the sport
KMue2KcwAC4,165497,167700,"have been winning 19 national championship titles,"
KMue2KcwAC4,167733,169769,"the bronze medal at the Youth World Championships,"
KMue2KcwAC4,169802,171804,"and also, I used to be the former"
KMue2KcwAC4,171837,173673,American record holder in speed climbing.
KMue2KcwAC4,173706,175708,- Okay. You're qualified to teach us.
KMue2KcwAC4,175741,177642,- Yeah. - You passed.
KMue2KcwAC4,177676,179579,"So, what is the history of sports climbing?"
KMue2KcwAC4,179612,181548,(narrator): I can help  with that!
KMue2KcwAC4,183682,185885,While people have been climbing  rocks since...
KMue2KcwAC4,185918,189655," well, the beginning  of people and rocks,"
KMue2KcwAC4,189688,191424, climbing for sport
KMue2KcwAC4,191457,194827, became popular with  the mountaineers  of the early 1900s.
KMue2KcwAC4,194860,196729," They loved climbing so much,"
KMue2KcwAC4,196762,199799, they built the world's first  artificial climbing wall
KMue2KcwAC4,199832,203569," in 1939, made of stone  and concrete."
KMue2KcwAC4,203602,207573," By the 1950s, some climbers  in France and the UK"
KMue2KcwAC4,207606,210309," were skipping the trip  to the mountains altogether,"
KMue2KcwAC4,210342,212678, and building adjustable wooden  climbing walls.
KMue2KcwAC4,212711,214580," Merci, mates, merci!"
KMue2KcwAC4,214613,217617," As sport climbing grew  in popularity,"
KMue2KcwAC4,217650,222254, one of the first international  climbing competitions happened  in 1985
KMue2KcwAC4,222288,226258," near Turin, Italy, in an event  called Sport Roccia."
KMue2KcwAC4,226292,227727, It was such a smashing success
KMue2KcwAC4,227760,231030," that almost 10,000 people  showed up the follow year."
KMue2KcwAC4,231063,234967," By the 1990s, climbing events  had become so popular"
KMue2KcwAC4,235000,238938," that World Cup organizers  decided, ""No more real rocks."""
KMue2KcwAC4,238971,241306, Competitions would only  take place
KMue2KcwAC4,241340,242907, on artificial climbing walls
KMue2KcwAC4,242941,245011, to help avoid damage  to the rock's surface
KMue2KcwAC4,245044,247913, and preserve the surrounding  environment.
KMue2KcwAC4,247946,249915," In 1998,"
KMue2KcwAC4,249948,252551," speed climbing was introduced  at the World Cup,"
KMue2KcwAC4,252584,254787,followed by boulder a year later
KMue2KcwAC4,254820,256989, and athletes with  physical disabilities
KMue2KcwAC4,257022,259292, joined the action in 2006.
KMue2KcwAC4,259325,263829," The sport was a big hit  when it debuted at  the Youth Olympic Games,"
KMue2KcwAC4,263862,265965," Buenos Aires, 2018."
KMue2KcwAC4,265998,270603," And now, sport climbing will make its official Olympic debut  in Tokyo,"
KMue2KcwAC4,270636,273638,"with a combined format of speed,  boulder"
KMue2KcwAC4,273672,278578, and lead climbing deciding  who brings home the gold  for the very first time.
KMue2KcwAC4,281714,284750,"- So, if we want to learn a little more about climbing technique,"
KMue2KcwAC4,284783,287853,"one of the most important parts about climbing, in general,"
KMue2KcwAC4,287886,289689,"and thinking about the physics of climbing,"
KMue2KcwAC4,289722,291656,is understanding how to navigate
KMue2KcwAC4,291690,293726,"and manipulate your centre of gravity,"
KMue2KcwAC4,293759,295494,which is right at your hips.
KMue2KcwAC4,295527,297763,"- Your hips don't lie. - Right, exactly."
KMue2KcwAC4,297796,300966,"So, understanding how you can move your hips on the wall"
KMue2KcwAC4,300999,302435,to make it such that
KMue2KcwAC4,302468,304603,you're using as little energy as possible
KMue2KcwAC4,304636,306405,to move yourself from one hold to the next.
KMue2KcwAC4,306438,307840,- I feel like I'm in kindergarten.
KMue2KcwAC4,307873,309375,"I'm having a great time. - Yeah, that's perfect!"
KMue2KcwAC4,309408,310943,- Friendship and smiling! (chuckling)
KMue2KcwAC4,310976,312845,"- So, for example,"
KMue2KcwAC4,312878,314513,"if I'm reaching up with my left hand,"
KMue2KcwAC4,314546,316382,which hip do I want to have into the wall?
KMue2KcwAC4,316415,317450,- The left one! - Left.
KMue2KcwAC4,317483,318718,- The left hip. So watch this.
KMue2KcwAC4,318751,320519,(Keith): You're gonna go... - Turn my left hip
KMue2KcwAC4,320552,322822,while keeping this arm straight. Into the wall.
KMue2KcwAC4,322855,323956,And reach up.
KMue2KcwAC4,323989,324957,Exactly. - Like that!
KMue2KcwAC4,324990,326492,"- Yes! - Oh yeah, that's easy!"
KMue2KcwAC4,326525,327693,- There you go! - That's easy!
KMue2KcwAC4,327726,329362,- Nice! - Look at me!
KMue2KcwAC4,329395,331363,"- Alright, so the first discipline"
KMue2KcwAC4,331397,333866,of the three Olympic disciplines that we're gonna look at today
KMue2KcwAC4,333899,335435,is speed climbing.
KMue2KcwAC4,337002,337836,(sharp exhale)
KMue2KcwAC4,337870,341774,(automated voice): Ready. (beeping)
KMue2KcwAC4,341807,343943,"(Zach): Oh, my God."
KMue2KcwAC4,343976,345644,(Keith): He's flying! He's so fast!
KMue2KcwAC4,345677,348013,"(Zach): No, no, no, no! (Keith): He's so fast!"
KMue2KcwAC4,348046,350582,"(Zach): Wow. Wow, wow! Wow!"
KMue2KcwAC4,350616,352952,(cheering)
KMue2KcwAC4,352985,354887,(Keith): Awesome. (Zach): It was about 7-something.
KMue2KcwAC4,354920,356055,- That's what I was going for.
KMue2KcwAC4,356088,356889,- That was good!
KMue2KcwAC4,356922,358591,(exhaling loudly)
KMue2KcwAC4,358624,360091,- Speed climbing is very anaerobic.
KMue2KcwAC4,360125,361761,"So, you're holding your breath, like, the entire way."
KMue2KcwAC4,361794,363729,- Oh! Why is that?
KMue2KcwAC4,363762,365698,- Because it's so fast that...
KMue2KcwAC4,365731,368466,"if you were stopping to breathe, you're not going fast enough."
KMue2KcwAC4,368500,370169,- No k-- (laughter)
KMue2KcwAC4,370202,372538,"- Generally, the people who are gonna be in the Olympic Games"
KMue2KcwAC4,372571,374840,will be under 10 seconds... - Oh!
KMue2KcwAC4,374873,378543,- And the world record right now is 5.48 seconds.
KMue2KcwAC4,378577,379845,(both): No. (Josh): Yes.
KMue2KcwAC4,379878,381479,(both): No. (Josh): Total.
KMue2KcwAC4,381513,383516,"And the idea is that you're racing someone else,"
KMue2KcwAC4,383549,384984,"first person to the top wins, that's it."
KMue2KcwAC4,385017,386519,"- Oh, my God."
KMue2KcwAC4,386552,387853,This is it. - This is our training.
