vid,start,end,text
KTDDyfskfrU,719,4399,hey guys um
KTDDyfskfrU,14320,21119,okay so elliot oh my god  i can't talk
KTDDyfskfrU,23260,28560,[Music]  my mom
KTDDyfskfrU,28560,30960,okay
KTDDyfskfrU,43600,48800,yeah we're gonna get like balloons  and stuff like that  a lot of stuff we're gonna be eating
KTDDyfskfrU,48800,54079,cookies  yes my family
KTDDyfskfrU,54079,60640,welcome my beautiful  mother how do you feel oh i feel so good
KTDDyfskfrU,60640,66000,you can't wait i can't wait  i can't wait to see her
KTDDyfskfrU,66000,73400,it's exciting yeah nikoi process that's  so  crazy so
KTDDyfskfrU,75310,81040,[Music]  yeah  here's to the good days
KTDDyfskfrU,81040,87280,here's to the sorrows  if this is a mistake  i know about tomorrow
KTDDyfskfrU,87280,95280,i don't wanna fight no more cause i  don't really need no more no  just wanna make it stop
KTDDyfskfrU,95439,103759,maybe it's something in the water  or maybe we just hit the end of the road
KTDDyfskfrU,103759,111119,right now it doesn't even matter  it's too late not to let it go
KTDDyfskfrU,111119,117840,and that's  why wish you the best to say goodbye
KTDDyfskfrU,117840,126000,you start to get dressed and then we cry  cause we both know it's gonna hurt
KTDDyfskfrU,126000,129200,but notice what justice
KTDDyfskfrU,157680,160920,who is that
KTDDyfskfrU,165780,170209,[Laughter]
KTDDyfskfrU,175440,178920,no way
KTDDyfskfrU,191680,197239,give me your strength and show me your  weakness
KTDDyfskfrU,198319,204959,we're in this together now  we're in this together now
KTDDyfskfrU,204959,211440,give me your love and tell me your  secrets  [Music]
KTDDyfskfrU,211440,216780,cause we're in this together now  yeah we're in this together
KTDDyfskfrU,216780,231599,[Music]
KTDDyfskfrU,231599,238400,i'll keep you safe i'll give you my  everything  [Music]
KTDDyfskfrU,238400,245040,even if we're falling down  even if we're falling down
KTDDyfskfrU,245040,250560,all of me is yours every part of me
KTDDyfskfrU,251439,256810,cause we're in this together  you and me together
KTDDyfskfrU,256810,264719,[Music]
KTDDyfskfrU,290240,293240,is
KTDDyfskfrU,322800,325800,wow
KTDDyfskfrU,349240,352509,[Music]
KTDDyfskfrU,364840,371360,mom do i have so many questions for her  like how does she do  like like how was the whole
KTDDyfskfrU,371360,373520,thing
KTDDyfskfrU,376800,382240,yeah come on  like what's your first impression like
KTDDyfskfrU,382560,388680,your first impression yeah she could  have look at the road it's already
KTDDyfskfrU,405840,410639,oh thank you you're so nice i don't know  if it's still cold
KTDDyfskfrU,415200,423319,[Applause]  i'm going to get a bible
KTDDyfskfrU,490800,493800,oh
KTDDyfskfrU,564920,567970,[Music]
KTDDyfskfrU,573200,580920,me  oh
KTDDyfskfrU,590560,594929,yes  [Music]
KTDDyfskfrU,598870,601970,[Music]
KTDDyfskfrU,604000,607159,[Music]
KTDDyfskfrU,612260,617639,[Music]
KTDDyfskfrU,625519,628519,surprised
KTDDyfskfrU,631790,636399,[Applause]  [Music]
KTDDyfskfrU,636830,643130,[Applause]
KTDDyfskfrU,647440,654980,wow  [Applause]
KTDDyfskfrU,657130,665839,[Applause]
KTDDyfskfrU,665839,668839,okay
KTDDyfskfrU,686399,689399,okay
KTDDyfskfrU,691520,694700,[Applause]
KTDDyfskfrU,697990,701190,[Applause]
KTDDyfskfrU,712690,718669,[Music]
KTDDyfskfrU,718959,722519,come on with the pictures
KTDDyfskfrU,746580,750059,[Applause]
KTDDyfskfrU,761600,765079,your best friends
KTDDyfskfrU,819040,822040,yes
KTDDyfskfrU,829940,843500,[Music]
KTDDyfskfrU,855120,861629,hey  [Music]
KTDDyfskfrU,878140,885140,[Music]
KTDDyfskfrU,895040,898040,is
KTDDyfskfrU,929910,932980,[Music]
KTDDyfskfrU,938040,941130,[Applause]
KTDDyfskfrU,951340,954529,[Applause]
KTDDyfskfrU,979199,982199,oh
KTDDyfskfrU,992560,999959,thank you  [Music]
KTDDyfskfrU,1009360,1016470,[Applause]  [Music]
KTDDyfskfrU,1020079,1023079,okay
KTDDyfskfrU,1026459,1032969,[Applause]  [Music]
KTDDyfskfrU,1035760,1039720,oh rose is here
KTDDyfskfrU,1055870,1059040,[Applause]
KTDDyfskfrU,1062720,1065720,okay
KTDDyfskfrU,1073679,1076679,okay
KTDDyfskfrU,1081679,1084679,is
KTDDyfskfrU,1100450,1103539,[Applause]
KTDDyfskfrU,1106559,1109559,okay
KTDDyfskfrU,1156160,1159160,yes
KTDDyfskfrU,1165450,1172760,[Applause]  thank you
KTDDyfskfrU,1204400,1211480,he did  oh
KTDDyfskfrU,1231840,1234840,oh
KTDDyfskfrU,1242400,1249240,it's nice right yeah it's nice i like  how you did it with the cupcakes again
KTDDyfskfrU,1256600,1259830,[Music]
KTDDyfskfrU,1275280,1281508,um  [Music]
KTDDyfskfrU,1300430,1305159,[Music]  is
KTDDyfskfrU,1324950,1332849,[Music]
KTDDyfskfrU,1337360,1340760,i'm so happy
KTDDyfskfrU,1352000,1358700,is  [Music]
KTDDyfskfrU,1367840,1370840,oh
KTDDyfskfrU,1408440,1411559,[Applause]
KTDDyfskfrU,1429790,1432869,[Applause]
KTDDyfskfrU,1456559,1459559,oh
KTDDyfskfrU,1467190,1472440,[Applause]  oh
KTDDyfskfrU,1479360,1482360,yes
KTDDyfskfrU,1486000,1492960,on me  yeah  no escaping from my mind but loki
KTDDyfskfrU,1493200,1500960,you know that you one of a kind wanna  show me  baby baby the things you could do with
KTDDyfskfrU,1506640,1513039,[Music]
KTDDyfskfrU,1513039,1519600,feels all right yeah  she's the real thing but she  cold-hearted like greenland church girl
KTDDyfskfrU,1519600,1529690,moving like a queen pen  [Music]
KTDDyfskfrU,1544150,1552799,[Music]
KTDDyfskfrU,1552799,1564470,fashionably laid on purpose all eyes on  [Music]
KTDDyfskfrU,1566400,1571600,we making the movie the things you and i  go through every time we link up
KTDDyfskfrU,1571600,1577760,it's a roller coaster where we make love  sometimes i don't really know where i  have you feels like someday you can flip
KTDDyfskfrU,1577760,1583120,us  she the real thing but she go harder  like greenland
KTDDyfskfrU,1583120,1593720,church girl moving like a queen pen  [Music]
KTDDyfskfrU,1595039,1602320,she said let me know when you ready for  me ready for me ready for me she said  let me know when you ready for me ready
KTDDyfskfrU,1602320,1607679,for me ready for me yeah baby do you  know if you're ready for me ready for me
KTDDyfskfrU,1607679,1612799,ready for me she said let me know when  you ready for me ready for me ready for
KTDDyfskfrU,1612799,1618240,me baby do you know if you're ready for  me ready for me ready for me she said
KTDDyfskfrU,1618240,1626360,let me know when you ready for me ready  for me ready for me yeah  yeah my thang
