vid,start,end,text
KcQFvlO4RQ8,1220,4279,[Applause]
KcQFvlO4RQ8,7400,9679,[Music]
KcQFvlO4RQ8,9679,11120,i'm courtney keller and you're watching
KcQFvlO4RQ8,11120,12410,shift
KcQFvlO4RQ8,12410,45929,[Music]
KcQFvlO4RQ8,48700,56640,[Music]
KcQFvlO4RQ8,56640,59840,why not
KcQFvlO4RQ8,60620,77910,[Music]
KcQFvlO4RQ8,79040,81300,we do
KcQFvlO4RQ8,81300,93849,[Music]
KcQFvlO4RQ8,95900,109860,[Music]
KcQFvlO4RQ8,112399,115119,watch me watch
KcQFvlO4RQ8,116710,169419,[Music]
KcQFvlO4RQ8,183700,186849,[Music]
KcQFvlO4RQ8,193120,196120,oh
KcQFvlO4RQ8,198810,211360,[Music]
KcQFvlO4RQ8,211360,214920,know when to click
KcQFvlO4RQ8,216650,258720,[Music]
KcQFvlO4RQ8,258720,261720,um
KcQFvlO4RQ8,265240,285840,[Music]
KcQFvlO4RQ8,285840,287840,right
KcQFvlO4RQ8,287840,315440,[Music]
KcQFvlO4RQ8,315440,319160,know when to click click
KcQFvlO4RQ8,320650,374078,[Music]
KcQFvlO4RQ8,374240,376560,she ain't mine but she looks fine gonna
KcQFvlO4RQ8,376560,378560,take some time i'm gonna make her mind
KcQFvlO4RQ8,378560,381840,gonna make
KcQFvlO4RQ8,382580,387979,[Music]
KcQFvlO4RQ8,388880,392800,do all i can do all i can
KcQFvlO4RQ8,392800,400759,[Music]
KcQFvlO4RQ8,405260,407199,[Music]
KcQFvlO4RQ8,407199,411720,she looks in my eyes
KcQFvlO4RQ8,416830,429680,[Music]
KcQFvlO4RQ8,429680,433270,i don't care it's a double dare i am
KcQFvlO4RQ8,433270,445440,[Music]
KcQFvlO4RQ8,445440,448440,time
KcQFvlO4RQ8,449950,458180,[Music]
KcQFvlO4RQ8,461360,464960,as she looks in my
KcQFvlO4RQ8,469680,472889,[Music]
KcQFvlO4RQ8,475120,479720,i've got to move now
