vid,start,end,text
KlFua-CaECo,140,7440,failure is a step to success falling  down is a step to success losing is a
KlFua-CaECo,7440,16590,step to success pain is a step to  success but quitting is not never give
KlFua-CaECo,16590,22350,up on what you really want to do this is
KlFua-CaECo,22350,29310,the instinct that says you've had enough  this is the instinct that says you've
KlFua-CaECo,29310,37710,given it your best shot you can you can  stand down you can back off you can take
KlFua-CaECo,37710,44250,a knee don't stop when you're tired  stop when you're done we are relentless
KlFua-CaECo,44250,51559,we are powerful we are forward thinkers  we are the generation of hard workers
KlFua-CaECo,51559,58800,innovators and creators and these are  the ones who network  never surrender and never quit on our
KlFua-CaECo,58800,63410,goals this is the instinct that says
KlFua-CaECo,68040,77010,do not listen to that instinct do not  listen that instinct is a liar and wants
KlFua-CaECo,77010,82590,to bring you down you don't judge a  person by where they stand in times of  comfort and convenience you judging by
KlFua-CaECo,82590,88980,where they stand in times of challenge  and controversy when you work for  something and give you a different type  of attachment to it the harder you work
KlFua-CaECo,88980,97080,the harder it is to surrender as long as  we're willing to put the work in we will  get there in the end as long as we never
KlFua-CaECo,97080,102510,quit they stomp on pretty mine so what's  the pretty in mind let's say it's day
KlFua-CaECo,102510,108540,one of a job interview we all know what  that feels like you have your clothes
KlFua-CaECo,108540,114450,laid out you got your [ __ ] food ready  to go in the morning  you've been prepared for weeks two weeks
KlFua-CaECo,114450,119820,a week and show up and you bring your  best self get the [ __ ] job merry
KlFua-CaECo,119820,126220,[ __ ] Christmas  all right that's a couple months  you start showing up to work a little
KlFua-CaECo,126220,131410,later you don't look as good your  clothes aren't [ __ ] laid out your
KlFua-CaECo,131410,137200,breakfast isn't ready your minds getting  softer we do that [ __ ] everything in
KlFua-CaECo,137200,144060,life we're new yours coming up guess  what don't have a [ __ ] quitting mind
KlFua-CaECo,144060,150040,repetition every day stay hard and if  you ain't got more heart than me if you
KlFua-CaECo,150040,155080,ain't been looking harder than me  if you ain't sacrifice more than me I'm
KlFua-CaECo,155080,161620,gonna destroy you and I'm not retreating  I'm not running  I don't care what they say on paper I
KlFua-CaECo,161620,168700,don't care how many games you want I  don't care if you say we outnumber we  live by this and we die by this we don't
KlFua-CaECo,168700,174280,retreat we don't run every man my  searches also the biggest battle you
KlFua-CaECo,174280,180760,will fight is with yourself this battle  will never go away it's a fight you will
KlFua-CaECo,180760,186489,have to battle for the rest of your life  you are the only person that can get
KlFua-CaECo,186489,192519,yourself back up but you're also the  only person that can lie down and allow
KlFua-CaECo,192519,197549,yourself to be defeated don't fail
KlFua-CaECo,197549,202640,yourself today
KlFua-CaECo,202640,208850,quitting is never an option don't fail  yourself today
KlFua-CaECo,208850,214430,is it so many of our limitations are  self-imposed mm-hmm you know and we sets
KlFua-CaECo,214430,222050,we set something up in our brain we  program our brain one way and that's our  limit and until we can get past that and
KlFua-CaECo,222050,227630,see what we're really made of and like  get uncomfortable and experience pain  you can't real you don't really don't
KlFua-CaECo,227630,233450,know what you're capable of when you  feel you've exhausted every option  remember you haven't if I could count
KlFua-CaECo,233450,239360,the amount of times I was told no though  I created the mentality in my head of  taking no as no not right now not no
KlFua-CaECo,239360,244640,this isn't for you if I had given up  after the first time I had said no I  wouldn't be here and so it just you know
KlFua-CaECo,244640,250040,not letting someone dictate your future  if you believe in something so strongly  and you want to do something so strongly
KlFua-CaECo,250040,256100,who's gonna tell you to not do it  there's never a failure unless you quit  so if you keep going there's not a
KlFua-CaECo,256100,262460,failure just keep changing and moving  the person with big dreams is more  powerful than the person with all the
KlFua-CaECo,262460,268430,facts but it's not so much about the  opposition and adversity that we face as  it is about the perspective that we have
KlFua-CaECo,268430,274669,about the opposition and adversity that  we face meaning perspective drives  performance every day of the week how do
KlFua-CaECo,274669,282020,you view what you do will always affect  how you do what you do don't stop when  you're tired stop when you are done once
KlFua-CaECo,282020,289040,a quitter always a quitter prove them  wrong you are relentless you will never
KlFua-CaECo,289040,295520,stop this isn't a game to you this is  life or death  people don't burn out because of what
KlFua-CaECo,295520,300800,they do people burn out because life  makes stuff forget why they do it  character supersedes talent every bit of
KlFua-CaECo,300800,307370,week no retreat no surrender  you never we die by this everyman my
KlFua-CaECo,307370,312569,searches on a soul at a certain point  don't let your actions betray your words  you are
KlFua-CaECo,312569,320490,not going to give up because of a little  pain you won't quit because of a bad  situation it isn't in your nature to
KlFua-CaECo,320490,328469,give up on this you don't stop in your  time you stop when you're done you stop
KlFua-CaECo,328469,337529,when you get the job done you finish  when you have done enough work to make  progress a little pain along the way is
KlFua-CaECo,337529,344429,your rite of passage  it is the battle scars of the successful  the marks of a warrior who succeed at
KlFua-CaECo,344429,351990,this adventure through life what will  your scars say about you how many
KlFua-CaECo,351990,358199,battles will you pull through to come  out the other side a winner come out the
KlFua-CaECo,358199,365279,other side and ultimate version of  yourself never give up on what you
KlFua-CaECo,365279,373309,really want to do and they'll say it's  not your fault
KlFua-CaECo,373860,386150,and they'll tell you it's okay to stop  it's okay to settle it's okay to give up
KlFua-CaECo,394980,411990,[Music]
KlFua-CaECo,411990,418259,and that is the instinct you need to  fight you need to push back to smash
KlFua-CaECo,418259,426690,into the ground do not take the easy way  out you think that successful people
KlFua-CaECo,426690,434690,have some lucky charm well let me tell  you something I woke up this morning I  couldn't find my [ __ ] lucky charm I
KlFua-CaECo,434690,441560,and other successful people wake up  every day doing the same thing fighting
KlFua-CaECo,441560,448889,fighting back against the distractions  the fears the doubts do not give up
KlFua-CaECo,448889,457440,based on instinct if you are forced to  stand down to retreat so that you can
KlFua-CaECo,457440,463009,rebuild Andrea tack so be it
KlFua-CaECo,463009,471080,and we learn over time we build into a  habit to spend more time having control
KlFua-CaECo,471080,476560,instead of more time  being out of control
KlFua-CaECo,476759,487009,it does matter but make that decision  based on logic not on the instinct of
KlFua-CaECo,487009,493159,surrender and defeat opposition
KlFua-CaECo,493159,499499,adversity challenge never forget why you  do what you do I'm not talking about
KlFua-CaECo,499499,505680,college I'm not talking about when you  first got to the lead and you got  drafted I'm talking about you is coming
KlFua-CaECo,505680,513149,up using the street or use at the paw  and your mom had to go sacrifice and
KlFua-CaECo,513149,518459,work so you get your pair clean and  talking about that bite is everybody on
KlFua-CaECo,518459,525060,remember that your will and desire to  win are greater than anybody else's I
KlFua-CaECo,525060,531360,know you are aware of how bad you want  this  I know you are aware of what you would
KlFua-CaECo,531360,538410,give to succeed I know you want this I  know it is all you want I know what you
KlFua-CaECo,538410,545550,would give for this so do it show it  prove it  show the world kill them that anything
KlFua-CaECo,545550,552690,you can dream up can become your reality  success is getting back up and learning
KlFua-CaECo,552690,558389,from these Falls learning from the pain  and the losses success lies and getting
KlFua-CaECo,558389,566069,back to your feet and trying again  how does a young kid with its Liam and I  believe in himself and for many times I
KlFua-CaECo,566069,571110,laughed I did not believe the input you  know what nothing external can can can
KlFua-CaECo,571110,576300,defeat the internal the only girl that  can take someone down or break you down  as internal nothing external is strong
KlFua-CaECo,576300,583260,enough it's just about making sure your  internal dialogue in your internal  belief and just have a strong enough  that it can withstand the external the
KlFua-CaECo,583260,590860,external is there you've got to accept  it you've got to embrace it you've got  to understand that and be aware  but don't let it seep into into your
KlFua-CaECo,590860,602139,internal dialogue don't fail yourself  today for most people man you could be
KlFua-CaECo,602139,607529,great but you haven't even pulled a  strip off the activator right like you  can be great but you live alone reserved
KlFua-CaECo,607529,613000,right you didn't you didn't empty the  bucket right you didn't give everything  you had to every aspect of your life
KlFua-CaECo,613000,619839,like for most people they're great  professionally but they end up becoming  a public success and behind closed doors
KlFua-CaECo,619839,626199,they're private failure not because they  don't have the talent or the skill set  they don't have the character right that
KlFua-CaECo,626199,631510,they can apply it and be consistent in  every aspect of their life and empty out
KlFua-CaECo,631510,639070,everything they got to everything right  of course you don't just give everything  you've got all the time right you get to
KlFua-CaECo,639070,644139,a point to where you learn to be  efficient and effective in every aspect
KlFua-CaECo,644139,650620,of your life and for most people is not  a problem of skill set that's a problem  with character and empty the bucket is
KlFua-CaECo,650620,656800,having the right character to be  consistent and empty out everything you  got in every aspect of your life
KlFua-CaECo,656800,662360,[Music]  there was a lot of moments in my life
KlFua-CaECo,662360,668720,career it was people that saw things in  me that I couldn't see in myself and  they believed in me in a way that I
KlFua-CaECo,668720,675150,couldn't believe in myself yet and I  rented their level but for me it's how I  got strong enough to possess my own I
KlFua-CaECo,675150,681080,[Music]  just like when you're young and see you  and it's like even when you start out
KlFua-CaECo,681080,688040,doing what you do it you can be talented  right and somebody older than you are  more experienced than you can see you in
KlFua-CaECo,688040,694280,know like oh man if he did this if he  does this and he could be great right
KlFua-CaECo,694280,701540,and they can come to your sake they came  and got something you could be great by  it like my teachers and my coaches when
KlFua-CaECo,701540,707750,they came to me and like son telling you  to go to college man like you really I  know you're talking about it but your
KlFua-CaECo,707750,714710,circumstances are saying different I  think you can do it right and when they  said it I'm like oh I can I can do it
KlFua-CaECo,714710,720490,but not gonna make it happen because  they're believing in me making it happen  I think I can do it
KlFua-CaECo,720490,728750,like I think we show you think that's  powerful  I think exposure sparks inspiration by
KlFua-CaECo,728750,735980,exposure its parts motivation and my  mindset can never go back to the way
KlFua-CaECo,735980,741530,that it once was because I have been  exposed to something different to
KlFua-CaECo,741530,746750,something new so I think belief an  exposure or two of the most powerful
KlFua-CaECo,746750,753050,things that can happen to a person like  when you're young or when you do
KlFua-CaECo,753050,758720,something in your novels right and you  start out doing it and you might think  you can do something with it or you
KlFua-CaECo,758720,766820,might not you might do it and it's being  driven by your passion and then somebody
KlFua-CaECo,766820,774080,comes alone that's a little bit older or  even more experienced and they can see  it in a way that you can't see it right
KlFua-CaECo,774080,780110,and so I think is important with belief  because if a person believes in you in a  way that you don't believe in yourself
KlFua-CaECo,780110,785920,you can rent that person's belief until  you get strong enough to possess your  own
KlFua-CaECo,785929,792209,right and you use that person's belief  to feel you every single day right  because you can have a level of belief
KlFua-CaECo,792209,798809,with what you're doing but you can go  back to a certain set of circumstances  that tell you now it's not gonna happen
KlFua-CaECo,798809,807389,and so you read that person's belief  until you get strong enough to possess  your own I firmly believe every person's
KlFua-CaECo,807389,812879,purpose is tied to somebody else's  purpose in destiny and so your purpose
KlFua-CaECo,812879,818100,my purpose is tied to somebody else like  when I speak when I do what I do like
KlFua-CaECo,818100,824850,people say all it may man I really need  to be here that right that helped me do  this that helped get me through this
KlFua-CaECo,824850,830639,that helped me with this that's my  purpose being tied to other people's
KlFua-CaECo,830639,836970,purpose destiny beliefs and dreams  that's the power magic of purpose right  I don't think it can be a purpose
KlFua-CaECo,836970,844470,without being tied to other people's  purpose destiny dreams and aspirations  right I think that's the power in it but
KlFua-CaECo,844470,851429,realizing it is another thing the only  thing I felt I had that advantage in my
KlFua-CaECo,851429,857489,whole life was my work ethic and I took  pride in that right I was never the  biggest the fastest the strongest
KlFua-CaECo,857489,863249,never had the most resources but I had a  workout thing I think what's most
KlFua-CaECo,863249,869879,important is when we go through  something what's the perspective that we  have up right because for most people
KlFua-CaECo,869879,876660,when you go through something the  person's natural perspective is okay  what did I lose right what happened to
KlFua-CaECo,876660,883980,me like I took a loss right people never  look at it and say okay man tell me what  did you gain right even though I know it
KlFua-CaECo,883980,890039,hurt you didn't want to go through it  but look at it in a way to where you can  say what's the lesson than this right
KlFua-CaECo,890039,896959,what would you say life is trying to  teach you from dealing with this  and affirm you believe the quicker you
KlFua-CaECo,896959,903680,can shift your perspective from yourself  to others when you're in the midst of  adversity the quicker you'll get through
KlFua-CaECo,903680,905709,it
KlFua-CaECo,909380,916010,I think I think having a purpose it's
KlFua-CaECo,916010,921290,that thing that that makes us tick that  gets us up every day and gets us over
KlFua-CaECo,921290,928880,the hump of opposition and adversity and  a reason that I champion adversity in  opposition is because I think for the
KlFua-CaECo,928880,936050,most part in life people pretty much  know what to do when things go right  right like when things go right they
KlFua-CaECo,936050,944270,know how to feel they know how to act  how to react but it's when that  opposition and that versity comes and it
KlFua-CaECo,944270,951620,creates a level of misunderstanding  right now the vision is blurred now you  don't have clarity about what you're
KlFua-CaECo,951620,957260,supposed to do now you question if your  existence matters and I think when you
KlFua-CaECo,957260,962360,have a purpose it's powerful because in  the midst of the Opposition it makes you
KlFua-CaECo,962360,968740,realize that you've been put here for  certain reason  [Music]
KlFua-CaECo,968740,975880,this too shall pass right the reason I  would say that is like I said I champion
KlFua-CaECo,975880,982630,diversity all right we know what to do  when things go right but the next time  it gets tough the next time you question
KlFua-CaECo,982630,988390,your purpose the next time you question  your existence your mission if you're
KlFua-CaECo,988390,993400,supposed to be doing what you're doing  and it gets tough and challenging just
KlFua-CaECo,993400,1000450,whisper to yourself this too shall pass  this too shall pass if you actually want
KlFua-CaECo,1000450,1010110,something you can have it you have to
KlFua-CaECo,1010110,1015990,treat yourself like you matter because  if you don't then you don't take care of  yourself and you become vengeful and and
KlFua-CaECo,1015990,1023040,and cruel and you you take you take it  out on people around you and you're not  a positive force none of that's good so
KlFua-CaECo,1023040,1028079,you suffer more and so does everyone  around you and there's a malevolence  that enters into it none of that's good
KlFua-CaECo,1028079,1034620,so that's what happens if you don't  treat yourself like you matter the first
KlFua-CaECo,1034620,1040360,thing I would say is well you should be  afraid of taking risks and pursuing  something meaningful
KlFua-CaECo,1040360,1048569,one of the main reasons that people  don't get what they want is because they  don't actually figure out what it is and
KlFua-CaECo,1048569,1054100,the probability that you're going to get  what would be good for you let's say  which would even be better than what you
KlFua-CaECo,1054100,1060220,want right because you know you might be  what wrong about what you want easily  but maybe you could get what would
KlFua-CaECo,1060220,1065890,really be good for you  well why don't you well because you
KlFua-CaECo,1065890,1072880,don't try  [Music]  life is a challenge that in some sense
KlFua-CaECo,1072880,1078190,can't be surmounted so there's no way  out of your problem but there are  certainly proper ways of dealing with it
KlFua-CaECo,1078190,1087399,you sit on your bed one day and ask  yourself ah what's what remarkably
KlFua-CaECo,1087399,1093210,stupid things am i doing on a regular  basis to absolutely screw up my life I
KlFua-CaECo,1093210,1098789,would say that the goal in life is to  conduct yourself so that life improves
KlFua-CaECo,1098789,1106389,you should be more afraid of staying  where you are if it's making you  miserable clock is ticking yeah and if
KlFua-CaECo,1106389,1111610,you're miserable in your job now and you  change nothing in five years you'll be  much more miserable and you'll be a lot
KlFua-CaECo,1111610,1119830,older people don't get what they want  and they need because they don't aim at  it and it's a hard lesson for people to
KlFua-CaECo,1119830,1127299,learn because they're cynical to begin  with and they presume that there's no  possible way of moving forward but it's
KlFua-CaECo,1127299,1134289,not so unreasonable to assume that  you're not going to hit what you don't  aim at or you're not going to hit what
KlFua-CaECo,1134289,1141130,you aim at and don't shoot at  we're built to contend with the world  we're built to contend with reality you
KlFua-CaECo,1141130,1147010,want a challenge and the best way that  you can take on a challenge because the  challenge fortifies you so you don't
KlFua-CaECo,1147010,1152769,want to be secure you want to be strong  and you get strong by taking on optimal  challenges and so you lay out your
KlFua-CaECo,1152769,1160090,destiny in the world and you take the  slings and arrows of fate and you make  yourself stronger while you're doing so  and you might fail and fortune might do
KlFua-CaECo,1160090,1165580,you in but it's your best bet huge part  of the reason that people fail is
KlFua-CaECo,1165580,1173110,because they don't ever set up the  criteria for success  and so since success is a very narrow
KlFua-CaECo,1173110,1180519,line and very unlikely the probability  that you're going to stumble on it  randomly is zero so you want to set
KlFua-CaECo,1180519,1185740,yourself a task that's difficult but not  so difficult you can't attain it and  then what happens is that you step up
KlFua-CaECo,1185740,1192760,improvement across time incremental II  and there's also a certain element of  humility to it right which is don't bite
KlFua-CaECo,1192760,1198700,off more than you can chew right don't  set grandiose goals but incremental  improvement will get you a tremendous
KlFua-CaECo,1198700,1202750,distance  [Music]
KlFua-CaECo,1208270,1214509,[Music]  it's a luxury to pursue what makes you  happy it's a moral obligation to pursue
KlFua-CaECo,1214509,1221200,what you find meaningful and that  doesn't mean it's easy it might require  sacrifice if you need to change your job
KlFua-CaECo,1221200,1228429,to let's say you have family and and and  and children and a mortgage you have  responsibilities you've already picked
KlFua-CaECo,1228429,1234039,up those responsibilities you don't just  get to walk away scot-free and say well  I don't like my job I quit
KlFua-CaECo,1234039,1240159,that's no strategy but what you might  have to do is you think well this job is  killing my soul all right so what do I
KlFua-CaECo,1240159,1246460,have to do about that well I have to  look for another job well no one wants  to hire me it's like okay maybe you need
KlFua-CaECo,1246460,1253119,to educate yourself more maybe you need  to update your your curriculum vitae  your resume maybe you need to overcome
KlFua-CaECo,1253119,1258460,your fear of being interviewed I think
KlFua-CaECo,1258460,1265210,what you have to do and this is part of  humility is you have to look around you  within your sphere of influence like the
KlFua-CaECo,1265210,1270429,direct sphere of influence and fix the  things that announce themselves as in
KlFua-CaECo,1270429,1275879,need of repair and those are often small  things you know and they can be like
KlFua-CaECo,1275879,1281139,your room put it in order because the  thing is it isn't exactly so important
KlFua-CaECo,1281139,1287080,that your room is in order although it  is what's important is that you learn  how to distinguish between chaos and
KlFua-CaECo,1287080,1293440,order and to be able to act in a manner  that produces order three years from now
KlFua-CaECo,1293440,1300369,you can have what you need you got to be  careful about it you can't have  everything you can have what would be
KlFua-CaECo,1300369,1308109,good for you but you have to figure out  what it is and then you have to aim at  it and when you're in the zone you're
KlFua-CaECo,1308109,1314529,expanding your skills in a manner that's  intrinsically rewarding because you're
KlFua-CaECo,1314529,1320379,succeeding and so you want to set if you  are good to yourself you think okay I  need to set a goal but I need to set a
KlFua-CaECo,1320379,1325629,goal that someone is stupid and useless  as me could probably attain if they put
KlFua-CaECo,1325629,1331270,some effort into it  you know if there are things about your  life that are bothering you or things
KlFua-CaECo,1331270,1339070,about the world that are bothering you  then you want to decompose them into  solvable subproblems you can do
KlFua-CaECo,1339070,1345000,something as simple as just sit on your  bed and think okay there's probably like  five things I could do today so that
KlFua-CaECo,1345000,1351520,tomorrow morning is slightly better than  this morning was at least or at least  I'm not falling behind and those will
KlFua-CaECo,1351520,1357730,usually be it's like having to eat a  toad in the morning right it's like it's  not gonna be something you want to do  there'll be things you're trying to
KlFua-CaECo,1357730,1363340,avoid there's snakes essentially bury  yourself to who you were yesterday not
KlFua-CaECo,1363340,1368350,to who someone else is today I've dealt  with hundreds of people in my clinical
KlFua-CaECo,1368350,1376779,and consulting practice and we set a  goal we develop a vision and work  towards it and it things inevitably get
KlFua-CaECo,1376779,1383080,better for people so it's not a luxury  it's it's difficult it's a moral  responsibility and it isn't happiness
KlFua-CaECo,1383080,1387149,it's it's not the pursuit isn't for  happiness
KlFua-CaECo,1391559,1397029,well greatness is what reveals itself  when you when you attempt to formulate
KlFua-CaECo,1397029,1402809,when you attempt to carefully articulate  and live out what you believe to be true
KlFua-CaECo,1402809,1408700,it just happens because there isn't  anything more powerful than truth right
KlFua-CaECo,1408700,1413190,that's the antidote to suffering truth
KlFua-CaECo,1414840,1422279,if you ask yourself instead of telling  yourself you know what is it that I  could do to set things more right today
KlFua-CaECo,1422279,1427570,that I would actually do it's usually  some small thing cuz you're not that
KlFua-CaECo,1427570,1433539,disciplined you know then you can go do  it lay a disciplinary structure on
KlFua-CaECo,1433539,1441130,yourself get the chaos in in in check  and then you can move towards a state  that's freer well what happens if you
KlFua-CaECo,1441130,1448450,don't treat other people like they  matter  well you lie to them you cheat them you  steal you you you enter into impulsive
KlFua-CaECo,1448450,1454450,relationships with them they can't trust  you that doesn't go anywhere they don't  like you you you end up alone at best
KlFua-CaECo,1454450,1462249,and maybe like incarcerated at worst  like that doesn't work  and so you watch the people around you
KlFua-CaECo,1462249,1470529,who thrive regardless of what they say  they act out the proposition that  everyone matters if you're hungry and
KlFua-CaECo,1470529,1476499,you eat well that's good but it's over  and then you're on to the next thing  right it's not exactly sustaining it's
KlFua-CaECo,1476499,1482139,just necessary that's called consume  Ettore reward by the way this other  reward system is incentive reward and
KlFua-CaECo,1482139,1488289,the incentive reward system works on  dopamine this neurochemical dopamine  which is also the neurochemical tracks
KlFua-CaECo,1488289,1494679,that opiates and cocaine and  amphetamines the drugs that people  really like to abuse alcohol often for
KlFua-CaECo,1494679,1501129,some people activate and so you might  say if you don't have enough meaning in  your life then you're more prone to
