vid,start,end,text
L8UT0iVne24,60,3389,"So you gotta do me a huge favor, you gotta do me a huge favor. You gotta"
L8UT0iVne24,3389,6779,"get to the point where you don't need a car anymore, you don't need a house"
L8UT0iVne24,6779,9389,"anymore, you're don't need to be pushed by anybody anymore"
L8UT0iVne24,9389,13889,"your dreams, your why is gonna push you, your spouse is gonna push you, your child"
L8UT0iVne24,13889,17730,"is gonna push you, the need to get better is going to push you because you're"
L8UT0iVne24,17730,22470,closer than your ever going to be. It's gonna push you. You don't need anything
L8UT0iVne24,22470,28189,"to push you. Your goas are gonna push you, your dreams are gonna push you, the"
L8UT0iVne24,28189,33930,opportunity of a lifetime that happens in this particular time-frame is gonna
L8UT0iVne24,33930,38820,"push you. It's gonna drive you, it's going to make you better. So do me a favor as I"
L8UT0iVne24,38820,42870,"leave, as I leave, you can't be average anymore. 70% you can't do it."
L8UT0iVne24,42870,48100,"You can't do it and have what you want, you can't give me 70 and be what you want"
L8UT0iVne24,48100,52600,"you can't give me 70 and do what you want, you can't be average anymore, you"
L8UT0iVne24,52600,57579,"can't be good anymore. 80 percent you can't be good anymore, 80 percent and"
L8UT0iVne24,57579,63010,have what you want. You can't be good at something and have everything you
L8UT0iVne24,63010,67868,dreamed of to make your dreams be come real  to no longer dream about but walk in
L8UT0iVne24,67869,73720,"them, you can't. 90 percent you can be good, you can be good, you can be great but"
L8UT0iVne24,73720,79479,"you still won't get it all. I'm telling you, when you become phenomenal there's nothing you can't have,"
L8UT0iVne24,79479,83079,"nothing you can't do, nothing you can't be and I just- I believe that you're in"
L8UT0iVne24,83080,87880,"this room right now, I believe that we are in the same space right now, I believe we're"
L8UT0iVne24,87880,91960,all in this place together listen to me I believe that we're all in this place
L8UT0iVne24,91960,97270,"together because all of us, all of us ain't average. None of us want to be good"
L8UT0iVne24,97270,104909,and for those of us who reach greatness we have a desire to push past greatness and see what phenomenal
L8UT0iVne24,105160,108370,looks like so I need everybody in the room when you think about your goal and you think
L8UT0iVne24,108370,113110,"about your dream, I need you understand as I said to my wife in that hospital"
L8UT0iVne24,113110,120520,"room, I can. I will. I must. I need everybody to say it with me, I can, I will, I"
L8UT0iVne24,120520,128769,"must. Come on I can I will I must, again I can I will I must. Now, now for those of"
L8UT0iVne24,128770,134260,"you, you want it all, every single dream every single goal as I say it for those"
L8UT0iVne24,134260,137769,"of you who really want it, you- you're going to say it and you're gonna"
L8UT0iVne24,137770,145240,stand and you're gonna say it like you mean it. I can I will I must come on I
L8UT0iVne24,145240,152650,can I will I must come on I can I will I must now say it like you mean it
L8UT0iVne24,152650,161950,I can I will I must. Again! I can I will I must. Again.  I can I will I must. Now I
L8UT0iVne24,161950,165190,need you to think about that loved one that- that- that- that individual that you
L8UT0iVne24,165190,170380,have to do this for. I need you to say it with me. I can I will I must come on for that
L8UT0iVne24,170380,177250,individual I can I will I must for that person I can I will I must for that
L8UT0iVne24,177250,184120,thing you want to accomplish I can I will I must again I can I will I must. Now I
L8UT0iVne24,184120,187209,want you to think about that hurdle. I want you to think about that thing that
L8UT0iVne24,187209,190480,keeps pressing you down. I want you to think about that- that mountain that's
L8UT0iVne24,190480,193720,hard to climb. I want you to think about that thing that you just can't seem to
L8UT0iVne24,193720,196959,"get over. We're gonna get over it today we're gonna get over it, we're gonna get"
L8UT0iVne24,196959,202210,over it together. I can I will I must. We're gonna add to it I
L8UT0iVne24,202210,207730,"can get over it, I will get over it I must get over it. Ready I can get over it"
L8UT0iVne24,207730,213129,I will get over it I must get over it. Come on come on I can get over it I will get over it I
L8UT0iVne24,213130,216700,"I must get over it. I know something about you. I know you're not a quitter, I know"
L8UT0iVne24,216700,220270,"you're a survivor, I know you're a survivor, you're watching me right now, I"
L8UT0iVne24,220270,224230,know something about you. You are a survivor so I want you to get off this I
L8UT0iVne24,224230,227050,"want you to cut it off, I want you to go in the mirror and I want you to make the"
L8UT0iVne24,227050,236790,"rest of your life, the best of your life. I can I will I must it's your boy ET."
L8UT0iVne24,238020,243430,I don't care what you've been through. I don't care who you are. I don't care
L8UT0iVne24,243430,248620,"where you came from. I don't care what your past is like, I don't care what your"
L8UT0iVne24,248620,254260,"stress is like, I don't care what stress you're under, I don't care what problems"
L8UT0iVne24,254260,261100,"you have right now, I don't care what you don't have right now, all I care about is"
L8UT0iVne24,261100,268210,what your mindset is like in terms of today and your future. Are you going to
L8UT0iVne24,268210,273750,make today count? Because that's all you can control and that's all that matters.
L8UT0iVne24,273750,277840,It doesn't matter where you start guys it doesn't matter what talents you're
L8UT0iVne24,277840,283330,born with. It's about where you finish and this race isn't over. It's not over.
L8UT0iVne24,283330,288610,You can still come in first in the marathon but you got to start today. You
L8UT0iVne24,288610,295740,"got to start now. You have everything, you have everything you need is inside you."
L8UT0iVne24,295740,301388,It doesn't matter what you don't have now because you can go get it but it
L8UT0iVne24,301389,306880,"starts today. It starts with a commitment it starts with the principle, it starts with"
L8UT0iVne24,306880,311320,"the discipline, it starts with effort, it starts with energy, it starts with an"
L8UT0iVne24,311320,316720,idea that you're gonna make today count and a lot of people want to know what my
L8UT0iVne24,316720,321310,"routine is like. Well, it's predicated on that idea - that I'm going to make today"
L8UT0iVne24,321310,327699,"count and that means that before everyone is up, I'm going to have entered"
L8UT0iVne24,327699,330810,a peak state already.
L8UT0iVne24,331100,338120,I'm here to help you but you have to help yourself. No one's going to do it
L8UT0iVne24,338120,344150,"for you in terms of the action but you got to say something with me. ""I'm going"
L8UT0iVne24,344150,349370,to make this thing work. I'm going to live out my dreams. I'm going to live out
L8UT0iVne24,349370,355460,"my purpose, I'm going to be who I was destined to be, I'm going to fulfill all"
L8UT0iVne24,355460,363020,"of the tasks necessary to live out that purpose, to become who I really want to"
L8UT0iVne24,363020,373900,"be. Not be who I am shackled by in the past, not live in a world of constraint."""
L8UT0iVne24,373900,379110,I didn’t come this far to only come this far. I hear some people saying things like:
L8UT0iVne24,379110,385530,"“When I make it”, “When I get to the top”… “I’ll keep working hard until i get to"
L8UT0iVne24,385530,392040,"the top”, “until I reach my goal"". Let me tell you something: There is no “END”!"
L8UT0iVne24,392040,399419,WINNERS NEVER STOP. If you reach your GOAL: SET A BIGGER GOAL.
L8UT0iVne24,399419,402229,If you get to the top of the mountain: Find a bigger mountain!
