vid,start,end,text
LFQ3LkVF5sM,80,3679,this is not the future of the pc
LFQ3LkVF5sM,3679,6319,this is if the enthusiast in you screams
LFQ3LkVF5sM,6319,9440,that no you can't just replace gpus and
LFQ3LkVF5sM,9440,12719,cpus with integrated socs i am here to
LFQ3LkVF5sM,12719,16560,tell you that apple silicon gober apple
LFQ3LkVF5sM,16560,19119,obviously knows it and make no mistake
LFQ3LkVF5sM,19119,22640,intel amd and nvidia all know it too the
LFQ3LkVF5sM,22640,24320,writing is on the wall and now it's just
LFQ3LkVF5sM,24320,27599,a matter of time pcs need to change
LFQ3LkVF5sM,27599,29679,and i'm going to tell you how
LFQ3LkVF5sM,29679,31359,and why right after i tell you about our
LFQ3LkVF5sM,31359,34000,sponsor glasswire glasswire lets you see
LFQ3LkVF5sM,34000,36160,past and present network activity detect
LFQ3LkVF5sM,36160,38320,malware on your pc or android device and
LFQ3LkVF5sM,38320,39840,block its connections to prevent things
LFQ3LkVF5sM,39840,41920,from getting worse use offer code linus
LFQ3LkVF5sM,41920,45839,for 25 off at the link below
LFQ3LkVF5sM,53440,55360,a lot of you really liked our how to
LFQ3LkVF5sM,55360,57120,build a pc the last guide you'll ever
LFQ3LkVF5sM,57120,60079,need and i'm really glad that you do
LFQ3LkVF5sM,60079,62559,because it took so much effort to make
LFQ3LkVF5sM,62559,65119,but look at that run time and it could
LFQ3LkVF5sM,65119,66880,have been even longer
LFQ3LkVF5sM,66880,68960,think about how many components go into
LFQ3LkVF5sM,68960,71280,a typical pc build and then look at this
LFQ3LkVF5sM,71280,74320,unassuming little box the mac studio in
LFQ3LkVF5sM,74320,76560,our testing the m1 ultra variant pulled
LFQ3LkVF5sM,76560,78200,a grand total of
LFQ3LkVF5sM,78200,81600,223.4 watts from the wall under the
LFQ3LkVF5sM,81600,83600,heaviest load that we could give it and
LFQ3LkVF5sM,83600,85600,the m1 max version didn't even break
LFQ3LkVF5sM,85600,88159,three digits if we ignore the rosetta
LFQ3LkVF5sM,88159,91200,results they achieved 88 and 61 percent
LFQ3LkVF5sM,91200,94400,respectively of the core i9 12900k and
LFQ3LkVF5sM,94400,97280,rtx 3090 bench's overall performance in
LFQ3LkVF5sM,97280,99840,our productivity testing at just 34 and
LFQ3LkVF5sM,99840,103200,15 of the total system power at most the
LFQ3LkVF5sM,103200,104560,12 900k
LFQ3LkVF5sM,104560,107920,the cpu alone can draw more power than
LFQ3LkVF5sM,107920,111040,the whole m1 ultra mac studio and
LFQ3LkVF5sM,111040,112880,developers are still figuring out how to
LFQ3LkVF5sM,112880,115680,optimize for apple silicon now
LFQ3LkVF5sM,115680,117759,look at that pc and all its components
LFQ3LkVF5sM,117759,120000,again all the raw materials that go into
LFQ3LkVF5sM,120000,122320,making it what it is it's wasteful right
LFQ3LkVF5sM,122320,124560,in almost every way except economically
LFQ3LkVF5sM,124560,127200,it's not that x86 is inherently bad but
LFQ3LkVF5sM,127200,129840,it has limitations that even intel have
LFQ3LkVF5sM,129840,131920,tried to overcome themselves with
LFQ3LkVF5sM,131920,134560,projects like titanium while extensions
LFQ3LkVF5sM,134560,136480,have given it more life its complex
LFQ3LkVF5sM,136480,139120,instruction set design is at its core an
LFQ3LkVF5sM,139120,140720,old one that dates back to the late
LFQ3LkVF5sM,140720,145120,1970s literally every x86 based cpu
LFQ3LkVF5sM,145120,148160,boots up in 8086 compatibility mode and
LFQ3LkVF5sM,148160,151440,can in theory run software made for the
LFQ3LkVF5sM,151440,155280,og ibm pc precious die space and
LFQ3LkVF5sM,155280,156959,transistors are used for supporting
LFQ3LkVF5sM,156959,159040,instructions and modes that might be
LFQ3LkVF5sM,159040,161519,redundant or not even remotely useful
LFQ3LkVF5sM,161519,164160,today but must be there to maintain
LFQ3LkVF5sM,164160,166319,compatibility with the architecture and
LFQ3LkVF5sM,166319,168720,now if i'm intel or amd looking at my
LFQ3LkVF5sM,168720,171360,options i'm sweating a little and
LFQ3LkVF5sM,171360,173760,weighing a switch to arm while neither
LFQ3LkVF5sM,173760,176800,currently sells an armed cpu both hold
LFQ3LkVF5sM,176800,179519,armed licenses and amd is on record
LFQ3LkVF5sM,179519,181680,saying that they're willing and able to
LFQ3LkVF5sM,181680,184879,do it it wasn't that long ago even that
LFQ3LkVF5sM,184879,187360,intel had their own reduced instruction
LFQ3LkVF5sM,187360,190800,set cpu called the i860 and i-960 and
LFQ3LkVF5sM,190800,192400,you'd be kidding yourself if you thought
LFQ3LkVF5sM,192400,194080,they weren't prototyping stuff on the
LFQ3LkVF5sM,194080,195920,side like apple was when they were
LFQ3LkVF5sM,195920,198480,suffering through 14 nanometer plus plus
LFQ3LkVF5sM,198480,201200,plus a change in the pc industry would
LFQ3LkVF5sM,201200,202879,of course have a teething period like
LFQ3LkVF5sM,202879,204959,apple silicon is currently experiencing
LFQ3LkVF5sM,204959,208000,but it could eventually be a good thing
LFQ3LkVF5sM,208000,210159,and not just for efficiency think about
LFQ3LkVF5sM,210159,213200,it intel and amd are alone in the cpu
LFQ3LkVF5sM,213200,215519,race right now just like amd and nvidia
LFQ3LkVF5sM,215519,218799,are currently alone in the gpu race and
LFQ3LkVF5sM,218799,221280,if intel had their way in the 90s or in
LFQ3LkVF5sM,221280,224400,2015 there'd be only one
LFQ3LkVF5sM,224400,226000,thanks to intel's control over
LFQ3LkVF5sM,226000,227599,performance and efficiency enhancing
LFQ3LkVF5sM,227599,230400,extensions used on modern cpus like sse
LFQ3LkVF5sM,230400,232640,and avx and amd's control over the
LFQ3LkVF5sM,232640,235760,64-bit extensions that every desktop cpu
LFQ3LkVF5sM,235760,238159,since core 2 has used we don't have any
LFQ3LkVF5sM,238159,240400,other desktop cpu manufacturers anyone
LFQ3LkVF5sM,240400,242400,entering the x86 market would have to
LFQ3LkVF5sM,242400,244720,reverse engineer those extensions to
LFQ3LkVF5sM,244720,246799,compete because amd and intel have a
LFQ3LkVF5sM,246799,248159,technology sharing agreement that
LFQ3LkVF5sM,248159,250879,forbids sub licensing and expires if
LFQ3LkVF5sM,250879,253760,either company changes hands by contrast
LFQ3LkVF5sM,253760,256400,arm doesn't sell anything directly they
LFQ3LkVF5sM,256400,258400,develop the base specifications and then
LFQ3LkVF5sM,258400,260239,they license that to other companies who
LFQ3LkVF5sM,260239,261919,then have the option of tweaking and
LFQ3LkVF5sM,261919,263520,adding to those designs to tailor them
LFQ3LkVF5sM,263520,265919,to suit their needs this is how apple
LFQ3LkVF5sM,265919,268320,silicon came to be and if arm took off
LFQ3LkVF5sM,268320,270720,on the desktop we could see not only
LFQ3LkVF5sM,270720,273520,mobile players like qualcomm samsung and
LFQ3LkVF5sM,273520,275759,mediatek enter the ring but maybe google
LFQ3LkVF5sM,275759,277919,or even hp they used to make their own
LFQ3LkVF5sM,277919,280800,cpus once too and we can't forget nvidia
LFQ3LkVF5sM,280800,283759,whose last consumer arm soc uses gpu
LFQ3LkVF5sM,283759,286160,cores from 2014 and lives on in the
LFQ3LkVF5sM,286160,288800,nintendo switch and shield tv plus
